id,tags
415542,13150|13151|13809|13815
331936,13150|13151|13810|13815
286287,13170|13195|13204|13628
284317,13170|13195|13204|13628
284319,13170|13195|13204|13628
393350,13170|13195|13624|13628
421281,13170|13197|13239|13286
401857,13805|13806|13812|13818|13819
424839,13805|13806|13726|13818|13820
364842,13805|13806|13813|13818|13820
387118,13805|13806|13813|13818|13820
423878,13150|13534|13579|13821
339218,13244|13245|13613|13514|13637
433880,13150|13534|13579|13822
422398,13695|13698|13737|13823
416953,13695|13697|13471|13824
402644,13695|13700|13708|13715
357183,13438|13441|13452|13825|13511
415269,13244|13245|13807|13430|13814
415260,13244|13245|13807|13430|13814
412347,13244|13245|13808|13423
418265,13150|13151|13811|13816
415544,13150|13151|13809|13817
384205,13170|13194|13622|13342|13843
422710,13840|13841|13201|13844
415754,13840|13841|13842|13845
415753,13840|13841|13842|13847|13848
