id,name,status,sub_cate_id
16405,baskin robbins cotton candy ice cream 450ml pack,1,33
16406,amul two in one ice cream 2ltr,1,33
16407,cotton candy ice cream 450ml pack,1,33
16408,two in one ice cream in amul,1,33
16409,dairy day choco almond fudge mega tub 1.5 ltr,1,33
16410,choco almond fudge mega tub 1.5 ltr,1,33
16411,almond fudge ice cream tub 1.5 ltr in dairy,1,33
16412,epigamia mishti doi yoghurt,1,33
16413,yoghurt doi in epigamia,1,33
16414,nestle slim dhai 400g,1,33
16415,nestle nourish dhai 400g,1,33
16416,nestle nourish dhai 200g,1,33
16417,dhai in nestle 400g pack,1,33
16418,dhai in nestle 200g pack,1,33
16419,curd in nestle 400g pack,1,33
16420,curd in nestle 200g pack,1,33
16421,rich wipping products in dairy,1,33
16422,dlecta dairyfree whip topping 2kg,1,33
16423,whip topping dlecta,1,33
16424,dlicia dairy free whip topping 1kg,1,33
16425,naigra farms whip topping blended 1kg,1,33
16426,whip topping in dlicia,1,33
16427,rich's whip topping cream 1kg,1,33
16428,rich's whip topping gold 1kg,1,33
16429,rich's whip topping gold 500g,1,33
16430,whip topping in richs,1,33
16431,whip topping 1kg pack,1,33
16432,whip topping 2kg pack,1,33
16433,whip topping 500g pack,1,33
16434,britannia cheesy slices 765g,1,33
16435,delicious margarine in amul,1,33
16436,delicious margarine in amul 100g,1,33
16437,delicious margarine in amul 500g,1,33
16438,amul lite bread spread 500g,1,33
16439,bread spread in amul,1,33
16440,bread spread in amul 500g pack,1,33
16441,mithai mate in amul,1,33
16442,mithai mate in amul 400g pack,1,33
16443,mithai mate in dairy,1,33
16444,pizza garlic 170g,1,33
16445,piza garlic in amul 170g pack,1,33
16446,pizza garlic spread ,1,33
16447,pizza margherita spread in amul,1,33
16448,pizza spread in amul,1,33
16449,pizza spread in amul 170g pack,1,33
16450,safed makkan in amul,1,33
16451,safed makkan in amul 500g pack,1,33
16452,makkan in amul,1,33
16453,mascarpone in dlecta,1,33
16454,mascarpone in dlecta 400g pack,1,33
16455,basil hummas spread in wingreens,1,33
16456,basil hummas spread 150g pack,1,33
16457,wingreens basil hummas spread,1,33
16458,elite plum cake 330g pack,1,33
16459,strawberry cake in bauli moonfils,1,30
16460,choco cream in bauli moonfils,1,30
16461,vanilla cake in bauli moonfils,1,30
16462,bauli moonfils cake,1,30
16463,britannia cake,1,30
16464,elite cake,1,30
16465,cheese peta in dlecta 100g,1,30
16466,cheese peta in dlecta 250g,1,30
16467,choco brownie ice cream,1,30
