id,name,status,sub_cate_id
5870,medley,5,40
5871,lalpan,4,36
5872,eighty,2,26
5873,dry dates,2,26
5874,mix dry fruits,2,26
5875,dalda,2,140
5876,ever clean,6,45
5877,st ives,6,49
5878,complain,4,99
5879,junior holicks,4,99
5880,goeld samosa 400g,5,103
5881,medley chocolates 131g,5,40
5882,snickers gift box 152g,5,40
5883,nescafe sunrise 240ml,4,98
5884,rioba coffee with chicory 50g ,4,98
5885,continental south blend 200g,4,98
5886,levista instant coffee strong 200g,4,98
5887,levista filter coffee chicory 200g,4,98
5888,levista filter chicory coffee 200g,4,98
5889,fine life premium tea 500g,4,36
5890,lalpan gold assam tea cartoon 250g,4,36
5891,marvel premium tea 1kg,4,36
5892,marvel tea red 250g,4,36
5893,wagh bakri instant turmeric latte 110g,4,36
5894,tata tea gold care 250g ct,4,36
5895,tata tea gold care 500g ct,4,36
5896,tetley original tea 25 tea bags,4,36
5897,twinings classics earl grey tea 100 tea bags ,4,36
5898,twinings english breakfast tea 100 tea bags ,4,36
5899,twinings fruit flavoured lemon tea 100 tea bags ,4,36
5900,twinings origins darjeeling tea 100 tea bags ,4,36
5901,twinings camomile delicate & calming 25 tea bags,4,36
5902,twinings pure green tea 100 tea bags,4,36
5903,wagh bakri gold super premium dust tea 100g,4,36
5904,wagh bakri green tea honey lemon 25 tea bags ,4,36
5905,wagh bakri green tea shudh kahwa 25 tea bags,4,36
5906,wagh bakri green tea tulsi 25 tea bags ,4,36
5907,wagh bakri instant elaichi tea 140g ct,4,36
5908,wagh bakri instant masala tea 140g,4,36
5909,wagh bakri strong leaf tea 1kg,4,36
5910,goeld vegitable samosa 400g,5,103
5911,goeld garlic naan 240g,5,103
5912,catch sabji masala 100g,2,27
5913,catch garlic paste 100g,2,27
5914,catch tamarind paste 100g,2,27
5915,nutraj daily walnut kernels 500g,2,26
5916,nutraj arabian premium dates 500g,2,26
5917,eighty 7 figs 200g,2,26
5918,regency walnut inshell 1kg,2,26
5919,dry date 500g,2,26
5920,nutraj super food mix 200g,2,26
5921,raisin 250g,2,26
5922,pista salted 250g,2,26
5923,mix dry fruits 500g,2,26
5924,cashew 250g,2,26
5925,cashew 2pc 250g,2,26
5926,nutraj daily cashew nuts 500g,2,26
5927,fine life olive oil extra light 2l jar,2,140
5928,oleev extra virgin olive oil 500ml,2,140
5929,oleev extra virgin olive oil 1l,2,140
5930,dalda refined sunflower oil 5l jar,2,140
5931,parle chatkeens bhujia sev 1kg,5,43
5932,aro tissue paper napkin 100 pulls 2ply,7,114
5933,ever clean all in 1 sanitizer citrus fresh 500ml,6,45
5934,ever clean sanitizer citrus fresh 50ml,6,45
5935,ever clean sanitizer 500ml,6,45
5936,ever clean sanitizer yummy berry 50ml ,6,45
5937,st ives collagen elastin body lotion 200ml,6,49
5938,st ives avocado body lotion 200ml,6,49
5939,st ives shea butter body lotion 200ml,6,49
5940,fine life mixed fruit jam 500g pack of 2,5,44
5941,vlcc dandruff with orange oil & lemon oil 350ml,6,48
5942,dabur honey squeezy 400g,5,44
5943,dabur honey squeezy 225g,5,44
5944,metro chef wheat semolina pasta fusilli 500g,5,41
5945,metro chef wheat semolina pasta gomiti 500g,5,41
5946,boost nutrition drink 15g pack of 24 sachet,4,99
5947,boost nutrition drink 500g refill,4,99
5948,boost nutrition drink 7g pack of 18 sachet,4,99
5949,complain flavour health drink 500g jar,4,99
5950,ensure chocolate flavour health drink 200g,4,99
5951,ensure diabetes care chocolate flavour 200g,4,99
5952,ensure diabetes care vannila 1kg refill ,4,99
5953,ensure diabetes care vannila  200g,4,99
5954,ensure vannila flavour health drink 400g,4,99
5955,horlicks chocolate delight flavour 1kg,4,99
5956,horlicks classic malt 1kg jar,4,99
5957,horlicks classic malt 1kg pouch,4,99
5958,horlicks classic malt 750g pouch,4,99
5959,horlicks mother's plus vannila 200g refill,4,99
5960,horlicks protein plus chocolate 200g refill,4,99
5961,horlicks protein plus vannila  400g jar,4,99
5962,horlicks women's plus caramel  400g jar,4,99
5963,horlicks women's plus chocolate  400g jar,4,99
5964,junior horlicks chocolate  500g jar,4,99
5965,junior horlicks vannila  500g pouch,4,99
5966,manna health and multigrain mix 500g,4,99
5967,pediasure oats & almond chocolate  400g,4,99
5968,pediasure with oats & almond vannila  400g refill,4,99
5969,pediasure vannila delight  200g jar,4,99
5970,protinex diabetes care vannila  400g,4,99
5971,protinex tasty chocolate  750g refill,4,99
