id,tags
384277,13170|13196|7669|10404|14557|284|14209|14555|312|14550|14549|6103|887|311
279837,13170|13197|7669|7601|14495|14482|14483|14467|6157|13287|284|5999|430|301
384238,13170|13169|7669|10393|284|5997|14251|14249|247|256|7749
279867,13170|13195|7669|7614|14889|284|5995|15219|15221|15223|15218|260|346|13628|962
339014,13170|13197|7669|8954|290|14495|14482|14467|284|5999|301
339011,13170|13193|7669|8951|290|13629|14082|14307|14309|433|284|5996|14341|14340|14339
339013,13170|13197|7669|8953|290|14495|14482|14467|284|5999|301
279783,13170|13169|7669|7574|284|259|258|5997|14082|14307|14309
279804,13170|13169|7669|7578|1290|5997|14248|13272|249|284|252
279804CB,13170|13169|7669|5997|1290|722|14248|13272|249|284|252
384245,13170|13195|7669|10398|14912|14911|14910|14907|14897|974|969|291|14889|284|5995|346|13628|962
279856,13170|13195|7669|7607|14912|14911|14907|14897|974|969|291|14889|284|5995|346|13628|962
336322,13170|13193|7669|12584|8890|14386|14385|14398|14397|298|13275|14390|14392|284|14396|5996|14341|14340|14339
279830,13170|13193|7669|12584|7596|14386|14385|14398|14397|298|13275|14390|293|14391|14396|5996|14341|14340|14339
337892,13170|13193|7669|8927|14343|14386|14385|298|13275|14390|14392|284|14396|5996|14341|14340|14339
337892CB,13170|13193|7669|722|14177|14386|14385|298|13275|14390|14392|284|14396|5996|14341|14340|14339
279828,13170|13193|7669|14343|14386|14385|298|13275|14390|284|14391|14396|5996|14341|14340|14339
279857,13170|13195|7669|14889|14958|14959|5995|14924|14949|13263|14957|284|978|289|346|13628|962
337898,13170|13195|7669|14889|14958|14959|5995|14924|14950|13263|14957|284|978|289|346|13628|962
301982,13170|13195|7669|12585|8030|5995|14889|284|15205|15202|15196|15197|15207|309|310|346|13628|962
279859,13170|13195|7669|14152|14889|284|15107|15104|15102|984|15094|15093|1929|350|346|13628|962
378363,13170|13195|7669|13624|14153|14978|14961|14973|14977|5995|1916|261|14889|284|294|346|13628|962
279860,13170|13195|7669|959|14978|14961|14973|14977|5995|1916|261|14889|284|294|346|13628|962
279863,13170|13195|7669|14154|959|14978|14962|14974|14977|5995|1916|261|14889|284|294|346|13628|962
279806,13170|13169|7669|250|14310|284|5997|14313|942
279864,13170|13195|7669|5995|14889|15029|15024|15023|319|970|15022|318|284|971|346|13628|962
384242,13170|13196|7669|14155|14209|1924|1917|284|14540|14539|14532|6054|13270|306
301983,13170|13195|7669|5995|14889|14999|15000|15004|15005|339|5021|882|320|2|84|346|13628|962
279866,13170|13195|7669|284|5995|14889|15273|15274|15277|15278|15282|15283|15287|15290|1925|383|346|13628|962
279817,13170|13195|7669|15193|15183|15182|15191|992|334|5995|14889|284|333|346|13628|962
298071,13170|13195|7669|5995|14889|284|15256|15259|15260|15261|15262|382|346|13628|962
301990,13170|13195|7669|14889|5995|15031|15053|1877|284|295|346|13628|962
279824,13170|13193|7669|296|4888|14375|14374|299|14382|284|5996|14341|14340|14339
306540,13170|13193|7669|296|14158|14375|14374|299|8157|284|5996|14341|14340|14339
306540CB,13170|13193|7669|4888|4887|14375|14374|299|8157|284|5996|14341|14340|14339
279823,13170|13193|7669|296|14159|14375|14374|299|7592|284|5996|14341|14340|14339
393276,13170|14569|7669|10953|6000|14571|14572|14573|14578|14568|356
339010,13170|13169|7669|255|284|14287|5997|248|871|14291
301976,13170|13169|7669|255|284|14287|5997|248|871|14291
279803,13170|13196|7669|7577|284|14209|8684|14563|8679|14566|14562|14561|307
279827,13170|13169|7669|257|284|14312|5997|14313|942
279820,13170|13193|7669|297|14163|14386|14385|14394|14396|13275|14390|284|14391|5996|14341|14340|14339
336324,13170|13193|7669|297|14343|14386|14385|14394|14396|13275|14390|14392|284|5996|14341|14340|14339
336324CB,13170|13193|7669|297|1198|14386|14385|14394|14396|13275|14390|14392|284|5996|14341|14340|14339
339012,13170|13197|7669|290|14495|14482|14467|284|5999|301
279814,13170|13193|7669|299|14410|14415|14414|14408|13307|300|433|284|5996|14341|14340|14339
279818,13170|13193|7669|14410|14415|14414|14408|13307|300|433|284|5996|14341|14340|14339
306548,13170|13193|7669|14410|14415|14414|14408|13307|300|433|284|5996|14341|14340|14339
384247,13170|13193|7669|14409|14410|14415|14414|14408|13307|300|433|284|5996|14341|14340|14339
384240,13170|13193|7669|290|433|13629|14082|14307|14309|284|5996|14341|14340|14339
306542,13170|13193|7669|14383|8158|14375|14374|299|14382|433|284|5996|14341|14340|14339
306542CB,13170|13193|7669|14178|13281|14375|14374|299|8158|433|284|5996|14341|14340|14339
384274,13170|13193|7669|10401|14375|14374|299|14382|433|284|5996|14341|14340|14339
279819,13170|13195|7669|7589|14921|14918|14917|5995|14919|292|14889|284|14920|346|13628|962
279822,13170|13195|7669|7591|14921|14918|14917|5995|14919|292|14889|284|14920|346|13628|962
279831,13170|13197|7669|7597|14495|14482|14485|14467|284|5999|955|301
279808,13170|13169|7669|7581|284|253|13282|5997|14280|14282|1936
301988,13170|13195|7669|8034|15172|15178|15181|5995|14889|284|313|346|13628|962
279812,13170|13193|7669|7583|433|12588|348|13315|5996|14341|14340|14339
279813,13170|13195|7669|7584|385|14959|15346|15347|14954|5995|14889|284|346|13628|962
301970,13170|13197|7669|8027|14495|14482|14485|14467|284|5999|955|301
339009,13170|13197|7669|8949|14495|14482|14467|284|5999|301
279849,13170|13169|7669|7604|284|5997|886|8676|14118|14319|14303
279809,13170|13193|7669|7582|317|433|14440|14441|940|284|5996|14341|14340|14339
401245,13170|14569|7669|284|11166|6000|14705|14832|14833|8675|356
402734,13170|13195|7669|11238|15010|15017|15021|1000|5995|14889|284|304|346|13628|962
306533,13170|13169|7669|8156|284|14251|14249|247|256|7749
279835,13170|13197|7669|7599|12600|14495|14482|14483|13287|14467|6157|284|5999|430|301
336313,13170|13197|7669|14495|14482|14483|13287|14481|14467|6157|284|5999|430|301
279838,13170|13197|7669|14495|14482|14483|13287|14467|6157|284|5999|430|301
279839,13170|13197|7669|7603|12600|14495|14482|14483|13287|14467|6157|284|5999|430|301
279833,13170|13197|7669|7598|12600|14495|14482|14483|13287|14467|6157|284|5999|430|301
336320,13170|13197|7669|8888|12601|14495|14482|14483|13287|14481|14467|14490|6157|284|5999|430|301
279836,13170|13197|7669|7600|14495|14482|14483|13287|14467|6157|284|5999|430|301
