id,name,sub_cate_id
14459,sona masoori raw rice in 25kg,75
14460,sona masoori raw rice in vijayanagar,75
14461,sona masoori raw rice in mk royal,75
14462,sona masoori raw rice in vijayan gold,75
14463,sona masoori raw rice in kiran gold ,75
14464,sona masoori raw rice in 10kg,75
14465,sona masoori raw rice in nri gold,75
14466,sona masoori raw rice in bittu royal,75
14467,sona masoori raw rice in 24 mantra brand,75
14468,steam rice in 25kg,75
14469,steam rice in jasmine,75
14470,steam rice in meera brand,75
14471,steam rice in kaveri brand,75
14472,steam rice in best village brand,75
14473,25kg rice in sona masoori raw rice,75
14474,25kg rice in kollam raw rice,75
14475,25kg rice in steam rice,75
14476,25kg rice in basmati rice,75
14477,25kg rice in offers,75
14478,10kg rice in sona masoori rice,75
14479,10kg rice in kollam rice,75
14480,10kg rice in basmati rice,75
14481,10kg rice in offers,75
14482,rice in rice products,75
14483,sona masoori rice,75
14484,dosa rice,75
14485,rice in rice flakes,75
14486,kolam rice 25kg bag,75
14487,premium sorted rice 25kg,75
14488,biryani rice 25kg,75
14489,jeera rice 25kg,75
14490,10kg raw  rice,75
14491,10kg steam rice,75
14492,basmati rice 1kg,75
14493,basmati rice 500g,75
14494,basmati rice 5kg,75
14495,organic rice,75
14496,saaboodaana,75
14497,saguvani,75
14498,phool makhana,75
14499,boiled rice,75
14500,white boliled rice,75
14501,red boiled rice,75
14502,idly rice,75
14503,idly,75
14504,unity basmati biriyani rice 5 kg,75
14505,dosa,75
14506,spices in loose,75
14507,masalas in loose,75
14508,dry fruits in loose,75
14509,dal & pulses in loose,75
14510,rava in loose,75
14511,zeeba basmati rice 500g,75
14512,zeeba classic basmati rice 1kg,75
14513,zeeba classic basmati rice 500g,75
14514,zeeba every day super basmati rice 1kg,75
14515,zeeba super basmati rice 1kg,75
14516,daawat basmati rice container free,75
14517,daawat rozana basmati rice 1kg,75
