id,name,sub_cate_id
14518,kollam raw rice in gts,75
14519,kollam raw rice in kaveri bullet,75
14520,kollam raw rice in mother's choice,75
14521,kollam raw rice in kesar gold,75
14522,kollam raw rice in 25kg,75
14523,kollam raw rice in 10kg,75
14524,basmati rice in 10kg,75
14525,basmati rice in 25kg,75
14526,basmati rice in zeeba brands,75
14527,basmati rice in daawat brands,75
14528,basmati rice in fortune brands,75
14529,basmati rice in kohinoor brands,75
14530,basmati rice in dubar basmati,75
14531,basmati rice in rozana basmati,75
