id,sub_cate_id
14532,sugar 500g
14533,grocery sugar 5kg pack
14534,organic tattwa sugar 500g
14535,parry white label sugar 1kg pouch
14536,sugar free natura gold sachet 0.75g
14537,sugar free natura powder 100g
14538,"tata nx zero sugar jar, 120 g"
14539,sakare
14540,cheenee
14541,sugar pellets
14542,sugar pellets 100
14543,sugar pellets 200
14544,sugar pellets 500
14545,sugar pellets 300
14546,sugarfree low calorie sweetner 
14547,refined fine sugar
14548,parry's sweet low gi sugar 500g
14549,namak
14550,uppu
14551,sprinklers iodized black salt
14552,sprinklers iodized table salt
14553,table salt
14554,salt grinder
14555,crystal salt
14556,akar salt
14557,organic salt
14558,salt powder
14559,tata salt lite
14560,tata super light salt
14561,gud
14562,bella
14563,organic jaggery
14564,jaggery round
14565,gud hai jaggery round 950 g
14566,jaggery 500g
14567,jaggery 400g
