id,tags
384277,13170|13196|7669|10404|14557|284|14209|14555|312|14550|14549|6103|887|311
384242,13170|13196|7669|14155|14209|1924|1917|14547|14540|14539|284|14532|6054|13270|306
279803,13170|13196|7669|7577|284|14209|8684|14563|8679|13271|14566|14562|14561|307
337906,13170|13196|7669|8929|14209|1924|1917|14547|14540|14539|284|1559|6054|13270|306
337910,13170|13196|7669|8930|14209|1924|1917|8929|14547|14540|14539|284|1559|6054|13270|306
279807,13170|13196|7669|7580|14209|1924|1917|14547|14540|14539|284|14532|6054|13270|306
236834,13170|13196|23|6426|14168|5994|14556|14555|14550|14549|6103|887|311
248003,13170|13196|455|6494|14169|14556|14555|312|14550|14549|6103|887|311
404156,13170|13196|7749|11298|14566|13271|14562|14561|307
266589,13170|13196|13204|425|14551|14553|14554|377|14558|14550|14549|6103|887|311
266592,13170|13196|13204|425|14552|14553|14554|14558|14550|14549|6103|887|311
224835,13170|13196|286|6377|1917|14547|14540|14539|14532|6054|13270|306
409195,13170|13196|880|11511|14558|14550|14549|6103|887|311
412439,13170|13196|7749|14533|1917|14547|14540|14539|1560|6054|13270|306
422860,13170|13196|8205|5194|14564|14565|13271|14562|14561|307
372208,13170|13196|8544|9814|14567|13271|14562|14561|307
244096,13170|13196|206|6477|1917|14547|14540|14539|1559|6054|13270|306
214431,13170|13196|206|6346|1917|14547|14540|14539|1560|6054|13270|306
393329,13170|13196|12423|12407|6140|407|14558|14550|14549|6103|887|311
332229,13170|13196|879|14210|14554|14553|6140|407|14558|14550|14549|6103|887|311
332227,13170|13196|879|14554|14553|14558|14550|14549|6103|887|311
378375,13170|13196|5157|14557|14555|312|14550|14549|6103|887|311
378377,13170|13196|5157|6050|6101|14534|1917|14547|14540|14539|14532|6054|13270|306
378378,13170|13196|5157|8684|5194|14321|8679|13271|14566|14562|14561|307
378376,13170|13196|5157|14534|6101|14534|1917|14547|14540|14539|14532|6054|13270|306
398711,13170|13196|12427|14535|5028|6001|1917|14547|14540|14539|1559|6054|13270|306
414992,13170|13196|12427|5028|6001|14535|1917|14547|14540|14539|1559|6054|13270|306
421625,13170|13196|12427|5028|6001|14548|1917|14547|14540|14539|14532|6054|13270|306
398712,13170|13196|12427|5028|6001|1917|14547|14540|14539|1560|6054|13270|306
413598,13170|13196|12427|5028|6001|1917|14547|14540|14539|14532|6054|13270|306
404157,13170|13196|7749|11299|14567|13271|14562|14561|307
380138,13170|13196|874|346|10191|14567|14563|8679|13271|14562|14561|307
342227,13170|13196|874|9048|1924|1917|14547|14540|14539|14532|6054|13270|306
402733,13170|13196|874|14210|12407|14557|14555|6140|312|407|14550|14549|6103|887|311
390351,13170|13196|12430|10929|10779|14557|312|14550|14549|6103|887|311
390350,13170|13196|12430|10778|14557|14558|14550|14549|6103|887|311
223537,13170|13196|7968|6371|278|826|14541|14542|14546|14547|14540|14539|6054|13270|306
377874,13170|13196|7968|10075|278|826|14541|14546|14547|14540|14539|6054|13270|306
223662,13170|13196|7968|6374|278|826|14541|14542|14546|14547|14540|14539|6054|13270|306
223536,13170|13196|7968|14536|278|826|14541|14546|14547|14540|14539|6054|13270|306
223663,13170|13196|7968|6375|278|826|14541|14543|14546|14547|14540|14539|6054|13270|306
367009,13170|13196|7968|9703|278|826|14541|14544|14546|14547|14540|14539|6054|13270|306
298943,13170|13196|7968|14537|278|826|14541|14546|14547|14540|14539|6054|13270|306
223660,13170|13196|7968|6372|278|826|14541|14546|14547|14540|14539|6054|13270|306
SB0011,13170|13196|952|921|927|1917|14547|14540|14539|6054|13270|306
298778,13170|13196|7968|7977|278|826|14541|14544|14546|14547|14540|14539|6054|13270|306
223661,13170|13196|7968|6373|278|826|14541|14546|14547|14540|14539|6054|13270|306
242596,13170|13196|7968|6463|278|826|14541|14545|14546|14547|14540|14539|6054|13270|306
298951,13170|13196|7968|7980|278|826|14541|14546|14547|14540|14539|6054|13270|306
367008,13170|13196|7968|9702|278|826|14541|14546|14547|14540|14539|6054|13270|306
413557,13170|13196|13236|6460|14558|14550|14549|6131|6103|887|311
380548,13170|13196|13236|14538|10125|1917|14547|14540|14539|6054|13270|306
241600,13170|13196|13236|6460|14558|14550|14549|131|6131|6103|887|311
241601,13170|13196|13236|14559|6460|14558|14550|14549|131|6131|6103|887|311
427595,13170|13196|13236|14560|6460|14558|14550|14549|131|6131|6103|887|311
241598,13170|13196|13236|6460|14558|14550|14549|131|6131|6103|887|311
