id,name,status,sub_cate_id
16014,good life milk 500ml pack,1,32
16015,milk lane toned milk 500ml pack,1,32
16016,milky mist fresh cream,1,32
16017,miky mist yoghurt,1,32
16018,yoghurt 100ml,1,32
16019,yoghurt 100gm,1,32
16020,yoghurt 1kg,1,32
16021,cavin milk shake,1,32
16022,cavin milk shake 180ml,1,32
16023,ice coffee milk shake,1,32
16024,hershey's milk shake ,1,32
16025,hershey's milk shake 180ml pack,1,32
16026,tendo coconut milk,1,32
16027,tendo walnut milk,1,32
16028,tendo almond milk,1,32
16029,tendo badam milk,1,32
16030,sofit soya milk,1,32
16031,staeta soya milk,1,32
16032,sofit mango milk,1,32
16033,nestle milk maid,1,32
16034,nestle milk maid 400g tin,1,32
16035,nestle condensed milk 400g tin,1,32
16036,milk maid 400g tin,1,32
16037,nestle slim milk  tetrapack,1,32
16038,nestle toned milk tetra pack 1ltr,1,32
16039,nandini badam milk ,1,32
16040,milky mist lassi blueberry,1,32
16041,milky mist skimmed milk,1,32
16042,shrikhand mango ,1,32
16043,milky mist butter unsalted,1,32
16044,milky mist butter salted,1,32
16045,lactel toned milk ,1,32
16046,hersheys bar milk,1,32
16047,toned milk in lactel,1,32
16048,bar milk in hersheys,1,32
16049,milky mist doi 100g mud cup,1,32
16050,happy milk doi 100g,1,32
16051,gulphi fav milk,1,32
16052,badam fav milk,1,32
16053,amul gold milk homogenised 1ltr,1,32
16054,amul kool fav milk,1,32
16055,camel milk 200ml pet,1,32
16056,milky mist khova,1,32
16057,milky mist kalakand,1,32
16058,miky mist lasi mango,1,32
16059,miky mist lasi green apple,1,32
16060,milky mist skimmed milk 1ltr,1,32
16061,milky mist blueberry lasi,1,32
16062,milky mist milk cream,1,32
16063,margherita pizza in milky mist,1,32
16064,indian farmers pizza in milky mist,1,32
16065,green apple lasi in milky mist,1,32
16066,mango lasi in milky mist,1,32
16067,mishti doi in milky mist,1,32
16068,amul cheese sauce green chutney 200g pack,1,32
16069,amul cheese sauce jalapeno 200g pack,1,32
16070,amul cheese sauce pizza 200g pack,1,32
16071,amul cheese spread creami 180g pack,1,32
16072,amul diced cheese blend 1kg pack,1,32
16073,amul mozzarella pizza cheese 200g pack,1,32
16074,amul pizza thin crust cheese 4 pizza 170g pack,1,32
16075,amul processed cheese 8 cubes 200 g pack,1,32
16076,amul processed cheese block 1 kg pack,1,32
16077,cheese slice in dairy,1,32
16078,cheese cubes in dairy,1,32
16079,cheese spread in dairy,1,32
16080,cheese diced in dairy,1,32
16081,amul processed cheese,1,32
16082,amul cheese 5 slices,1,32
16083,amul cheese slice 750g,1,32
16084,amul pepper cheese,1,32
16085,amul processed cheese slice,1,32
16086,amul processed cheese 200g pack,1,32
16087,amul green chuntey cheese ,1,32
16088,amul cheese jalapeno ,1,32
16089,amul cheese pizza sauce,1,32
16090,amul cheese spread creami 180g,1,32
16091,amul yummy cheese spread ,1,32
16092,amul diced cheese pouch 1kg,1,32
16093,amul mozzarella pizza cheese,1,32
16094,amul pizza thin cheese,1,32
16095,amul processed cheese block 8 cubes,1,32
16096,amul processed cheese block,1,32
16097,amul processed cheese carton 1kg pack,1,32
16098,amul cheese 400g tin,1,32
