id,name,status,sub_cate_id
5446,pulse,1,40
5447,quaker,1,39
5448,santoor,1,49
5449,skittles,1,40
5450,snickers,1,40
5451,wingreen greek,1,44
5452,wrigleys,1,44
5453,zandu,1,44
5454,tic tac,1,40
5455,tasty pixel,1,44
5456,st dalfour,1,44
5457,soulfull,1,39
5458,soft n silky,1,114
5459,almonds,1,26
5460,pistachios inshell,1,26
5461,pista roasted & salted,1,26
5462,traditional pasta sauce,1,44
5463,american garden us mustard 227g,1,44
5464,amul sugar free dark chocolate 150g,1,40
5465,aro crunchy corn flakes 500g pouch,1,39
5466,aro crunchy corn flakes 875g pouch,1,39
5467,asap toasted grains dark choco 420g,1,39
5468,asap toasted grains badam milk 120g,1,39
5469,asap muesli fruit & 5 toasted grains fruits 120g,1,39
5470,bambino macaroni elbow pasta 1.5 kg,1,41
5471,bambino popular vermicelli 150g,1,41
5472,bambino roasted vermicelli 150g,1,41
5473,bambino seviyan thin 450g,1,41
5474,biskfarm so sweet biscuits 250g,1,38
5475,biskfarm the top butter biscuit 200g,1,38
5476,bambino roasted vermicelli 650g jar,1,41
5477,borges apple cider vinegar 355ml,1,61
5478,britannia 50-50 potazos 100g,1,38
5479,britannia 50-50 potazos 29g*12,1,38
5480,britannia treat burst super value pack 300g,1,38
5481,candyman cofitino 780g jar,1,40
5482,chefs basket durum wheat penne pasta 500g,1,41
5483,ching's chilli vinegar synthetic 170ml,1,61
5484,chings veg hakka noodles 150g,1,41
5485,chings veg hakka noodles 600g,1,41
5486,chings whole wheat hakka noodles 150g,1,41
5487,chings whole wheat hakka noodles 600g,1,41
5488,cremica salad mayonnaise 1kg,1,44
5489,cup noodles rich mutton curry 70g,1,41
5490,cup noodles seafood curry 70g,1,41
5491,dabur hommade mango pickle 400g glass bottle,1,42
5492,dabur hommade mixed pickle 400g glass bottle,1,42
5493,dabur hommade green chilli pickle 400g glass bottle,1,42
5494,del monte baked beans sauce 450g,1,44
5495,del monte eggless mayo 270g,1,44
5496,derby cafetto espresso coffee candy 800g jar,1,40
5497,derby darling velvetto lovedrops 800g jar,1,40
5498,derby center filled candies 200g,1,40
5499,derby love candy assorted fruit flavour 900g jar,1,40
5500,derby wala aam chaskara 900g jar,1,40
5501,derby naranja 800g jar,1,40
5502,derby center filled shocker candi 800g jar,1,40
5503,derby tamarind candy 900g jar,1,40
5504,desi spinach hakka noodles 400g,1,41
5505,dnv mustard kasundi 670g,1,44
5506,dnv vinegar 350ml,1,61
5507,dnv vinegar 670ml,1,61
5508,double horse vinegar 1ltr,1,61
5509,double house cut mango pickle 400g glass bottle,1,42
5510,double house dates pickle 400g glass bottle,1,42
5511,double house hot & sweet lime 400g glass bottle,1,42
5512,double house tender mango pickle 400g glass bottle,1,42
5513,dukes pineapple sandwich biscuit 150g,1,38
5514,fabelle choco deck mini delights 163g,1,40
5515,fine life fusilli pasta 430g,1,41
5516,fine life fusilli pasta 930g,1,41
5517,fine life hakka noodles 450g,1,41
5518,fine life honey 50g,1,44
5519,fine life lemon pickle 200g pouch,1,42
5520,fine life macaroni pasta 430g,1,41
5521,fine life mango pickle 200g pouch,1,42
5522,fine life mixed pickle 200g pouch,1,42
5523,fine life pasta sauce 310g,1,44
5524,fine life penne pasta 500g,1,41
5525,fine life pizza sauce 315g,1,44
5526,fine life soya sauce 700g,1,44
5527,fine life vermicelli roasted 430g,1,41
5528,fun foods pasta & pizza sauce 800g,1,44
5529,fun foods peanut butter creamy 400g,1,44
5530,fun foods peanut butter crunchy 400g,1,44
5531,fun foods pizza topping 100g,1,44
5532,fun foods veg mayonnaise for coleslaw 1kg,1,44
5533,galaxy crispy 18g,1,40
5534,galaxy crispy 32units,1,40
5535,galaxy milk chocolate smooth milk 32units,1,40
5536,galaxy milk chocolate smooth milk 20g,1,40
5537,galaxy milk chocolate smooth milk 56g,1,40
5538,galaxy milk chocolate smooth milk bar 80g,1,40
5539,galaxy milk chocolate with cookie crumble 50g,1,40
5540,galaxy milk chocolate with fruit &nut 52g,1,40
5541,goeld beetroot & cheese tikki 240g,1,103
5542,goeld veg seek kebab 200g,1,103
5543,goeld vegetable spring roll 960g,1,101
5544,gonemad tiramisu sticks 100g,1,38
5545,gonemad choco stick 72g,1,38
5546,gourmet's chocolate wafers 150g,1,38
5547,gourmet's orange wafers 150g,1,38
5548,gourmet's strawberry wafers 150g,1,38
5549,habanero hot sauce 100g,1,44
5550,habanero sriracha chilli sauce 185g,1,44
5551,hershey's almonds guava & mexican chilli flavour 30g,1,40
5552,hershey's californian almonds with blackberry flavour 30g,1,40
5553,hershey's californian almonds with blackberry flavour 90g,1,40
5554,hershey's guava & mexican chilli flavour 90g,1,40
5555,jelimals yummy jelly bears 108g,1,40
5556,kelloggs choco fills 175g,1,39
5557,kelloggs chocos 110g,1,39
5558,kelloggs chocos 250g,1,39
5559,kelloggs chocos 26g pack of 16,1,39
5560,kelloggs chocos chhota laddoo 375g,1,39
5561,kelloggs chocos duet 375g,1,39
5562,kelloggs chocos magic hearts 23g,1,39
5563,kelloggs chocos moons & stars 26g pack of 16,1,39
5564,kelloggs chocos moons & stars 375g,1,39
5565,kelloggs corn flakes original 30g pack of 6,1,39
5566,kelloggs crunchy granola chocolate & almonds 450g,1,39
5567,kelloggs almonds strawberrie 450g,1,39
5568,kelloggs multigrain cereal 285g,1,39
5569,kelloggs oats 200g,1,39
5570,kerk deluxe chocolate sandwich 184g,1,38
5571,kerk deluxe peanut butter sandwich 184g,1,38
