id,tags
101584CB,13927|4883|4885|5163
103558,13927|4906|4918|4977|4978
140989,13927|4906|13201|4991
152329CB,13927|4876|4886|4884
170777,13150|13151|13857|13149
177259,13150|13182|13652|13678
180961,13438|13440|4848|6240
205775,13881|13882|13887|13891|13892|13893|39142
214022,13244|13871|5072|5156
215244,13244|13370|13871|13879|13880
228234,13927|4906|4938|4977
228237,13927|4906|4938|4977|4979
229762,13150|13152|13544|13875
245724,13150|13537|13545|13670
249415,13003|13017|5053
249959,13003|13017|5054
250193,13003|13017|5144
250196,13003|13017|5055
250215,13003|13017|5144|5003
250485,13003|13004|14100
250509,13003|13004|14101
254705,13170|13197|13902|13901|13287|13924|13290
257392,13695|4859|4929|4971
261199,13170|13197|13909|13901|13287|13926
262270,13881|13882|13885|13891|13892|13898
265879,13438|13441|13499|13522|13081
267229,13438|13442|13500|13648
270787,13170|13195|13254|13628
271245,13150|5391|5392|1422|13588|13821|5170|5188
271248,13150|5391|5392|1422|13588|13821|5170|5188
271254,13150|5391|5392|1422|13588|13821|5170|5188
271326,13881|13882|13887|13891|13892|13897
271327,13881|13882|13887|13891|13892|13893
271546,13150|5188|5191|5189|5174|5170
271595,13695|4859|4929|4971
273073,13150|5391|5392|13400|5173|5170
273217,13881|13882|13886|13891|13892|13895
273223,13881|13882|13886|13891|13892|13893|39142
273225,13881|13882|13886|13891|13892|13897
275016,13170|13197|13910|13901|13287|980|99696|87746
275251,13927|4906|13201|4991
276402,13881|13882|13886|13891|13892|13896
279649,13170|13197|13904|13901|13287|13924|13290
279804CB,13170|13169|722|13272|1290
282095,13927|4906|4918|4977|4978
282274,13695|4859|4924|4965|4966
283522,13438|13440|4848|4848
284264,13170|13195|13204|13628
284268,13170|13195|13204|13628
284269,13170|13195|13204|488|5008
284272,13170|13195|13204|13628
284277,13170|13195|13204|13628
284287,13170|13195|13204|13628
284301,13170|13195|13204|13628
284308,13170|13195|13204|13628
284317,13170|13195|13204|13628
284319,13170|13195|13204|13628
284332,13170|13195|13204|957|5016
284340,13170|13195|13204|970|5010
284344,13170|13195|13204|13628
284698,13170|13195|13204|13628
285016,13438|13441|13481|13645|13645
285273,13170|13194|952|5061
285280,13170|13194|952|5062
285283,13170|13194|952|5063
285284,13170|13194|952|5060
285296,13170|13194|952|5069
285314,13170|13194|952|5064
286210,13150|5391|5392|13560|5174|5171
286287,13170|13195|13204|13628
289973,13170|13195|4912|1117|1932
292597,13881|13882|13886|13891|13892|13895
292607,13881|13882|13886|13891|13892|13893
292610,13881|13882|13886|13891|13892|13897
292767,13170|13193|13201|13274
293714,13150|13537|13662|13670|13673
298983,13927|4906|13201|4906
300468,13170|13197|13903|13901|13287|13924|13290
301974CB,13170|13193|722|13274
304705,13170|13197|13906|13901|13287|13924|13290
304772,13170|13195|13254|13628
306158,13927|4905|4940|4962
306311,13170|13195|13204|13628
306540CB,13170|13193|722|4887|4888
