id,name,sub_cate_id
7669,24 mantra,28
7670,bhagyalakshmi,24
7690,everest,27
7700,figaro,140
7718,freedom,140
7722,gold winner,140
7749,grocery atta and grains,75
7750,aabad,140
7753,adithya,27
7754,akr,75
7779,almond,26
7782,amith's,26
7783,anagha,140
7784,anandam,140
7785,bakery,24
7786,bertolli,140
7787,bhagawan,27
7904,sunpure,140
7931,sunrich,140
7966,vijayan,75
7968,sugarfree,28
7985,soya bean,24
8003,sun premium,140
8021,bittu golden,75
8042,bhadang,24
8043,cardialife,140
8045,cesar,140
8047,chudi,75
8049,date crown,26
8050,desicated,27
8071,emperor,26
8204,gts,75
8205,gud hai,28
8266,hommade,27
8287,horeca,27
8288,happilo,26
8296,guntur steamless,27
8297,hs,27
8324,hudson,140
8336,ice special,24
8352,idhayam,140
8369,jabsons,26
8379,jana priya,75
8380,jasmine,75
8387,jivo,140
8389,kalasa,24
8464,kalki,75
8502,karishma,75
8504,kaveri,75
8505,keerthi,24
8507,kesar,75
8525,kiran,75
8534,kissan,75
8544,kolhu,28
8545,lapsi,24
8559,laxmi,24
8564,madam,24
8565,maski bullet,75
8568,mk royal,75
8609,molsi's,26
12423,natural tattva,28
12426,nri gold rice,75
12427,parry's white,28
12428,palmpure,140
12429,pataka,25
12430,puro,28
12431,silver,24
12432,rajdhni,24
12433,rakesh,26
12434,rich rice,75
12435,rostaa,26
12436,s green,75
12437,s red,75
12438,salem,27
12439,samrat,24
12440,saroj agro,24
12442,sree bell,75
12443,vijayanagar,75
12444,winny,27
8675,edible oil in grocery,140
8676,akki hittu,26
,,
