id,tags
287646,4861|5422|16478|7774|1157|16598|16599|16601|1185
372118,4861|5422|16469|9812|538|1208|107|108|16584|16587|16590|16592|16593|1185
372116,4861|5422|16469|9811|538|1208|107|108|16584|16587|16591|16592|16593|1185
372120,4861|5422|16469|9813|538|1208|107|108|16584|16588|16590|16593|1185
379057,4861|5422|16469|10127|1155|1208|16612|16613|1185
324879,4861|16468|13201|8562|250|16489|16511|16512|16513
324876,4861|16468|13201|8561|250|16491|16511|16512|16513
146384,4861|16468|16472|6147|250|16489|16513|16514|16515
384890,4861|16468|16470|10440|204|16505|16508|16516|16518
384897,4861|16468|16470|10442|204|16506|16509|16517|16519
384891,4861|16468|16470|10441|204|16507|16510|16520|16522
217464,4861|16468|16471|6356|250|16489|16513|16521|16511|16512
172917,4861|16468|16472|6215|16492|16523|16524|16525|16526
314045,4861|16468|16472|8323|250|16489|16513|16511|16512
416207,4861|16468|16473|16479|229|386|16527|16528|16529
260592,4861|5422|4762|4861|5422|5735|6520|138|577|1178|16574|16577|16579|1185
256648,4861|5422|4762|6684|1167|1212|6520|138|577|1178|16575|16577|16580|16581|1185
275201,4861|5422|4762|7446|1164|1212|16614|16615|16621|16627|16628|1185
256686,4861|5422|4762|6689|1164|1212|16614|16616|16622|16627|16629|1185
256688,4861|5422|4762|6691|1164|1212|16614|16617|16623|16627|16630|1185
256684,4861|5422|4762|6687|1164|1212|16614|16618|16624|16627|16631|1185
256685,4861|5422|4762|6688|1164|1212|16614|16619|16625|16627|16632|1185
256683,4861|5422|4762|6686|1165|1212|2|16602|16605|1185
256687,4861|5422|4762|6690|1164|1212|16614|16620|16626|16627|16633|1185
260595,4861|5422|4762|6746|1166|1212|16634|16635|16636|16637|16638|1185
335225,4861|16468|13391|8857|544|16496|16494|16530|16531|16532
387315,4861|16468|13391|10610|544|16532|16533|16536|16538
394056,4861|16468|13391|10984|544|16501|16532|16534|16538
257034,4861|16468|13391|6692|544|16502|16532|16534|16538
373065,4861|16468|13391|9850|544|16532|16535|16537|16538
169309,4861|5422|13725|6206|1171|16639|16640|16641|16582|16642|1185
168950,4861|5422|13725|6200|1186|16598|16600|16601|1185
102145,4861|5422|13725|6021|1187|16643|16644|16582|16645|16646|1185
113817,4861|5422|13725|6094|555|16647|16634|16635|16582|16648|16649|1185
102162,4861|5422|13725|6024|1188|16650|16651|16582|16652|1185
172260,4861|5422|13725|6214|538|16582|107|108|16585|16589|16594|16592|16593|16596|1185
118606,4861|5422|13725|1650|538|16582|107|108|16585|16589|16595|16593|16597|1185
102131,4861|5422|13725|6019|1189|16653|16654|16582|16655|16656|1185
102155,4861|5422|13725|6022|1190|16657|16658|16582|16659|16660|1185
102159,4861|5422|13725|6023|1191|6520|138|16582|1178|16576|16578|16580|577|1185
168949,4861|5422|13725|6199|1191|6520|138|16582|1178|16576|16578|16579|577|1185
179161,4861|5422|13725|6233|1165|16582|2|16603|16604|1185
168946,4861|5422|13725|6198|1165|16582|2|16603|16604|1185
182665,4861|5422|13725|6251|1172|16606|16608|16609|16582|16611|1185
102139,4861|5422|13725|6020|1172|16606|16607|16609|16582|16611|1185
337000,4861|5422|16474|8904|538|16583|107|108|16586|16589|16593|1185
337002,4861|5422|16474|8905|538|16606|16607|16610|16611|1185
180983,4861|16468|17|6242|204|1217|16539|16540|16542
292659,4861|16468|17|7860|204|1217|16539|16540|16543
290004,4861|16468|17|7807|204|1217|16539|16541|16544
297077,4861|16468|17|7940|204|1217|16539|16540|16545
180981,4861|16468|17|6241|204|1217|16539|16541|16546
180512,4861|16468|16476|9091|250|6237|16490|16513|16511|16512
377043,4861|16468|16477|10036|1168|16547|16552|16553|16554
377041,4861|16468|16477|10034|1168|16548|16552|16553|16554
377042,4861|16468|16477|10035|1168|16549|16552|16553|16554
377044,4861|16468|16477|10037|1168|16550|16552|16553|16554
377045,4861|16468|16477|10038|1168|16551|16552|16553|16554
257863,4861|16468|13238|6702|570|16480|1219|16567|16568
284035,4861|16468|13238|1879|16481|1219|16494|16498|16569|16570|16571
261687,4861|16468|13238|6786|570|1219|16494|16498|16569|16570|16571
317131,4861|16468|13238|8367|571|16482|1219|16494|16497|16569|16570|16571
284087,4861|16468|13238|7694|250|16483|1219|16513|16511|16512
257862,4861|16468|13238|6701|250|16484|1219|16491|16513|16511|16512
388729,4861|16468|13238|10717|16485|1219|16493|16555|16573
257859,4861|16468|13238|6700|16493|1219|16556|16526|16572
330190,4861|16468|13238|1881|16499|16503|1219|16557|16558|16559
330948,4861|16468|13238|1882|16499|16504|1219|16557|16558|16559
257853,4861|16468|13238|6699|217|16486|1219|16560|16564|16565|16566
330193,4861|16468|13238|1884|1219|16561|16564|16565|16566
330192,4861|16468|13238|1886|16487|1219|16562|16564|16565|16566
257852,4861|16468|13238|6698|217|16488|1219|16563|16564|16565|16566
