id,name,status,sub_cate_id
16733,emasol disinfectant floor cleaner citrus,1,20
16734,emasol disinfectant floor cleaner lavender,1,20
16735,rangeela holi colour,1,20
16736,stop o disinfectant floor cleaner citrus,1,20
16737,stop o disinfectant floor cleaner citrus 2ltr,1,20
16738,stop o disinfectant floor cleaner lavender,1,20
16739,stop o glass cleaner sea breeze 500 ml,1,20
16740,the man company privilege active body perfume 150ml,1,20
16741,the man company privilege bold body perfume 150ml,1,20
16742,the man company privilege intense body spray 150ml,1,20
16743,the man company privilege legend body spray 150ml,1,20
16744,floor cleaner in house hold,1,20
16745,floor cleaner 1ltr bottle,1,20
16746,jasmine floor cleaner,1,20
16747,lemon floor cleaner,1,20
16748,domex floor cleaner,1,20
16749,mr muscle floor cleaner ,1,20
16750,stop o disinfectant floor cleaner,1,20
16751,godrej disinfectant floor cleaner,1,20
16752,disinfectant floor cleaner,1,20
16753,floor cleaner 2ltr bottle,1,20
16754,stop o disinfectant floor cleaner 1ltr,1,20
16755,citrus floor cleaner,1,20
16756,lavender floor cleaner,1,20
16757,cif floor cleaner,1,20
16758,cif floor cleaner 950ml,1,20
16759,domex floor cleaner 5ltr can,1,20
16760,emasol disinfectant floor cleaner citrus 975ml,1,20
16761,emasol disinfectant floor cleaner lavender 975ml,1,20
16762,godrej disinfectant floor cleaner 500ml bt,1,20
16763,mr muscle floor cleaner 1ltr bt,1,20
16764,nimlye herbal floor cleaner,1,20
16765,nimlye herbal floor cleaner 475ml,1,20
16766,nimlye herbal floor cleaner 975ml,1,20
16767,floor cleaner in herbal,1,20
16768,floor cleaner in cif,1,20
16769,toilet cleaners in house hold,1,20
16770,toilet cleaners in house hold 500ml,1,20
16771,toilet cleaners in house hold 1ltr,1,20
16772,toilet cleaner 5ltr can,1,20
16773,toilet cleaner combo pack,1,20
16774,harpic toilet cleaners in house hold,1,20
16775,urinal cleaners in aro,1,20
16776,toilet cleaners in domex,1,20
16777,toilet cleaners in harpic,1,20
16778,lime fresh toilet cleaners in domex,1,20
16779,domex orginal toilet cleaners,1,20
