id,name,status,sub_cate_id
16879,kitchen cleaner,1,20
16880,cif kitchen cleaner,1,20
16881,mr muscle kitchen cleaner,1,20
16882,kitchen cleaner 500ml pack,1,20
16883,kitchen cleaner 700ml pack,1,20
16884,cif kitchen cleaner 700ml pack,1,20
16885,mr muscle kitchen cleaner 500ml pack,1,20
16886,utensil cleaner,1,20
16887,utensil cleaner 500ml pack,1,20
16888,cif lemon cream in house hold,1,20
16889,cif original cream in house hold,1,20
16890,cif perfect grill spray in house hold,1,20
16891,cif stain less spray in house hold,1,20
16892,cif in cleaning and house hold,1,20
16893,utensil cleaner in lemon,1,20
16894,cif lemon flavour in cleaning,1,20
16895,cif grill spray,1,20
16896,cit stainless spary,1,20
16897,cif original cleaner bottle,1,20
16898,lime utensil cleaner,1,20
16899,lime utensil cleaner 500ml bottle,1,20
16900,lime utensil cleaner 250ml bottle,1,20
16901,egg,1,56
16902,omega egg,1,56
16903,white egg,1,56
16904,brown egg,1,56
16905,abi egg,1,56
16906,ayur omega egg dha ,1,56
16907,nutreen white eggs ,1,56
16908,skm best brown ,1,56
16909,nutri hatch white eggs ,1,56
16910,abhi egg nutri ,1,56
16911,abhi egg vit d3 ,1,56
16912,abhi egg,1,56
16913,skm best plus ,1,56
16914,nutreen brown eggs ,1,56
16915,nutreen white eggs ,1,56
16916,abhi egg vit d3 ,1,56
16917,abhi egg nutri,1,56
16918,abhi egg gold  ,1,56
16919,farm made free range egg ,1,56
16920,farm made free range egg ,1,56
16921,skm best brown ,1,56
