id,tax_class
102932,18
103730,5
169000,5
169052,5
169053,5
169166,12
169409,5
170777,5
177140,5
177259,18
180199,5
185568,5
186815,5
204772,5
206123,5
209412,5
213239,5
213240,5
213243,5
213244,5
222783,18
251191,5
255963,5
256222,5
256648,5
261199,5
263492,18
263493,18
263663,18
264001,18
264105,18
265074,0
265114,12
265692,12
266156,18
267016,18
267018,5
267232,18
267248,18
267755,0
270623,18
271119,12
271209,5
271245,18
271248,18
271254,18
271440,5
271980,5
274965,18
275128,5
275627,5
275817,5
275825,5
276653,18
276728,12
277102,18
278172,5
279027,5
279649,5
279815,5
280839,18
283555,18
284078,5
284787,5
286210,28
286573,5
290719,18
292361,18
293260,5
295812,18
295813,18
296072,18
297423,5
297424,5
297431,5
297432,5
297433,5
297434,5
297435,5
297436,5
299671,18
300345,12
300468,5
301309,5
301312,5
301324,5
301325,5
301326,5
302131,5
302138,12
302147,12
302150,12
302563,5
302571,5
302572,5
302574,5
302588,5
302590,5
303409,18
303412,18
303974,12
304662,18
304663,18
304705,5
305404,18
306111,12
307268,5
307281,5
307724,12
308370,12
308467,12
308585,12
308710,12
310941,12
312650,18
314045,12
318062,12
319335,18
319336,18
319340,18
320300,12
320559,12
320947,18
321589,5
322858,5
325192,12
325485,18
325561,18
325570,18
325736,12
327217,18
327752,5
327757,5
329988,18
332174,12
332178,12
332350,12
332588,18
333126,5
333353,5
333354,5
333355,5
333356,5
335598,5
336007,18
337064,18
337677,5
338536,18
339124,12
339126,18
339306,18
340480,18
340481,18
340482,18
340483,18
342391,5
342403,5
342654,18
342663,18
342666,18
342670,18
342677,18
342684,18
342831,18
343164,12
343476,18
343628,18
343820,18
344748,18
346515,5
347758,12
348076,18
348084,18
350325,5
351360,12
351782,18
352791,5
353191,18
353329,18
353710,5
356169,18
357413,18
357672,18
357686,5
357692,5
357693,5
358710,5
358713,5
358796,5
359360,5
359398,12
359399,12
361258,5
361343,5
362917,18
364941,5
365065,5
366493,5
366494,5
367053,5
367208,12
367216,12
367217,12
367423,5
369670,18
371323,5
371324,18
371455,18
371622,12
371695,5
371890,18
371892,18
373072,5
373568,12
374745,18
374809,5
374812,5
375109,12
375201,5
375204,5
375327,12
375421,5
375517,18
375518,18
375519,18
375520,18
375521,18
376359,0
376411,18
376427,18
376911,18
376967,18
376968,18
377039,18
377478,5
377787,18
377797,18
377799,18
377801,18
378180,18
378345,5
378366,5
378378,5
378595,18
379577,5
379578,5
379675,12
379964,18
379965,18
379983,18
379985,18
380020,18
380023,18
380159,18
380210,12
380466,18
380509,0
380583,18
380584,18
380708,18
381058,5
381062,5
381208,12
381209,12
381216,5
381217,5
381219,5
381259,18
381815,18
382075,18
382132,5
383207,18
383211,18
384053,12
384335,5
384336,5
384338,5
384340,5
384341,5
384342,5
384348,5
384351,5
385228,18
385297,18
385371,18
385492,5
385570,5
385741,18
385782,18
387940,5
387941,5
387993,18
388043,18
388144,18
388524,5
388530,5
388533,5
388542,5
388780,5
388785,5
388787,5
388963,5
390019,12
390058,18
390679,12
391298,5
391299,5
391442,12
391443,12
391445,12
391661,12
391798,18
391917,5
391918,5
391968,5
391969,5
391970,5
392164,5
392739,5
392744,5
392746,5
392749,5
392750,5
392752,5
392753,5
392754,5
392755,5
392757,5
392758,5
392759,5
392760,5
392762,5
392763,5
392764,5
392765,5
392767,5
392768,5
392769,5
392771,5
392772,5
392773,5
392774,5
392776,5
392777,5
392779,5
392780,5
392781,5
392782,5
392785,5
392804,5
392807,5
392808,5
392809,5
392810,5
392814,5
392823,5
392826,5
392833,12
392842,5
392845,5
392846,5
392847,5
392848,5
392853,5
392856,5
392863,5
392867,5
392911,18
392961,18
392965,18
392966,18
392991,5
393018,12
393019,12
393046,5
393049,12
393051,12
393059,12
393063,12
393064,12
393304,18
393351,5
393593,5
394839,12
394867,18
394868,18
394869,18
394936,18
395338,18
396831,18
397129,18
397133,5
398284,0
398321,5
398323,5
398325,5
398664,12
398665,12
398666,12
398697,12
398762,18
399027,18
399028,18
