id,tax_class
376768,12
385929,12
390018,12
419720,12
419721,12
418718,12
416755,12
416751,12
416750,12
397193,12
410941,0
393124,0
410942,0
235765,18
344775,18
364141,18
424603,18
357186,18
372601,18
427871,18
428775,18
340253,18
419406,18
384552,18
395321,18
353229,18
422513,18
422517,18
422546,18
422514,18
422516,18
422512,18
422511,18
424552,18
344774,18
384765,18
426791,18
423258,18
426794,18
398093,18
398092,18
398094,18
395328,18
408278,18
344700,18
364142,18
372225,18
372242,18
372226,18
372229,18
283572,18
377734,18
221467,18
346552,18
359406,18
395335,18
419403,18
221469,18
353232,18
395333,18
419402,18
229790,18
265710,18
265719,18
313786,18
379944,12
424521,18
424522,18
423057,5
423055,5
423058,5
423159,18
423246,18
423345,18
427659,18
412724,18
412725,18
