id,tags
376458,9998|836|838|5870
425589,13927|4876|5095|5101|838|5870
BT1210/15,3398|4458|4578|4602|838|5870
BT1215/15,3399|4458|4578|4602|838|5870
BT3102,12145||12530|12541|838|5870
BT3105,3404|4458|4578|4602|12530|12541|838|5870
BT3203/85,3401|4458|4578|4602|838|5870
BT3215/15,12144||838|5870
BT7501,3402|4458|4578|4602|12541|838|5870
QP2512,3403|4458|4578|4602|12530|12541|838|5870
S1223,3436|4450|4602|12530|12541|838|5870
S3122,3435|4450|4602|12530|12541|838|5870
S3350,3400|4458|4578|4602|12530|12541|838|5870
SYS180,4145|12534|12541|838|5870
SYS181,12340||12534|12541|838|5870
SYS182,4146|12534|12541|838|5870
SYS183,4147|12534|12541|838|5870
SYS184,12341||12534|12541|838|5870
SYS187,4148|12534|12541|838|5870
