id,discount
BDA1314-F,2
BDA1314-R,2
BDA1314-Z,2
BFC1112,2
BFC1112-B,2
BFC1314,2
BFC1516-R,2
BFM1112-BK,2
BFML1314-DG,2
BFML1314-PK,2
BFML1314-VA,2
BFML1314-Z,2
BFOR15,2
BFRBUB15-B,2
BFTMB13-B,2
BFTMB13-BK,2
BFTO1112-G,2
BFTO1516-BK,2
BFVELMB13-P,2
BKBZ17-B,2
BKBZ17-BK,2
BKFOR,2
BKFRBU15-DARP-B,2
BKLOOP15-DARP-BK,2
BKLOOP15-DARPZ,2
BKTUG-L-B,2
BKTUG-L-BK,2
BKTUG-M-BK,2
BLABK-DARP,2
BSLOOP13-BK,2
BSLOOP13-Z,2
BSLOOP15-Z,2
BSM1314-G,2
BSM1314-R,2
IPD109PRE-VM,2
IPD109PRE-Y,2
IPD109UPP-DG,2
IPD1121L-SG,2
IPD1121PRE-BK,2
IPD1121PRE-P,2
IPD1121PRE-VM,2
IPD1121PRE-Y,2
MA-CHUB-ALL-SG,2
MA-CHUB-HDMI-SG,2
MA-CHUB-IPD-SG,2
MA-CHUB-SD-SG,2
MA-CHUB-SG,2
MA-CHUB-USB-SG,2
MA-LDCOM-L-GB,2
WO3-MB13-BK,2
