id,name,status,sub_cate_id
17060,tucano backpack,1,117
17061,tucano laptop bag,1,119
17062,tucano shoulder bags,1,119
17063,tucano travel accessories,1,123
17064,tucano electronics,1,68
17065,tucano,1,117
17066,laptop backpack,1,117
17067,macbook laptop bag,1,119
17068,laptop bag sleeve,1,123
17069,messenger bag,1,119
17070,tucano case for ipad air & pro,1,68
17071,tucano i pad link,1,68
17072,tucano premio ipad pro 11 inch,1,68
17073,tucano type c 4 in 1 notebooks,1,68
17074,tucano 6 in 1 type c hub,1,68
17075,tucano 3 in 1 type c hub,1,68
17076,tucano type c 7 in 1 notebooks,1,68
17077,tucano type c 3 in 1 notebooks,1,68
17078,tucano 4 in 1 type c hub,1,68
