id,original_price,sell_price,variations_types,stocks,size
01O (0) 09 001,5950,4497,[],100,0
0601072HF2,11500,7142,[],100,0
0601072RK0,8500,5761,[],100,0
06011A15F3,7595,6506,[],100,0
06011A95F1,2690,2481,[],100,0
06012161F4,6030,5392,[],100,0
06012161F8,5785,5193,[],100,0
06012161FD,3630,3393,[],100,0
06012161FK,3205,2902,[],100,0
06012161FL,3915,3682,[],100,0
06012171F6,7605,6865,[],100,0
06012171F8,7375,6612,[],100,0
06012240F0,8835,7639,[],100,0
06012980F0,6980,6417,[],100,0
06012A70F1,8665,7646,[],100,0
060137505F,3225,2902,[],100,0
06013875F2,10190,7263,[],100,0
06013930F1,4895,4439,[],100,0
06013931F1,5425,4703,[],100,0
06013940F0,4355,3729,[],100,0
06013940F2,4370,3745,[],100,0
06013960F0,5260,4486,[],100,0
06013A02F0,6350,5807,[],100,0
06014775F0,5535,4837,[],100,0
06015A80F0,4980,4404,[],100,0
06016B30F0,8980,8353,[],100,0
06018242F1,9715,7774,[],100,0
06018B70F0,9620,7581,[],100,0
060194D0F0,3155,2950,[],100,0
06019804F5,6035,5438,[],100,0
06019805F0,3655,3409,[],100,0
06019G80F0,9410,7784,[],100,0
06019G80F1,6055,5260,[],100,0
06019G81K2,10805,8696,[],100,0
06019H20F0,3245,2906,[],100,0
06019H21L1,4400,3533,[],100,0
08N (0) 09 012,15600,12706,[],100,0
08S (0) 09 001,9900,6244,[],100,0
10000,1145,1106,[],100,0
10003,1350,1274,[],100,0
10007,1550,1494,[],100,0
10013,1850,1810,[],100,0
10016,2000,1828,[],100,0
10020,2075,1936,[],100,0
10024,2225,2116,[],100,0
10025,1850,1718,[],100,0
10027,2550,2550,[],100,0
10030,2990,2636,[],100,0
10033,3250,2796,[],100,0
10035,2290,2290,[],100,0
10037,2775,2775,[],100,0
10038,1065,987,[],100,0
1003AEI,599,599,[],100,0
1004ABEI,549,549,[],100,0
10200,1250,1192,[],100,0
10201,1450,1450,[],100,0
10203,1925,1925,[],100,0
10204,2100,1876,[],100,0
10206,2325,2248,[],100,0
10207,2650,2370,[],100,0
10209,3095,2672,[],100,0
10211,1950,1756,[],100,0
10212,2375,2096,[],100,0
10213,1125,1057,[],100,0
10275,1125,1125,[],100,0
10276,1175,1098,[],100,0
10707,2160,1924,[],100,0
10709,2290,2290,[],100,0
10717,2520,2400,[],100,0
10725,1550,1515,[],100,0
10726,1531,1531,[],100,0
10728,1895,1895,[],100,0
10733,1400,1260,[],100,0
10734,1890,1843,[],100,0
10755,1290,1290,[],100,0
10756,1460,1442,[],100,0
10757,1990,1788,[],100,0
10760,1950,1756,[],100,0
108087_03,4499,2673,[],100,0
1082-Mu-A,1899,1597,[],100,0
108226_317,17999,12812,[],100,0
108226_35,17999,12812,[],100,0
108226_788,17999,12812,[],100,0
108227_317,14999,10864,[],100,0
108227_35,14999,10864,[],100,0
10902,2025,1816,[],100,0
109025_36,3990,3175,[],100,0
10W Smart Bulb,2299,1255,[],100,0
11001,360,360,[],100,0
110090_36,6490,4945,[],100,0
110091_36,6990,5299,[],100,0
110093_36,9990,7423,[],100,0
1102H,799,799,[],100,0
11052,1560,1391,[],100,0
111059_03,10999,8410,[],100,0
111071_317,10999,7905,[],100,0
111071_437,10999,7905,[],100,0
111074GT_03,7999,5957,[],100,0
111074_03,7999,5802,[],100,0
111074_437,7999,5957,[],100,0
111078_109,3499,2653,[],100,0
111078_757,3499,2653,[],100,0
111078_886,3499,2703,[],100,0
111082_437,8499,6153,[],100,0
111087_03,7499,5607,[],100,0
111104_773,4999,3754,[],100,0
111104_875,5499,4105,[],100,0
111122_757,3499,2703,[],100,0
111122_773,3499,2703,[],100,0
111137_35,4499,3404,[],100,0
111141_03,3499,2653,[],100,0
111141_194,3499,2653,[],100,0
111141_40,3499,2653,[],100,0
112037_030,5990,4449,[],100,0
112038GT_03,3490,2589,[],100,0
112046_030,6990,5134,[],100,0
112053_396,10990,7899,[],100,0
112054_396,8990,6652,[],100,0
112057_03,4499,3504,[],100,0
114004_03,5999,4455,[],100,0
114004_117,5999,4401,[],100,0
114006_03,5699,4245,[],100,0
114006_194,5699,4245,[],100,0
114006_337,5699,4245,[],100,0
114006_785,5699,4245,[],100,0
114007_03,3199,2493,[],100,0
114007_337,3199,2493,[],100,0
114007_40,3199,2493,[],100,0
114007_551,3199,2438,[],100,0
114007_785,3199,2493,[],100,0
114015_787,4999,3754,[],100,0
114015_788,4999,3754,[],100,0
114016_787,4799,3564,[],100,0
114016_788,4799,3564,[],100,0
114018_787,3299,2508,[],100,0
114018_788,3299,2563,[],100,0
11545,1920,1732,[],100,0
11566,1750,1624,[],100,0
11567,2120,1892,[],100,0
11568,2300,2036,[],100,0
11569,2690,2348,[],100,0
11603,1510,1326,[],100,0
11604,2010,1804,[],100,0
11605,2200,2096,[],100,0
11607,2790,2577,[],100,0
11651,1380,1377,[],100,0
11652,1560,1366,[],100,0
11653,2130,1989,[],100,0
11654,2340,2068,[],100,0
11655,1480,1458,[],100,0
11656,1650,1516,[],100,0
11657,2200,2096,[],100,0
117045_03,6999,5256,[],100,0
117047_317,8799,6518,[],100,0
117050_317,3299,2563,[],100,0
117055_03,12999,9462,[],100,0
11730,2460,2164,[],100,0
12000,5780,4820,[],100,0
12001,6820,5761,[],100,0
121001_03,22990,16627,[],100,0
121001_844,22990,12064,[],100,0
121009_36,4490,3529,[],100,0
12105,3210,2764,[],100,0
122014_205,1490,870,[],100,0
122101_03,10990,5869,[],100,0
122102_03,7990,4321,[],100,0
122103_03,6490,3546,[],100,0
122104_03,4990,3783,[],100,0
122105_113,1490,920,[],100,0
122106_113,1890,1126,[],100,0
122107_113,2190,1281,[],100,0
123006_02,15990,8451,[],100,0
123006_206,15990,8451,[],100,0
123006_36,15990,11671,[],100,0
123007_36,12990,9547,[],100,0
123008_36,9990,7423,[],100,0
123010_36,5990,4491,[],100,0
126009_09,1999,1132,[],100,0
126013_03,1999,1132,[],100,0
126013_09,1999,1132,[],100,0
126014_03,1999,1132,[],100,0
126014_09,1999,1132,[],100,0
126014_335,1999,1132,[],100,0
126014_349,1999,1132,[],100,0
12W Inverter bulb,1298,1266,[],100,0
13-Piec-A,1299,971,[],100,0
1404,384,384,[],100,0
1409,436,436,[],100,0
1410,465,465,[],100,0
1415,435,435,[],100,0
1417,497,497,[],100,0
1418,435,435,[],100,0
1501,990,923,[],100,0
1502,680,655,[],100,0
1503,1235,1114,[],100,0
1504,1025,950,[],100,0
1505,740,680,[],100,0
1506,1275,1145,[],100,0
1507,590,525,[],100,0
1508,760,758,[],100,0
1509,750,700,[],100,0
1510,980,942,[],100,0
1513,1485,1409,[],100,0
1514,1880,1754,[],100,0
1601EI,599,599,[],100,0
1602AGEB,499,499,[],100,0
1602FH,499,499,[],100,0
1703IAEB,699,699,[],100,0
1710,510,510,[],100,0
1715,599,540,[],100,0
1723,595,595,[],100,0
1727,990,899,[],100,0
1728,810,810,[],100,0
1729,735,670,[],100,0
1801AI,999,969,[],100,0
1801HF,999,969,[],100,0
1802FH,649,649,[],100,0
1802GIBA,649,649,[],100,0
1805BEIA,1399,1194,[],100,0
1805HF,1399,1194,[],100,0
1806AGJEI,599,599,[],100,0
1806HF,599,599,[],100,0
19020B,1299,1299,[],100,0
20021,3420,3260,[],100,0
2013RC,1599,1550,[],100,0
2016EBACI,399,399,[],100,0
20223,2150,2150,[],100,0
20224,2895,2663,[],100,0
