id,discount
01O (0) 09 001,25
0601072HF2,38
0601072RK0,33
06011A15F3,15
06011A95F1,8
06012161F4,11
06012161F8,11
06012161FD,7
06012161FK,10
06012161FL,6
06012171F6,10
06012171F8,11
06012240F0,14
06012980F0,9
06012A70F1,12
060137505F,11
06013875F2,29
06013930F1,10
06013931F1,14
06013940F0,15
06013940F2,15
06013960F0,15
06013A02F0,9
06014775F0,13
06015A80F0,12
06016B30F0,7
06018242F1,20
06018B70F0,22
060194D0F0,7
06019804F5,10
06019805F0,7
06019G80F0,18
06019G80F1,14
06019G81K2,20
06019H20F0,11
06019H21L1,20
08N (0) 09 012,19
08S (0) 09 001,37
10000,4
10003,6
10007,4
10013,3
10016,9
10020,7
10024,5
10025,8
10027,0
10030,12
10033,14
10035,0
10037,0
10038,8
1003AEI,0
1004ABEI,0
10200,5
10201,0
10203,0
10204,11
10206,4
10207,11
10209,14
10211,10
10212,12
10213,7
10275,0
10276,7
10707,11
10709,0
10717,5
10725,3
10726,0
10728,0
10733,10
10734,3
10755,0
10756,2
10757,11
10760,10
108087_03,41
1082-Mu-A,16
108226_317,29
108226_35,29
108226_788,29
108227_317,28
108227_35,28
10902,11
109025_36,21
10W Smart Bulb,46
11001,0
110090_36,24
110091_36,25
110093_36,26
1102H,0
11052,11
111059_03,24
111071_317,29
111071_437,29
111074GT_03,26
111074_03,28
111074_437,26
111078_109,25
111078_757,25
111078_886,23
111082_437,28
111087_03,26
111104_773,25
111104_875,26
111122_757,23
111122_773,23
111137_35,25
111141_03,25
111141_194,25
111141_40,25
112037_030,26
112038GT_03,26
112046_030,27
112053_396,29
112054_396,27
112057_03,23
114004_03,26
114004_117,27
114006_03,26
114006_194,26
114006_337,26
114006_785,26
114007_03,23
114007_337,23
114007_40,23
114007_551,24
114007_785,23
114015_787,25
114015_788,25
114016_787,26
114016_788,26
114018_787,24
114018_788,23
11545,10
11566,8
11567,11
11568,12
11569,13
11603,13
11604,11
11605,5
11607,8
11651,1
11652,13
11653,7
11654,12
11655,2
11656,9
11657,5
117045_03,25
117047_317,26
117050_317,23
117055_03,28
11730,13
12000,17
12001,16
121001_03,28
121001_844,48
121009_36,22
12105,14
122014_205,42
122101_03,47
122102_03,46
122103_03,46
122104_03,25
122105_113,39
122106_113,41
