id,store_id,cover,name,images,original_price,sell_price,discount,kind,cate_id,sub_cate_id,in_home,is_single,have_gram,gram,have_kg,kg,have_pcs,pcs,have_liter,liter,have_ml,ml,descriptions,key_features,disclaimer,exp_date,type_of,in_stoke,rating,total_rating,status,in_offer,variations_types,size,tax_class,tags,hsn_code,brand_id
Aavante Bar 4000DA,46,Aavante Bar 4000DA.jpg,Boat Aavante Bar 4000DA Home Theatre & Sound Bars,"[""Aavante Bar 4000DA.jpg""]",24990,24990,0,-1,12,68,1,0,0,0,0,0,1,1,0,0,0,0,,,,20-12-2050,0,1,1,1,1,0,[],0,18,14044|14056|14071,0,93
KGSFAB15GHHR0-CMA,46,KGSFAB15GHHR0_CMA.jpg,Kenstar KGSFAB15GHHR0-CMA Fabrica 1500 Watt Garment Steamer,"[""KGSFAB15GHHR0_CMA.jpg""]",3490,3490,0,-1,12,68,1,0,0,0,0,0,1,1,0,0,0,0,,,,20-12-2050,0,1,1,1,1,0,[],0,18,14044|14057|14072,0,377
Aavante Bar 1198,46,Aavante Bar 1198.jpg,Boat Aavante Bar 1198 Home Theatre & Sound Bars,"[""Aavante Bar 1198.jpg""]",14990,14990,0,-1,12,68,1,0,0,0,0,0,1,1,0,0,0,0,,,,20-12-2050,0,1,1,1,1,0,[],0,18,14044|14056|14071,0,93
680014,46,680014.jpg,Bajaj 680014 Majesty New RCX 7 Multifunction Rice Cooker ,"[""680014.jpg""]",3400,3400,0,-1,15,74,1,0,0,0,0,0,1,1,0,0,0,0,,,,20-12-2050,0,1,1,1,1,0,[],0,18,14047|14048|14054|14073,0,60
680006,46,680006.jpg,Bajaj 680006 Majesty RCX 28 Rice Cooker,"[""680006.jpg""]",4050,4050,0,-1,15,74,1,0,0,0,0,0,1,1,0,0,0,0,,,,20-12-2050,0,1,1,1,1,0,[],0,18,14047|14048|14054|14073,0,60
733,46,733.jpg,"Signoraware 733 Crispy Slim Box Container, 850ml Plastic","[""733.jpg""]",130,130,0,-1,15,74,1,0,0,0,0,0,1,1,0,0,0,0,,,,20-12-2050,0,1,1,1,1,0,[],0,18,14047|14048|14041|14074,0,692
KOTG30SSKMR0-CGO,46,KOTG30SSKMR0_CGO.jpg,Kenstar 1800 W SS Finish 30 Litre Stainless Steel OTG,"[""KOTG30SSKMR0_CGO.jpg""]",9390,9390,0,-1,15,74,1,0,0,0,0,0,0,0,1,30,0,0,,,,20-12-2050,0,1,1,1,1,0,[],0,18,14047|14048|14055|14072,0,377
510015,46,510015.jpg,Morphy Richards 510015 28 RSS 28L Oven Toaster Griller (OTG),"[""510015.jpg""]",9295,9295,0,-1,15,74,1,0,0,0,0,0,1,1,0,0,0,0,,,,20-12-2050,0,1,1,1,1,0,[],0,18,14047|14048|14055|14075,0,960
FK6 (0) 09 001,46,FK6 0 09 001.jpg,AMERICAN TOURISTER Miami Spinner Black Trolley Bag (58 cm),"[""FK6 0 09 001.jpg""]",7500,7500,0,-1,14,71,1,0,0,0,0,0,1,1,0,0,0,0,,,,20-12-2050,0,1,1,1,1,0,[],0,18,14046|14058|14063|14076,0,28
FK6 (0) 08 001,46,FK6 0 08 001.jpg,AMERICAN TOURISTER Miami Spinner Grey Trolley Bag (58 cm),"[""FK6 0 08 001.jpg""]",7500,7500,0,-1,14,71,1,0,0,0,0,0,1,1,0,0,0,0,,,,20-12-2050,0,1,1,1,1,0,[],0,18,14046|14058|14063|14076,0,28
FH3 (0) 08 001,46,FH3 0 08 001.jpg,AMERICAN TOURISTER FH3 (0) 08 001 Small Cabin Luggage 58 cm (Grey),"[""FH3 0 08 001.jpg""]",7800,7800,0,-1,14,71,1,0,0,0,0,0,1,1,0,0,0,0,,,,20-12-2050,0,1,1,1,1,0,[],0,18,14046|14058|14063|14076,0,28
FH3 (0) 01 001,46,FH3 0 01 001.jpg,AMERICAN TOURISTER FH3 (0) 01 001 Small Cabin Luggage 58 cm (Blue),"[""FH3 0 01 001.jpg""]",7800,7800,0,-1,14,71,1,0,0,0,0,0,1,1,0,0,0,0,,,,20-12-2050,0,1,1,1,1,0,[],0,18,14046|14058|14063|14076,0,28
FD6 (0) 08 001,46,FD6 0 08 001.jpg,AMERICAN TOURISTER 34 L Backpack TIMBO+ SCH BAG 01 (Grey),"[""FD6 0 08 001.jpg""]",2500,2500,0,-1,14,117,1,0,0,0,0,0,1,1,0,0,0,0,,,,20-12-2050,0,1,1,1,1,0,[],0,18,14046|14049|14049|14063|14076,0,28
AH9098,46,AH9098.jpg,Adidas AH9098 POWER II 18 L Laptop Backpack,"[""AH9098.jpg""]",2299,2299,0,-1,14,117,1,0,0,0,0,0,1,1,0,0,0,0,,,,20-12-2050,0,1,1,1,1,0,[],0,18,14046|14049|14059|14063|14077,0,13
FV6 (0) 01 101,46,FV6 0 01 101.jpg,American Tourister Apex 01 Polyester Wheel Duffle Travel Bag (Blue),"[""FV6 0 01 101.jpg""]",3000,3000,0,-1,14,117,1,0,0,0,0,0,1,1,0,0,0,0,,,,20-12-2050,0,1,1,1,1,0,[],0,18,14046|14049|14060|14063|14076,0,28
FT5 (0) 09 001,46,FT5 0 09 001.jpg,AMERICAN TOURISTER UNIX SP ROLLING TOTE-BLK Luggage & Travel,"[""FT5 0 09 001.jpg""]",10200,10200,0,-1,14,117,1,0,0,0,0,0,1,1,0,0,0,0,,,,20-12-2050,0,1,1,1,1,0,[],0,18,14046|14049|14063|14076,0,28
Aavante Bar 1803,46,Aavante Bar 1803.jpg,Boat Aavante Bar 1803 Home Theatre & Sound Bars,"[""Aavante Bar 1803.jpg""]",19990,19990,0,-1,12,68,1,0,0,0,0,0,1,1,0,0,0,0,,,,20-12-2050,0,1,1,1,1,0,[],0,18,14044|14056|14071,0,93
Aavante Bar 3100D,46,Aavante Bar 3100D.jpg,Boat Aavante Bar 3100D Home Theatre & Sound Bars,"[""Aavante Bar 3100D.jpg""]",24990,24990,0,-1,12,68,1,0,0,0,0,0,1,1,0,0,0,0,,,,20-12-2050,0,1,1,1,1,0,[],0,18,14044|14056|14071,0,93
PGN093,46,PGN093.jpg,PIGEON PGN093 S/W Grill Sandwich Maker(white),"[""PGN093.jpg""]",1495,1495,0,-1,15,74,1,0,0,0,0,0,1,1,0,0,0,0,,,,20-12-2050,0,1,1,1,1,0,[],0,18,14047|14048|14064|14078,0,595
PIG12053,46,PIG12053.jpg,PIGEON PIG12053 SANDWICH MAKER - TOASTER (WHITE / BLACK),"[""PIG12053.jpg""]",1295,1295,0,-1,15,74,1,0,0,0,0,0,1,1,0,0,0,0,,,,20-12-2050,0,1,1,1,1,0,[],0,18,14047|14048|14065|14078,0,595
20234,46,20234.jpg,Prestige 20234 Svachh Clip-on 3.5 Litre Hard Anodised Pressure Kadai,"[""20234.jpg""]",3840,3840,0,-1,15,74,1,0,0,0,0,0,1,1,0,0,0,0,,,,20-12-2050,0,1,1,1,1,0,[],0,18,14047|14048|14066|14079,0,615
CD3041,46,CD3041.jpg,Adidas CD3041 ESS CORP CAP,"[""CD3041.jpg""]",799,799,0,-1,13,128,1,0,0,0,0,0,1,1,0,0,0,0,,,,20-12-2050,0,1,1,1,1,0,[],0,18,14051|14052|14070|14077,0,13
FS2 (0) 09 001,46,FS2 0 09 001.jpg,AMERICAN TOURISTER FS2 (0) 09 001 Astro Laptop backpack 01,"[""FS2 0 09 001.jpg""]",3350,3350,0,-1,14,121,1,0,0,0,0,0,1,1,0,0,0,0,,,,20-12-2050,0,1,1,1,1,0,[],0,18,14046|14050|14063|14076,0,28
KGSSER25WP8VGD-DOM,46,KGSSER25WP8VGD_DOM.jpg,Kenstar KGSSER25WP8VGD-DOM Serena Digi 25 L Water Heater,"[""KGSSER25WP8VGD_DOM.jpg""]",15990,15990,0,-1,12,68,1,0,0,0,0,0,0,0,1,25,0,0,,,,20-12-2050,0,1,1,1,1,0,[],0,18,14044|14061|14072,0,377
KGTINS03TP8V3K-DSE,46,KGTINS03TP8V3K_DSE.jpg,Kenstar KGTINS03TP8V3K-DSE Instant Water Heater 3L.,"[""KGTINS03TP8V3K_DSE.jpg""]",4790,4790,0,-1,12,68,1,0,0,0,0,0,0,0,1,3,0,0,,,,20-12-2050,0,1,1,1,1,0,[],0,18,14044|14061|14072,0,377
GFCDFTWD000000,46,GFCDFTWD000000.jpg,Eurekha Forbes Trendy Wet & Dry DX Vacuum Cleaner,"[""GFCDFTWD000000.jpg""]",9999,9999,0,-1,12,67,1,0,0,0,0,0,1,1,0,0,0,0,,,,20-12-2050,0,1,1,1,1,0,[],0,18,14044|14045|14062|14080,0,961
410153,46,410153.jpg,"Bajaj 410153 500 W Mixer Grinder (White, Black, 3 Jars)","[""410153.jpg""]",3950,3950,0,-1,15,74,1,0,0,0,0,0,1,1,0,0,0,0,,,,20-12-2050,0,1,1,1,1,0,[],0,18,14047|14048|14067|14073,0,60
KOTG17SSKMR0-CGO,46,KOTG17SSKMR0_CGO.jpg,Kenstar KOTG17SSKMR0-CGO OTG 17SS liter 1200 Watt OTG,"[""KOTG17SSKMR0_CGO.jpg""]",5390,5390,0,-1,15,74,1,0,0,0,0,0,1,1,0,0,0,0,,,,20-12-2050,0,1,1,1,1,0,[],0,18,14047|14048|14068|14072,0,377
