id,discount
01O (0) 01 002,41
01O (0) 09 001,25
0601072HF2,42
0601072RK0,33
06011A15F3,17
06011A95F1,19
06012161F4,19
06012161F8,19
06012161FD,18
06012161FK,17
06012161FL,17
06012171F6,10
06012171F8,18
06012240F0,17
06012980F0,16
06012A70F1,20
060137505F,21
06013875F2,33
06013930F1,20
06013931F1,18
06013940F0,19
06013940F2,19
06013960F0,15
06013A02F0,22
06014775F0,19
06015A80F0,20
06016B30F0,16
06018242F1,17
06018B70F0,19
060194D0F0,17
06019804F5,19
06019805F0,17
06019G80F0,17
06019G80F1,20
06019G81K2,23
06019H20F0,20
06019H21L1,26
08N (0) 09 012,20
08S (0) 09 001,37
10000,4
10003,11
10007,4
10013,3
10016,9
10020,7
10024,14
10025,12
10027,13
10030,16
10033,16
10035,15
10037,15
10038,17
1003AEI,0
1004ABEI,0
10200,11
10201,12
10203,14
10204,14
10206,15
10207,15
10209,14
10211,12
10212,15
10213,14
10275,14
10276,15
10707,11
10709,13
10717,5
10725,12
10726,13
10728,14
10733,12
10734,19
10755,0
10756,12
10757,14
10760,10
108087_03,35
1082-Mu-A,16
108226_317,29
108226_35,29
108226_788,29
108227_317,35
108227_35,35
10902,11
109025_36,27
10W Smart Bulb,49
11001,0
110090_36,28
110091_36,28
110093_36,28
1102H,0
11052,11
111059_03,24
111071_317,29
111071_437,29
111074GT_03,34
111074_03,28
111074_437,34
111078_109,34
111078_757,34
111078_886,34
111082_437,28
111087_03,26
111104_773,35
111104_875,35
111122_757,34
111122_773,34
111137_35,35
111141_03,34
111141_194,34
111141_40,34
112037_030,35
112038GT_03,27
112046_030,28
112053_396,29
112054_396,35
112057_03,35
114004_03,35
114004_117,27
114006_03,35
114006_194,35
114006_337,35
114006_785,35
114007_03,34
114007_337,34
114007_40,34
114007_551,24
114007_785,34
114015_787,35
114015_788,35
114016_787,35
114016_788,35
114018_787,24
114018_788,34
11545,10
11566,13
11567,11
11568,12
11569,13
11603,13
11604,11
11605,14
11607,8
11651,12
11652,13
11653,14
11654,12
11655,12
11656,9
11657,14
117045_03,35
117047_317,35
117050_317,34
117055_03,35
11730,13
12000,17
12001,16
121001_03,29
121001_844,48
121009_36,27
12105,16
122014_205,23
122101_03,47
122102_03,46
122103_03,46
122104_03,28
122105_113,23
122106_113,24
122107_113,25
123006_02,48
123006_206,48
123006_36,28
123007_36,28
123008_36,28
123010_36,28
126009_09,32
126013_03,32
126013_09,32
126014_03,32
126014_09,32
126014_335,32
126014_349,32
12W Inverter bulb,5
13-Piec-A,26
1404,0
1409,0
1410,0
1415,0
1417,0
1418,0
1501,17
1502,15
1503,18
1504,18
1505,16
1506,19
1507,14
1508,14
1509,16
1510,17
1513,16
1514,17
1601EI,0
1602AGEB,0
1602FH,0
1703IAEB,0
1710,2
1715,10
1723,14
1727,17
1728,12
1729,9
1801AI,4
1801HF,4
1802FH,0
1802GIBA,0
1805BEIA,15
1805HF,15
1806AGJEI,0
1806HF,0
19020B,0
20021,14
2013RC,4
2016EBACI,0
20223,0
20224,15
20225,10
20229,14
20230,15
20231,13
20232,16
20235,16
20236,16
20238,15
20239,10
20240,5
20242,15
20247,13
20248,15
20249,15
20250,14
20251,6
20254,16
20307,14
20327,15
20330,14
20355,14
20357,15
20359,10
20360,2
20375,14
20429,3
20454,9
20457,10
20459,13
20504,8
20513,16
20551,7
20552,15
20601,11
20651,0
20652,18
20653,16
20654,4
2100096342,22
2100096348,21
2100096353,20
2100102552,22
216,13
2218EA,0
2218FH,8
22W (0) 03 011,12
22W (0) 03 012,16
22W (0) 03 113,13
22W (0) 03 114,17
22W (0) 09 013,16
22W (0) 09 014,16
22W (0) 09 113,13
241437,46
241441,46
241481,46
241492,46
241540,40
241656,46
241658,46
241675,46
241677,46
241681,46
241682.1,46
241683.1,46
241712.1,46
241719.1,46
241725.1,46
242,0
244,15
2451,17
2452,17
2459,18
249094.1,46
249096.1,46
24N (0) 09 003,30
24N (0) 09 005,19
24N (0) 09 008,20
25654,15
271,18
2728640417,39
27O (0) 08 001,56
29124,22
30495,19
30496,20
3054,22
30601,20
30602,21
30603,17
30604,19
30609,6
30610,19
30709,18
30710,19
30711,21
30712,26
30713,19
30714,18
30715,10
30716,19
30720,18
30725,21
30726,10
30727,20
30728,18
30729,17
30730,21
30731,23
30732,18
30733,20
30734,22
30735,18
30739,22
30747,18
30837,20
30843,17
30844,19
30845,24
30880,24
30894,19
30956,15
30967,21
30968,19
31R (0) 09 003,19
32PHT4233S,24
32PHT5505,8
32PHT5813S,41
3401,0
3405,0
3408,0
3410,0
3412,0
3436,0
3451,0
3501,16
3502,14
35035,22
35036,24
35037,0
35038,0
35039,9
3504,9
35044,19
35045,19
3505,16
3506,14
3507,14
3510,14
3511,14
35118,16
3512,16
3513,15
355,24
3555431416,39
3555606416,39
356G,21
3576310405,39
36022,3
36023,16
36024,16
36301,19
36302,11
36304,18
36305,19
36307,16
36308,18
36310,17
36311,19
36314,19
36316,46
36318,23
36331,16
36406,5
36407,7
36501,10
36502,19
36503,7
36717,0
36718,19
36720,10
36722,49
36725,0
36728,13
36753,29
36758,21
36775,2
36777,14
36778,7
36779,7
36788,0
36789,1
36800,11
36802,14
36804,19
36805,19
36806,21
36807,18
36818,17
36819,19
36820,12
36821,16
36822,21
36824,19
36825,13
36826,12
3701,0
3702,0
3703,0
37067,16
37068,23
