id,original_price,sell_price,variations_types,in_stoke
1003AEI,599,599,[],0
1004ABEI,549,549,[],0
1082-Mu-A,1899,1597,[],0
1102H,799,799,[],0
13-Piec-A,1299,971,[],0
1601EI,599,599,[],0
1602AGEB,499,499,[],0
1602FH,499,499,[],0
1703IAEB,699,699,[],0
1801AI,999,969,[],0
1801HF,999,969,[],0
1802FH,649,649,[],0
1802GIBA,649,649,[],0
1805BEIA,1399,1194,[],0
1805HF,1399,1194,[],0
1806AGJEI,599,599,[],0
1806HF,599,599,[],0
19020B,1299,1299,[],0
2013RC,1599,1550,[],0
2016EBACI,399,399,[],0
2218EA,1599,1599,[],0
2218FH,1599,1478,[],0
3054,2499,1961,[],0
356G,1899,1519,[],0
46PAS,399,386,[],0
553-323-A,1299,1028,[],0
606-609-A,999,848,[],1
6136b-E-A,2499,1946,[],0
668-48,1999,1813,[],0
678-103,899,748,[],0
678-103-A,899,748,[],0
678-104-A,899,715,[],1
678A,799,708,[],0
7050,2999,2166,[],1
7637,749,643,[],0
77008-s-A,2199,1736,[],0
8002-Se-A,799,678,[],0
8661,1199,1003,[],0
929-B2 -A,699,608,[],0
999-2,2499,2040,[],0
AVI001,1115,1115,[],0
AVI002,1099,1099,[],0
AVI003,1099,888,[],0
AVI004,1339,1339,[],0
BF-630A-A,1899,1519,[],0
CBASB,1250,993,[],0
CHTO1,949,921,[],0
CHTO10,2399,2321,[],0
CHTO12,1199,1003,[],0
CHTO13,849,713,[],0
CHTO14,1399,1286,[],0
CHTO15,2299,1728,[],0
CHTO16,849,849,[],0
CHTO17,849,849,[],0
CHTO18,4199,3136,[],0
CHTO19,1399,1233,[],0
CHTO2,949,818,[],0
CHTO20,499,486,[],0
CHTO21,1649,1335,[],0
CHTO4,2199,1708,[],1
CHTO5,1299,1265,[],0
CHTO6,1999,1811,[],0
CHTO7,1099,1080,[],0
CHTO8,1499,1425,[],0
CHTO9,849,745,[],0
CY6067B-A,1649,1335,[],0
DH34,630,630,[],0
FDLX608,1049,892,[],0
FY008-917,949,783,[],0
GF356,1199,1003,[],0
HE0603-04,2099,1712,[],1
HE0801,2399,2298,[],0
HG235A -A,2599,1898,[],1
HSC5706,2499,2040,[],0
KC008-915-919,949,949,[],0
KRS-F-6,3599,3034,[],0
KS-3,1499,1499,[],0
KS-4,1999,1908,[],0
