id,original_price,sell_price,variations_types,stocks,size
Aavante Bar 1280,13990,6599,[],27,0
FNKEFREW6H15SDST,1430,1016,[],27,0
KMMIX50N3SDBB,3445,1888,[],27,0
KNZES10T1PDBM,990,570,[],27,0
KNZES10R1PDBM,990,570,[],27,0
KNGLP10W1MDBM,875,450,[],27,0
Aavante Bar 4000DA,24990,17999,[],27,0
KGSFAB15GHHR0-CMA,3490,2148,[],27,0
HTL1045,9990,7320,[],27,0
Aavante Bar 1198,14990,6239,[],27,0
603,220,172,[],27,0
680014,3400,2535,[],27,0
680006,4050,3369,[],27,0
733,130,102,[],27,0
KOTG30SSKMR0-CGO,9390,6840,[],27,0
510015,9295,8763,[],27,0
678-104-A,899,605,[],27,0
HE0603-04,2099,1412,[],27,0
19020B,1299,921,[],27,0
PC92-B,449,303,[],27,0
27O (0) 08 001,7500,3240,[],27,0
LD1 (0) 01 003,10350,4472,[],27,0
FK6 (0) 09 001,7500,3564,[],27,0
FK6 (0) 08 001,7500,3564,[],27,0
FH3 (0) 08 001,7800,3707,[],27,0
FH3 (0) 01 001,7800,3707,[],27,0
5587111408,3940,2364,[],27,0
3576310405,5990,3594,[],27,0
2728640417,6020,3612,[],27,0
FD6 (0) 08 001,2500,1440,[],27,0
AH9098,2299,1121,[],27,0
FX1 (0) 09 101,8800,3120,[],27,0
24N (0) 09 003,9500,6498,[],27,0
FD7 (0) 09 001,3600,1200,[],27,0
FV6 (0) 01 101,3000,1860,[],27,0
FT5 (0) 09 001,10200,5040,[],28,0
KKOLL10C1SCLW,1740,1109,[],27,0
FNKEFUMG3H22SDST,1520,1242,[],27,0
Aavante Bar 1803,19990,9359,[],27,0
Aavante Bar 3100D,24990,14999,[],27,0
KRMPR18W2SCJJ,2960,1788,[],27,0
Ujjwal Plus,1900,1710,[],27,0
MMS6080B,6490,5412,[],27,0
KKB10C3PDBH,1270,834,[],27,0
GNM002,9999,9000,[],27,0
GNM003,4499,3240,[],27,0
SN95,995,410,[],27,0
NATLOXY,2499,672,[],100,0
41269,2495,1647,[],27,0
HL1631/00,4295,3560,[],27,0
HD4929/01,4695,3474,[],27,0
FESCVC,3599,2772,[],27,0
FTNVC,4100,3192,[],27,0
FLV,3490,2932,[],27,0
PGN093,1495,1003,[],27,0
PIG12053,1295,1088,[],27,0
36806,2370,1784,[],27,0
36314,1120,861,[],27,0
30731,970,746,[],27,0
30731,970,746,[],27,0
20234,3840,2862,[],27,0
41767,745,638,[],27,0
36301,1080,830,[],27,0
30712,910,699,[],27,0
GC1920/28,2345,1944,[],27,0
30726,970,746,[],27,0
35037,390,294,[],27,0
AP12WL,925,732,[],27,0
41971,5695,3918,[],27,0
HDFD765018M3,5375,1260,[],27,0
HDER695238M3,5375,1260,[],27,0
HDES798078M3,5375,1260,[],27,0
HDES798106M3,5375,1260,[],27,0
HDES798019M3,5375,1260,[],27,0
HEFQ068096M4,5375,1260,[],27,0
HDES798106M3,5375,1260,[],27,0
HDES798106M3,5375,1260,[],27,0
HEFQ068083M4,5375,1260,[],27,0
S96920,599,217,[],50,0
CY6240,499,206,[],50,0
CD3041,799,343,[],100,0
LX175,1049,744,[],27,0
RAT011,599,404,[],27,0
BF-630A-A,1899,1346,[],27,0
5995202459,9500,4234,[],27,0
3555431416,5330,3198,[],27,0
5617606406,2590,1554,[],27,0
7737202156,11000,3894,[],27,0
HXDC517095N2,3390,1343,[],27,0
FS2 (0) 09 001,3350,1740,[],50,0
DM7787,3599,1831,[],100,0
32PHT5813S,34990,17760,[],27,0
FNKTTAVL3H40SDST,2790,2089,[],27,0
FNKCCOAB3B12ADAG,2050,1531,[],27,0
KGSSER25WP8VGD-DOM,15990,10778,[],27,0
32PHT5505,19990,17400,[],27,0
KGTINS03TP8V3K-DSE,4790,2874,[],27,0
GFCDFTWD000000,9999,9000,[],27,0
410153,3950,3288,[],27,0
KOTG17SSKMR0-CGO,5390,4080,[],27,0
SUJ001,7308,6054,[],27,0
KOTG45PCKMR0-CGO,11490,6948,[],27,0
41215,5195,3666,[],27,0
40092,4795,2959,[],27,0
WEL016,2999,1548,[],27,0
WEL007,3499,1410,[],27,0
WEL004,2299,882,[],27,0
