id,original_price,sell_price,variations_types,stocks,size
01O (0) 09 001,5950,3428,[],0,0
0601072HF2,11500,7633,[],100,0
0601072RK0,8500,6256,[],100,0
06011A15F3,7595,6104,[],100,0
06011A95F1,2690,2186,[],100,0
06012161F4,6030,4792,[],100,0
06012161F8,5785,4593,[],100,0
06012161FD,3630,2893,[],100,0
06012161FK,3205,2581,[],100,0
06012161FL,3915,3182,[],100,0
06012171F6,7605,6165,[],100,0
06012171F8,7375,5912,[],100,0
06012240F0,8835,7166,[],100,0
06012980F0,6980,5667,[],100,0
06012A70F1,8665,6746,[],100,0
060137505F,3225,2520,[],100,0
06013875F2,10190,7498,[],100,0
06013930F1,4895,3839,[],100,0
06013931F1,5425,4394,[],100,0
06013940F0,4355,3429,[],100,0
06013940F2,4370,3445,[],100,0
06013960F0,5260,4186,[],100,0
06013A02F0,6350,4907,[],100,0
06014775F0,5535,4438,[],100,0
06015A80F0,4980,3904,[],100,0
06016B30F0,8980,7353,[],100,0
06018242F1,9715,7895,[],100,0
06018B70F0,9620,7688,[],100,0
060194D0F0,3155,2550,[],0,0
06019804F5,6035,4838,[],100,0
06019805F0,3655,2959,[],100,0
06019G80F0,9410,7650,[],100,0
06019G80F1,6055,4760,[],100,0
06019G81K2,10805,8196,[],100,0
06019H20F0,3245,2506,[],0,0
06019H21L1,4400,3581,[],100,0
08N (0) 09 012,15600,12356,[],0,0
08S (0) 09 001,9900,4705,[],0,0
10000,1145,935,[],0,0
10003,1500,1170,[],0,0
10007,1550,1240,[],0,0
10013,1850,1510,[],0,0
10016,2000,1632,[],100,0
10020,2075,1694,[],0,0
10024,2225,1816,[],100,0
10025,2040,1592,[],100,0
10027,2820,2355,[],0,0
10030,3300,2575,[],0,0
10033,3590,2801,[],100,0
10035,2520,1966,[],100,0
10037,3060,2387,[],100,0
10038,1180,936,[],0,0
1003AEI,599,461,[],0,0
1004ABEI,549,423,[],0,0
10200,1250,1021,[],0,0
10201,1450,1184,[],100,0
10203,1925,1571,[],0,0
10204,2100,1714,[],0,0
10206,2440,1904,[],0,0
10207,2650,2163,[],0,0
10209,3430,2676,[],0,0
10211,2190,1829,[],0,0
10212,2375,1938,[],100,0
10213,1125,919,[],0,0
10275,1240,968,[],0,0
10276,1290,1007,[],0,0
10707,2160,1728,[],0,0
10709,2400,2004,[],0,0
10717,2400,1920,[],100,0
10725,1550,1265,[],100,0
10726,2310,1929,[],0,0
10728,1895,1547,[],0,0
10733,1400,1143,[],0,0
10734,2050,1579,[],0,0
10755,1290,1053,[],100,0
10756,1625,1268,[],0,0
10757,1990,1624,[],0,0
10760,1950,1560,[],0,0
108087_03,4499,3106,[],100,0
1082-Mu-A,1899,1402,[],0,0
108226_317,17999,12616,[],0,0
108226_35,17999,12425,[],100,0
108226_788,17999,12616,[],0,0
108227_317,14999,10354,[],100,0
108227_35,14999,10354,[],100,0
10902,2025,1621,[],100,0
109025_36,3990,2825,[],0,0
10W Smart Bulb,2299,1216,[],100,0
11001,435,339,[],100,0
110090_36,6490,4978,[],100,0
110091_36,6990,4949,[],0,0
110093_36,9990,7073,[],0,0
1102H,799,616,[],0,0
11052,1560,1273,[],0,0
111059_03,12990,8968,[],100,0
111071_317,12990,8968,[],100,0
111071_437,12990,8968,[],100,0
111074GT_03,7999,5522,[],100,0
111074_03,7999,5607,[],0,0
111074_437,7999,5522,[],100,0
111078_109,3499,2416,[],100,0
111078_757,3499,2230,[],0,0
111078_886,3499,2416,[],100,0
111082_437,8499,5958,[],0,0
111087_03,7499,5177,[],100,0
111104_773,4999,3451,[],100,0
111104_875,5499,3796,[],100,0
111122_757,3499,2416,[],100,0
111122_773,3499,2416,[],100,0
111137_35,4499,3106,[],100,0
111141_03,3499,2416,[],100,0
111141_194,3499,2416,[],100,0
111141_40,3499,2416,[],100,0
112037_030,5990,4135,[],100,0
112038GT_03,3490,2677,[],100,0
112046_030,6990,5362,[],100,0
112053_396,10990,7704,[],0,0
112054_396,8990,6206,[],100,0
112057_03,4499,2867,[],0,0
114004_03,5999,4142,[],100,0
114004_117,5999,4142,[],100,0
114006_03,5699,3935,[],100,0
114006_194,5699,3935,[],100,0
114006_337,5699,3632,[],0,0
114006_785,5699,3632,[],0,0
114007_03,3199,2039,[],0,0
114007_337,3199,2209,[],100,0
114007_40,3199,2039,[],0,0
114007_551,3199,2243,[],0,0
114007_785,3199,2209,[],100,0
114015_787,4999,3451,[],100,0
114015_788,4999,3451,[],100,0
114016_787,4799,3058,[],0,0
114016_788,4799,3313,[],100,0
114018_787,3299,2313,[],0,0
114018_788,3299,2103,[],0,0
11545,1920,1536,[],100,0
11566,1750,1429,[],0,0
11567,2120,1696,[],0,0
11568,2300,1840,[],0,0
11569,2690,2152,[],0,0
11603,1510,1208,[],0,0
11604,2010,1608,[],100,0
11605,2200,1796,[],100,0
11607,2790,2277,[],0,0
11651,1380,1127,[],100,0
11652,1560,1248,[],100,0
11653,2130,1739,[],100,0
11654,2340,1872,[],0,0
11655,1480,1208,[],100,0
11656,1650,1320,[],0,0
11657,2200,1796,[],0,0
117045_03,6999,4832,[],100,0
117047_317,8799,6074,[],100,0
117050_317,3999,2761,[],100,0
117055_03,12999,8974,[],100,0
11730,2460,1968,[],0,0
12000,5780,4717,[],0,0
12001,6820,5566,[],0,0
121001_03,22990,17634,[],100,0
121001_844,22990,11869,[],0,0
121009_36,4490,3444,[],100,0
12105,3210,2620,[],0,0
122014_205,1490,1143,[],100,0
122101_03,10990,8430,[],100,0
122102_03,7990,4125,[],0,0
122103_03,6490,4978,[],100,0
122104_03,4990,3828,[],100,0
122105_113,1490,1143,[],100,0
122106_113,1890,1450,[],100,0
122107_113,2190,1680,[],100,0
123006_02,15990,8255,[],0,0
123006_206,15990,8255,[],0,0
123006_36,15990,11321,[],0,0
123007_36,12990,9964,[],100,0
123008_36,9990,7663,[],100,0
123010_36,5990,4595,[],100,0
126009_09,1999,1380,[],100,0
126013_03,1999,1380,[],100,0
126013_09,1999,1380,[],100,0
126014_03,1999,1380,[],100,0
126014_09,1999,1380,[],100,0
126014_335,1999,1380,[],100,0
126014_349,1999,1380,[],100,0
12W Inverter bulb,1298,1141,[],100,0
13-Piec-A,1299,854,[],0,0
1404,384,308,[],0,0
1409,436,349,[],0,0
1410,465,373,[],0,0
1415,435,349,[],0,0
1417,497,398,[],0,0
1418,435,349,[],0,0
1501,990,773,[],0,0
1502,680,531,[],0,0
1503,1235,964,[],0,0
1504,1025,800,[],0,0
1505,740,578,[],0,0
1506,1275,995,[],0,0
1507,590,461,[],0,0
1508,760,609,[],0,0
1509,750,585,[],0,0
1510,980,765,[],0,0
1513,1485,1159,[],0,0
1514,1880,1467,[],0,0
1601EI,599,461,[],0,0
1602AGEB,499,384,[],0,0
1602FH,499,384,[],0,0
1703IAEB,699,538,[],0,0
1710,510,471,[],0,0
1715,467,467,[],0,0
1723,595,465,[],0,0
1727,990,773,[],0,0
1728,810,667,[],0,0
1729,670,536,[],0,0
1801AI,999,769,[],0,0
1801HF,999,769,[],0,0
1802FH,649,500,[],0,0
1802GIBA,649,500,[],0,0
1805BEIA,1399,1077,[],0,0
1805HF,1399,1077,[],0,0
1806AGJEI,599,461,[],0,0
1806HF,599,461,[],0,0
19020B,1299,959,[],0,0
20021,3420,2856,[],0,0
2013RC,1599,1181,[],0,0
2016EBACI,399,307,[],0,0
20223,2380,1857,[],0,0
20224,2895,2363,[],0,0
20225,2595,2118,[],100,0
20229,4170,3253,[],100,0
20230,4490,3749,[],100,0
20231,3470,2707,[],0,0
20232,3840,3134,[],0,0
20234,3840,2863,[],0,0
20235,4070,3256,[],0,0
20236,3470,2832,[],0,0
20238,3470,2776,[],0,0
20239,3260,2661,[],0,0
20240,3470,2898,[],0,0
20242,4490,3749,[],100,0
20247,2410,2013,[],100,0
20248,2420,1975,[],0,0
20249,2890,2255,[],100,0
20250,3080,2572,[],0,0
20251,3440,2684,[],100,0
20254,4120,3362,[],0,0
20307,3420,2856,[],0,0
20327,3790,3032,[],0,0
