id,original_price,sell_price,variations_types,stocks,size
146384,87,75,[],345,0
172917,109,94,[],28,0
180512,240,176,[],28,0
180981,165,151,[],28,0
180983,175,160,[],68,0
217464,48,48,[],28,0
257034,220,201,[],542,0
257852,45,43,[],161,0
257853,45,43,[],151,0
257859,40,37,[],102,0
257862,85,78,[],68,0
257863,33,31,[],113,0
261687,85,78,[],113,0
284035,165,151,[],123,0
284087,29,27,[],86,0
290004,100,91,[],35,0
292659,100,91,[],28,0
297077,180,164,[],34,0
314045,21,20,[],28,0
317131,70,64,[],135,0
324876,40,33,[],566,0
324879,80,65,[],474,0
330190,65,60,[],223,0
330192,45,43,[],158,0
330193,45,43,[],118,0
330948,115,78,[],33,0
335225,270,257,[],135,0
373065,230,210,[],58,0
377041,29,28,[],28,0
377042,29,29,[],28,0
377043,29,28,[],28,0
377044,29,28,[],28,0
377045,29,28,[],28,0
384890,290,264,[],28,0
384891,345,297,[],28,0
384897,110,101,[],28,0
386064,450,428,[],28,0
386067,630,574,[],28,0
387315,95,87,[],199,0
388729,40,37,[],190,0
391661,99,95,[],67,0
394056,360,310,[],55,0
416207,80,79,[],276,0
106417,150,137,[],146,0
273619,270,246,[],28,0
273620,270,246,[],263,0
273623,170,155,[],238,0
284553,100,73,[],112,0
284567,160,108,[],28,0
375304,1800,1314,[],28,0
375307,170,138,[],1143,0
103737,345,311,[],28,0
125319,375,338,[],28,0
229635,635,572,[],28,0
229636,575,543,[],28,0
264796,275,248,[],28,0
268713,610,576,[],28,0
295879,375,338,[],28,0
311713,355,320,[],28,0
311717,385,347,[],28,0
324289,265,250,[],28,0
324292,240,234,[],28,0
353579,145,143,[],28,0
353584,455,448,[],28,0
353585,200,198,[],28,0
365967,135,122,[],28,0
256655,310,283,[],28,0
259837,190,181,[],27,0
259856,195,186,[],53,0
265371,430,392,[],38,0
266156,260,247,[],28,0
296072,190,181,[],28,0
318987,699,637,[],35,0
318989,1690,1538,[],27,0
318994,675,615,[],28,0
318998,699,637,[],47,0
318999,1800,1638,[],28,0
322932,35,34,[],748,0
322933,35,34,[],331,0
328680,2600,2366,[],28,0
343820,1199,1092,[],28,0
351050,140,133,[],52,0
353634,1310,1193,[],28,0
353644,1250,1138,[],28,0
353647,20,20,[],275,0
353658,20,20,[],58,0
361006,175,167,[],72,0
380583,280,255,[],28,0
380584,100,91,[],28,0
380976,199,182,[],71,0
380977,359,342,[],68,0
380978,1999,1820,[],28,0
380981,2650,2279,[],39,0
385295,20,20,[],289,0
385296,20,20,[],736,0
385297,40,37,[],28,0
392911,999,910,[],28,0
392913,275,251,[],52,0
392961,359,342,[],88,0
392965,199,190,[],28,0
392966,299,273,[],87,0
393065,295,281,[],70,0
405405,460,437,[],139,0
415280,180,164,[],28,0
419145,485,418,[],28,0
424931,890,766,[],29,0
424934,150,137,[],28,0
424935,150,137,[],28,0
424939,450,387,[],28,0
424940,990,852,[],28,0
267629,140,121,[],56,0
294223,190,164,[],415,0
298983,899,774,[],36,0
326875,265,228,[],474,0
329278,200,182,[],247,0
394867,400,172,[],1109,0
418189,85,74,[],118,0
421951,200,172,[],28,0
422300,140,80,[],318,0
424567,250,168,[],28,0
424568,310,267,[],704,0
424593,295,169,[],464,0
