id,name,original_price,sell_price,variations_types,stocks,size
274118,"Sunpure Refined Oil Sunflower, 1L (Pack of 10)",1800,1458,[],0,0
274120,"Sunpure Refined Oil Sunflower, 1L",180,146,[],0,0
274122,"Sunpure Refined Cooking Oil - Sunflower, 500ml Pouch (Pack of 20)",1900,1539,[],0,0
274124,"Sunpure Refined Cooking Oil - Sunflower, 500ml Pouch",95,77,[],0,0
274125,Sunpure Refined Sunflower Oil Plastic Bottle (5L),800,688,[],0,0
274128,"Gold Winner Refined Sunflower - Oil, 500 ml Pouch (Pack of 20)",1700,1377,[],0,0
274129,"Gold Winner Refined Sunflower - Oil, 500 ml Pouch",85,74,[],0,0
274138,"Gold Winner Refined Sunflower - Oil, 1 L Pouch (Pack of 10)",1520,1384,[],0,0
274139,"Gold Winner Refined Sunflower - Oil, 5 L Can",750,713,[],0,0
274148,"Fortune Sunlite Refined Sunflower Oil, 5L Can",780,710,[],0,0
274172,"Sunrich Sunflower Oil, 1L Pouch",209,153,[],0,0
274184,"Dhara Refined Sunflower Oil, 5L, South",1200,804,[],0,0
276757,"Dhara Nourish Refined Sunflower Oil Pouch, 1L",235,158,[],0,0
276758,"Dhara Nourish Refined Sunflower Oil Pouch, 1L (Pack of 12)",2820,1890,[],0,0
319637,Freedom Refined Sunflower Oil Plastic Jar(5L Pack Of 4),3100,2821,[],0,0
361068,Freedom Refined Sunflower Oil Pouch (1L Pack Of 10),1550,1333,[],0,0
382031,Sunpure Refined Sunflower Oil Plastic Bottle (5L Pack Of 4),3200,2752,[],0,0
382588,"Gold Winner Refined Sunflower - Oil, 5 L Can (Pack of 3)",2250,2048,[],0,0
393282,"Freedom Refined Sunflower Oil, 1L Pet Bottle",165,151,[],0,0
333869,Dalda Refined Sunflower Oil 5L Jar,1075,785,[],0,0
