id,original_price,sell_price,variations_types,stocks,size
150476,100,92,[],30,0
189103,180,165,[],30,0
202243,600,552,[],30,0
208578,80,73,[],30,0
215130,600,552,[],30,0
247115,279,267,[],30,0
250520,200,184,[],30,0
260642,150,138,[],30,0
262814,174,160,[],30,0
262815,320,294,[],30,0
263841,75,69,[],30,0
263859,85,81,[],30,0
263878,40,38,[],30,0
264996,175,168,[],30,0
265238,63,57,[],30,0
265273,95,87,[],30,0
266658,65,62,[],30,0
266692,160,153,[],30,0
266695,84,80,[],30,0
266800,150,144,[],30,0
266840,69,66,[],30,0
267845,155,142,[],30,0
267978,120,115,[],30,0
276122,192,184,[],30,0
276123,124,119,[],30,0
277119,550,506,[],30,0
278328,80,73,[],30,0
278340,96,86,[],30,0
282600,50,48,[],30,0
282605,300,276,[],30,0
283706,199,183,[],30,0
284413,129,118,[],30,0
286269,550,506,[],30,0
288789,99,91,[],30,0
289520,96,86,[],30,0
295874,265,243,[],30,0
299410,305,292,[],30,0
299904,80,73,[],30,0
306231,60,55,[],30,0
306234,150,138,[],30,0
306236,250,230,[],30,0
307372,90,86,[],30,0
307606,256,230,[],30,0
308106,99,91,[],30,0
308178,75,72,[],30,0
308179,260,249,[],30,0
310185,290,266,[],30,0
315208,137,126,[],30,0
315211,62,57,[],30,0
315216,240,220,[],30,0
316284,160,136,[],30,0
321458,160,147,[],30,0
326586,164,157,[],30,0
330713,100,92,[],30,0
330761,35,32,[],30,0
331412,160,147,[],30,0
331464,599,551,[],30,0
332417,120,110,[],30,0
333642,540,496,[],30,0
333643,135,124,[],30,0
335031,240,220,[],30,0
335504,192,184,[],30,0
337237,155,142,[],30,0
344532,18,18,[],30,0
345990,40,38,[],30,0
347767,192,172,[],30,0
347768,192,172,[],30,0
349782,30,27,[],30,0
350691,99,91,[],30,0
351591,295,271,[],30,0
352826,209,192,[],30,0
353021,240,220,[],30,0
360985,240,220,[],30,0
360992,570,524,[],30,0
360994,89,81,[],30,0
366944,185,166,[],30,0
368206,162,149,[],30,0
373541,180,165,[],30,0
374936,96,86,[],30,0
376384,180,162,[],30,0
376388,299,269,[],30,0
376411,599,539,[],30,0
376413,90,81,[],30,0
376420,185,166,[],30,0
380001,199,183,[],30,0
383261,899,809,[],30,0
384068,810,745,[],30,0
384069,810,745,[],30,0
384070,750,690,[],30,0
384071,750,690,[],30,0
384508,256,235,[],30,0
384514,256,230,[],30,0
384521,256,235,[],30,0
384523,256,235,[],30,0
384626,750,690,[],30,0
387137,99,91,[],30,0
388034,199,139,[],30,0
388043,60,36,[],30,0
393301,30,27,[],30,0
393302,30,27,[],30,0
393689,1920,1632,[],30,0
397272,249,239,[],30,0
400284,780,748,[],30,0
400285,799,735,[],30,0
400286,839,771,[],30,0
400707,649,597,[],30,0
401275,375,345,[],30,0
401276,750,690,[],30,0
401493,175,168,[],30,0
401498,225,216,[],30,0
401654,740,680,[],30,0
402203,240,230,[],30,0
404825,30,27,[],30,0
405295,140,134,[],30,0
405297,97,93,[],30,0
406817,190,182,[],30,0
408236,799,735,[],30,0
408447,250,230,[],30,0
410853,933,858,[],30,0
411053,44,40,[],30,0
411764,150,144,[],30,0
411766,690,634,[],30,0
411767,750,690,[],30,0
412732,50,48,[],30,0
412794,192,184,[],30,0
415289,499,449,[],30,0
101823,280,224,[],30,0
280840,209,192,[],30,0
280949,190,174,[],30,0
281186,299,275,[],30,0
281435,130,124,[],30,0
290507,69,66,[],30,0
292129,100,90,[],30,0
305018,399,367,[],30,0
305030,299,275,[],30,0
305227,49,45,[],30,0
307158,90,86,[],30,0
307902,329,302,[],30,0
307908,24,20,[],30,0
307912,329,302,[],30,0
326108,599,551,[],30,0
326129,375,345,[],30,0
326139,85,78,[],30,0
328440,120,102,[],30,0
336823,95,87,[],30,0
362842,225,207,[],30,0
364559,180,172,[],30,0
375125,75,63,[],30,0
375126,35,33,[],30,0
375127,199,169,[],30,0
376946,325,299,[],30,0
376947,350,322,[],30,0
395375,1350,1242,[],30,0
406222,110,101,[],30,0
408555,35,32,[],30,0
409872,349,314,[],30,0
411157,199,179,[],30,0
411158,345,310,[],30,0
413645,80,73,[],30,0
413725,160,96,[],30,0
420695,349,314,[],30,0
422820,380,349,[],30,0
422821,380,349,[],30,0
222783,155,142,[],30,0
263492,90,86,[],30,0
263493,320,294,[],30,0
263663,143,131,[],30,0
264001,170,163,[],30,0
264105,30,27,[],30,0
264764,128,122,[],30,0
267016,32,29,[],30,0
277102,190,174,[],30,0
280839,350,322,[],30,0
292361,185,170,[],30,0
295812,83,76,[],30,0
295813,42,38,[],30,0
299671,84,77,[],30,0
303409,90,82,[],30,0
303412,36,34,[],30,0
312650,190,174,[],30,0
324304,60,55,[],30,0
327217,285,262,[],30,0
329380,220,202,[],30,0
329988,39,35,[],30,0
336007,350,322,[],30,0
338536,42,38,[],30,0
346469,269,247,[],30,0
346471,189,173,[],30,0
348076,59,54,[],30,0
351782,36,34,[],30,0
353191,120,110,[],30,0
353329,305,280,[],30,0
375517,66,63,[],30,0
375518,140,128,[],30,0
375519,260,239,[],30,0
375520,175,161,[],30,0
375521,330,303,[],30,0
376911,470,432,[],30,0
377039,42,38,[],30,0
380708,450,414,[],30,0
381259,133,122,[],30,0
381815,399,367,[],30,0
382075,85,78,[],30,0
384190,42,40,[],30,0
387993,210,193,[],30,0
399027,555,471,[],30,0
399028,28,26,[],30,0
400384,50,45,[],30,0
400385,270,243,[],30,0
402775,45,43,[],30,0
402776,330,303,[],30,0
402777,40,38,[],30,0
402831,275,253,[],30,0
