id,cate_id,sub_cate_id
BQ6340,14,117
01O (0) 09 001,14,117
AS5 (0) 09 006,14,117
LB2 (0) 01 001,14,117
LB2 (0) 26 002,14,117
LB2 (0) 90 001,14,117
LB2 (0) 99 003,14,117
LB3 (0) 00 001,14,117
LB3 (0) 08 001,14,117
LB3 (0) 08 002,14,117
LB3 (0) 09 003,14,117
LB3 (0) 21 003,14,117
LB3 (0) 64 001,14,117
LB7 (0) 01 002,14,117
LB7 (0) 01 003,14,117
LB7 (0) 09 003,14,117
LB9 (0) 00 002,14,117
LB9 (0) 00 102,14,117
LB9 (0) 04 003,14,117
LB9 (0) 08 001,14,117
LB9 (0) 09 003,14,117
LB9 (0) 38 002,14,117
LB9 (0) 41 002,14,117
LB9 (0) 41 102,14,117
LB9 (0) 74 003,14,117
LC1 (0) 00 002,14,117
LC1 (0) 00 102,14,117
LC1 (0) 01 001,14,117
LC1 (0) 08 001,14,117
LC1 (0) 09 002,14,117
LC1 (0) 64 002,14,117
LC1 (0) 64 102,14,117
LC1 (0) 96 003,14,117
LC2 (0) 09 001,14,117
LC2 (0) 11 002,14,117
LC3 (0) 09 002,14,117
LC3 (0) 11 001,14,117
LC3 (0) 21 001,14,117
LC3 (0) 61 002,14,117
LC4 (0) 01 002,14,117
LC4 (0) 09 001,14,117
A126_Black,14,117
A126_Navy,14,117
A126_Red,14,117
A126_Tan,14,117
A135_Black,14,117
A135_Navy,14,117
A135_Red,14,117
A135_Tan,14,117
A137_Black,14,117
A137_Navy,14,117
A137_Red,14,117
A137_Tan,14,117
HA02,14,117
R101_BLACK,14,117
R101_Golden,14,117
R101_Grey,14,117
R101_NAVY,14,117
R101_RED,14,117
R101_Tan,14,117
109025_36,14,117
123006_36,14,117
123006_206,14,117
5919324OG,14,117
110093_36,14,117
122014_205,14,117
122104_03,14,117
123006_02,14,117
123007_36,14,117
122103_03,14,117
5919009OG,14,117
5919010OG,14,117
5919013OG,14,117
5919005OG,14,117
5919008OG,14,117
5919007OG,14,117
5919006OG,14,117
5919001OG,14,117
5919003OG,14,117
5919011OG,14,117
111087_03,14,117
122102_03,14,117
111074_03,14,117
111074_437,14,117
111074GT_03,14,117
108087_03,14,117
111104_875,14,117
111104_773,14,117
122101_03,14,117
114015_787,14,117
114015_788,14,117
111137_35,14,117
711007_02,14,117
123010_36,14,117
111122_773,14,117
111122_757,14,117
5919576OG,14,117
123008_36,14,117
111059_03,14,117
111071_317,14,117
111071_437,14,117
111141_03,14,117
111141_40,14,117
111141_194,14,117
114004_03,14,117
114004_117,14,117
111078_109,14,117
111078_757,14,117
111078_886,14,117
112046_030,14,117
112038GT_03,14,117
AN0 (0) 39 001,14,117
GI0 (0) 09 001,14,117
GI0 (0) 09 002,14,117
GI0 (0) 09 003,14,117
5995202459,14,117
5617606406,14,117
5527200417,14,117
2728640417,14,117
3555606416,14,117
3555431416,14,117
5587111408,14,117
