id,original_price,sell_price,variations_types,stocks,size
382050,999,420,[],2012,0
423246,549,237,[],99,0
423345,350,235,[],25,0
410711,1200,804,[],68,0
423350,199,110,[],547,0
163575,49,48,[],14,0
163578,184,179,[],130,0
163582,144,140,[],221,0
163584,254,247,[],128,0
325222,285,280,[],71,0
325224,210,206,[],394,0
325225,110,108,[],212,0
390131,230,187,[],15,0
411235,390,355,[],56,0
413080,175,140,[],60,0
419444,160,116,[],397,0
420443,299,174,[],100,0
423244,400,208,[],43,0
382049,999,430,[],157,0
410712,1100,737,[],142,0
423245,549,237,[],308,0
427680,899,405,[],57,0
380159,590,561,[],90,0
398762,555,317,[],49,0
401672,999,570,[],377,0
419438,375,304,[],39,0
420436,349,224,[],32,0
427660,899,513,[],14,0
423351,549,313,[],365,0
427658,899,576,[],6,0
420434,379,258,[],100,0
406862,487,307,[],0,0
420441,699,469,[],18,0
431442,440,357,[],100,0
382599,447,300,[],100,0
413075,365,234,[],100,0
431453,1095,657,[],100,0
429585,225,165,[],100,0
433079,245,167,[],100,0
431435,250,130,[],100,0
413088,295,242,[],100,0
390133,234,199,[],100,0
418434,695,563,[],100,0
431450,1499,1005,[],100,0
419401,1025,769,[],100,0
419460,560,460,[],100,0
383630,350,182,[],100,0
431432,610,427,[],100,0
423346,695,466,[],100,0
413096,165,146,[],100,0
413084,395,297,[],100,0
433424,500,430,[],100,0
314724,240,195,[],100,0
412442,1390,1196,[],100,0
419435,1200,972,[],100,0
429383,1050,851,[],100,0
413074,365,267,[],100,0
413076,365,256,[],100,0
