id,discount
382050,58
423246,57
423345,33
410711,33
423350,45
163575,3
163578,3
163582,3
163584,3
325222,2
325224,2
325225,2
390131,19
411235,9
413080,20
419444,28
420443,42
423244,48
382049,57
410712,33
423245,57
427680,55
380159,5
398762,43
401672,43
419438,19
420436,36
427660,43
423351,43
427658,36
420434,32
406862,37
420441,33
431442,19
382599,33
413075,36
431453,40
429585,27
433079,32
431435,48
413088,18
390133,15
418434,19
431450,33
419401,25
419460,18
383630,48
431432,30
423346,33
413096,12
413084,25
433424,14
314724,19
412442,14
419435,19
429383,19
413074,27
413076,30
