id,discount
SB0001,9
SB0002,7
SB0004,9
SB0005,9
SB0006,9
SB0007,9
SB0008,7
SB0009,9
SB0010,9
SB0011,8
SB0012,9
SB0013,8
SB0014,9
SB0015,9
SB0016,9
SB0017,9
SB0018,8
SB0019,9
SB0020,9
SB0021,9
SB0022,9
SB0023,9
SB0024,9
SB0026,9
SB0027,9
SB0028,9
SB0029,9
SB0030,9
SB0031,9
SB0032,9
SB0033,7
SB0034,9
SB0035,7
SB0003,8
SB0025,9
SB0036,9
SB0071,8
SB0072,9
SB0073,9
SB0074,7
SB0075,9
358846,9
289973,9
410561,9
410563,9
410564,9
410571,9
410572,9
410574,9
410576,9
410577,9
410583,9
410585,9
410567,9
422452,9
410400,9
336901,9
410569,9
316384,9
335697,9
285296,9
308034,9
335695,9
285273,9
285280,9
285283,9
285314,9
285284,9
346287,9
346286,9
346284,9
346288,9
346285,9
409905,9
409904,9
294904,9
271205,19
423838,9
423837,9
423839,9
423840,9
409906,9
409907,9
409909,8
409908,8
279587,5
379550,5
279588,4
366604,5
421398,2
421399,2
421400,2
345689,9
422857,19
422650,19
214022,9
423016,9
410617,8
428637,19
264679,9
137575,14
269370,14
374382,9
413533,14
270621,5
270620,9
316326,8
