id,original_price,sell_price,variations_types,stocks,size
433058,390,359,[],246,0
364248,91,70,[],179,0
276934,173,139,[],737,0
372572,90,78,[],100,0
148681,357,354,[],139,0
245525,91,79,[],100,0
274160,1115,1060,[],100,0
274190,225,198,[],15,0
274189,2000,1860,[],345,0
303974,225,203,[],45,0
339272,1499,1245,[],100,0
126153,930,865,[],100,0
276758,2820,2144,[],319,0
157419,280,275,[],100,0
332068,285,246,[],37,0
147491,190,181,[],1065,0
223298,225,214,[],64,0
100554,200,190,[],798,0
253562,300,294,[],78,0
255501,1365,1325,[],100,0
255499,270,265,[],250,0
134006,1150,1047,[],200,0
274153,1070,1017,[],100,0
274184,1200,924,[],577,0
276757,235,188,[],431,0
274169,220,216,[],100,0
274125,950,874,[],100,0
213253,250,238,[],0,0
213256,6000,5580,[],0,0
213273,500,470,[],0,0
148676,245,238,[],0,0
223305,1130,1074,[],0,0
228589,183,134,[],0,0
274148,1100,880,[],0,0
274166,210,206,[],0,0
276755,3147,2203,[],0,0
281757,230,184,[],0,0
328881,299,225,[],0,0
373073,175,153,[],0,0
378447,235,219,[],0,0
378448,245,238,[],0,0
