id,original_price,sell_price,variations_types,stocks,size
397831,260,237,[],0,0
397833,250,228,[],0,0
423158,105,96,[],0,0
423882,120,110,[],0,0
423169,135,123,[],0,0
423883,125,114,[],0,0
374103,75,69,[],0,0
374104,112,102,[],0,0
333162,340,310,[],0,0
414332,170,155,[],0,0
414446,119,109,[],0,0
343164,715,651,[],0,0
417222,48,36,[],0,0
417223,48,36,[],0,0
417248,69,51,[],0,0
417245,69,51,[],0,0
417247,69,51,[],0,0
417251,69,51,[],0,0
419357,60,55,[],0,0
419356,60,55,[],0,0
419366,70,64,[],0,0
419384,60,55,[],0,0
419385,70,64,[],0,0
419364,60,55,[],0,0
418050,245,140,[],0,0
283522,145,132,[],0,0
180961,435,396,[],0,0
405804,99,91,[],0,0
405811,129,118,[],0,0
405805,99,91,[],0,0
423804,75,65,[],0,0
423800,100,86,[],0,0
339461,148,135,[],0,0
422664,250,215,[],0,0
397486,130,119,[],0,0
409692,199,182,[],0,0
409695,195,178,[],0,0
420655,385,332,[],0,0
420656,1065,778,[],0,0
420646,190,164,[],0,0
420660,190,164,[],0,0
420419,121,111,[],0,0
418734,150,137,[],0,0
418732,250,215,[],0,0
282274,130,128,[],0,0
257392,250,228,[],0,0
271595,650,592,[],0,0
369658,155,152,[],0,0
344479,3000,2730,[],0,0
408210,140,128,[],0,0
419145,485,418,[],0,0
424940,990,852,[],0,0
424939,450,387,[],0,0
424935,150,137,[],0,0
269806,55,53,[],0,0
418046,249,202,[],0,0
428257,80,76,[],0,0
401470,75,55,[],0,0
417021,199,190,[],0,0
427035,280,266,[],0,0
421279,250,203,[],0,0
400043,80,54,[],0,0
392753,150,122,[],0,0
392741,150,122,[],0,0
384348,450,365,[],0,0
400023,459,418,[],0,0
400022,139,133,[],0,0
400029,99,95,[],0,0
400030,99,95,[],0,0
356424,99,91,[],0,0
399517,75,51,[],0,0
413149,199,182,[],0,0
424904,360,310,[],0,0
421461,109,104,[],0,0
404825,30,28,[],0,0
411766,690,628,[],0,0
402578,400,300,[],0,0
412439,300,200,[],0,0
393046,80,59,[],0,0
420654,385,332,[],0,0
418055,235,191,[],0,0
106599,120,110,[],0,0
255210,399,268,[],0,0
263781,140,128,[],0,0
271326,168,153,[],0,0
271327,144,132,[],0,0
273223,195,178,[],0,0
276402,195,178,[],0,0
292607,699,637,[],0,0
310366,64,61,[],0,0
357802,260,247,[],0,0
357810,198,181,[],0,0
359360,229,186,[],0,0
374958,120,110,[],0,0
376437,1149,931,[],0,0
402989,100,91,[],0,0
402991,200,182,[],0,0
402992,250,203,[],0,0
409649,55,53,[],0,0
410300,74,71,[],0,0
411019,299,258,[],0,0
