id,original_price,sell_price,variations_types,stocks,size
322797,30,29,[],72,0
263593,35,34,[],851,0
263586,20,20,[],1010,0
270727,120,114,[],3976,0
424938,120,110,[],58,0
284247,130,88,[],470,0
404987,30,29,[],237,0
305893,220,201,[],217,0
305897,75,69,[],68,0
338401,90,86,[],71,0
414357,10,10,[],150,0
390304,200,172,[],30,0
384562,75,61,[],132,0
384563,75,61,[],135,0
358377,79,76,[],134,0
279023,79,76,[],97,0
279038,190,173,[],90,0
331111,575,524,[],59,0
423884,170,155,[],35,0
408732,230,198,[],170,0
213576,249,215,[],27,0
314001,109,100,[],3318,0
359465,30,30,[],1611,0
362940,50,46,[],1220,0
398293,40,40,[],32,0
216871,60,57,[],1950,0
341206,10,10,[],34,0
302121,30,30,[],49563,0
415104,30,30,[],178,0
149829,60,55,[],56,0
321929,120,110,[],91,0
328917,114,109,[],102,0
293718,15,15,[],1136,0
293717,15,15,[],999,0
358854,275,251,[],42,0
332712,60,57,[],175,0
328467,70,67,[],215,0
336183,60,57,[],956,0
409185,60,57,[],256,0
344757,50,48,[],593,0
386246,149,142,[],46,0
177319,130,119,[],56,0
425259,125,119,[],27,0
270083,175,118,[],451,0
387378,295,216,[],141,0
424731,350,319,[],93,0
424734,99,91,[],87,0
424735,99,91,[],59,0
421045,25,24,[],694,0
421046,90,86,[],32,0
429448,30,28,[],139,0
429450,100,95,[],981,0
237261,150,137,[],30,0
416376,160,152,[],27,0
427310,37,36,[],92,0
427311,44,41,[],55,0
398059,175,160,[],90,0
423880,180,171,[],136,0
380979,50,48,[],49,0
384293,50,48,[],172,0
428875,115,110,[],63,0
428874,115,110,[],108,0
428876,110,101,[],97,0
402719,110,101,[],71,0
365848,85,78,[],32,0
260592,140,133,[],83,0
428855,200,182,[],26,0
428849,50,46,[],114,0
428850,200,182,[],39,0
428851,200,182,[],44,0
293758,70,67,[],334,0
357967,120,104,[],39,0
360844,40,37,[],117,0
357972,90,78,[],32,0
413945,60,52,[],148,0
413952,95,82,[],74,0
405884,200,190,[],224,0
399786,200,86,[],343,0
399785,250,108,[],330,0
353095,110,63,[],150,0
353086,170,114,[],202,0
380425,65,53,[],471,0
357335,35,29,[],313,0
353547,55,37,[],195,0
353096,50,43,[],162,0
353574,55,37,[],78,0
353575,55,37,[],201,0
393559,85,69,[],91,0
353097,110,63,[],196,0
393561,75,69,[],61,0
384564,75,61,[],123,0
353098,52,48,[],73,0
405308,170,125,[],1542,0
358380,175,167,[],67,0
419804,169,161,[],183,0
419802,169,161,[],127,0
402862,39,38,[],212,0
408828,165,151,[],50,0
427058,640,583,[],592,0
427057,320,292,[],79,0
427056,320,292,[],1348,0
429265,70,64,[],454,0
429267,99,91,[],156,0
429261,75,69,[],174,0
429263,75,69,[],401,0
424583,150,137,[],28,0
423172,590,537,[],26,0
421094,30,28,[],653,0
421093,60,55,[],142,0
364564,60,57,[],354,0
364565,80,76,[],295,0
364566,80,76,[],422,0
428331,160,146,[],31,0
426593,199,182,[],34,0
425620,60,55,[],62,0
425619,60,55,[],89,0
418818,50,43,[],90,0
419003,60,59,[],283,0
419005,125,123,[],72,0
419011,190,187,[],30,0
390748,160,152,[],50,0
419008,175,172,[],43,0
415227,330,301,[],27,0
415226,340,323,[],30,0
425585,175,172,[],37,0
273807,47,47,[],824,0
426557,185,176,[],29,0
412604,175,100,[],66,0
408084,15,15,[],400,0
393910,50,48,[],85,0
428220,199,182,[],27,0
427443,100,91,[],65,0
427450,150,137,[],26,0
104297,50,46,[],29,0
427226,20,20,[],773,0
266153,50,49,[],393,0
266058,65,64,[],631,0
420178,150,137,[],336,0
409777,120,110,[],133,0
429422,40,37,[],106,0
418017,285,260,[],33,0
408919,270,265,[],133,0
408922,360,310,[],164,0
377277,395,376,[],44,0
408857,372,365,[],239,0
408856,375,372,[],185,0
408860,277,275,[],228,0
408859,360,242,[],91,0
408864,450,441,[],169,0
408858,286,272,[],83,0
408921,468,459,[],153,0
408863,342,339,[],181,0
402567,526,521,[],165,0
408862,237,226,[],139,0
429184,300,243,[],29,0
413876,200,104,[],1005,0
413877,50,41,[],47,0
413880,50,41,[],106,0
412782,160,138,[],1217,0
413955,50,29,[],235,0
429420,50,46,[],109,0
429421,35,32,[],95,0
