id,original_price,sell_price,variations_types,stocks,size
144126,100,96,[],0,0
163584,236,227,[],205,0
174631,165,152,[],148,0
174635,225,207,[],208,0
174636,160,148,[],180,0
206776,300,276,[],46,0
206778,215,198,[],508,0
206779,150,138,[],210,0
260767,60,58,[],106,0
260770,115,111,[],503,0
260772,120,116,[],302,0
260797,65,63,[],334,0
260798,70,68,[],189,0
260799,78,72,[],211,0
260806,70,68,[],0,0
264515,25,23,[],84,0
264590,48,45,[],0,0
264593,48,47,[],60,0
265317,65,63,[],202,0
265490,155,143,[],150,0
266031,84,81,[],450,0
266032,78,75,[],46,0
266580,135,125,[],207,0
266585,68,66,[],102,0
267979,54,50,[],574,0
268005,60,58,[],314,0
268007,90,87,[],152,0
268008,195,180,[],73,0
268009,90,87,[],158,0
268011,100,92,[],40,0
268012,42,39,[],336,0
268013,34,33,[],118,0
268024,55,53,[],273,0
268026,115,111,[],1418,0
268039,75,69,[],122,0
268042,55,53,[],463,0
268046,115,111,[],150,0
268055,25,24,[],0,0
268059,85,82,[],248,0
268060,25,24,[],0,0
268064,25,24,[],37,0
268068,70,65,[],101,0
268074,39,38,[],30,0
268076,39,38,[],128,0
268931,65,63,[],320,0
268932,73,71,[],241,0
268939,74,69,[],130,0
268941,70,65,[],196,0
268943,80,74,[],460,0
268944,180,166,[],0,0
269133,76,70,[],170,0
269268,78,75,[],1116,0
269286,34,33,[],139,0
270787,75,68,[],99,0
271130,55,51,[],150,0
271156,400,280,[],102,0
275242,38,31,[],298,0
278285,34,33,[],69,0
279801,35,34,[],36,0
279813,70,65,[],177,0
279815,260,240,[],76,0
279817,30,28,[],1546,0
279819,25,24,[],370,0
279822,28,27,[],1052,0
279856,170,157,[],65,0
279857,50,46,[],94,0
279859,220,203,[],274,0
279860,65,60,[],72,0
279864,70,65,[],1913,0
279866,96,89,[],167,0
279867,90,83,[],0,0
280677,115,111,[],711,0
282197,37,36,[],114,0
282210,80,74,[],157,0
282212,75,69,[],112,0
282222,365,336,[],40,0
282729,385,370,[],102,0
282871,131,118,[],84,0
284013,80,77,[],427,0
284038,82,79,[],47,0
284268,80,74,[],85,0
284272,65,60,[],117,0
284277,70,65,[],291,0
284287,75,69,[],139,0
284308,65,60,[],61,0
284317,56,52,[],323,0
284319,67,62,[],349,0
284344,50,46,[],283,0
284698,82,76,[],41,0
286287,75,72,[],0,0
298071,65,60,[],156,0
299129,5,5,[],318,0
301983,60,56,[],35,0
301985,60,56,[],130,0
301988,75,69,[],0,0
301990,75,69,[],0,0
302127,109,101,[],153,0
302129,109,105,[],53,0
302138,109,101,[],307,0
302140,225,207,[],0,0
302147,109,101,[],28,0
302151,79,76,[],103,0
304772,150,135,[],168,0
306311,85,79,[],255,0
320456,210,194,[],659,0
320461,60,56,[],423,0
320463,205,189,[],213,0
320464,48,47,[],29,0
320465,76,70,[],983,0
320467,66,61,[],483,0
320468,62,58,[],624,0
320471,70,65,[],87,0
320472,120,111,[],82,0
320474,45,44,[],53,0
331417,45,42,[],421,0
331418,52,48,[],466,0
331419,52,48,[],214,0
331421,48,45,[],172,0
331423,69,64,[],213,0
331426,29,27,[],478,0
332226,159,153,[],77,0
332228,139,128,[],49,0
332904,40,24,[],107,0
332909,40,24,[],757,0
332930,50,46,[],211,0
332986,175,123,[],469,0
332987,220,203,[],643,0
335603,109,101,[],465,0
336356,151,139,[],136,0
336832,60,58,[],237,0
336975,60,58,[],386,0
337913,75,69,[],768,0
339900,23,19,[],652,0
340748,94,87,[],85,0
340749,75,69,[],116,0
340750,62,58,[],136,0
340752,243,224,[],136,0
340754,34,32,[],0,0
340759,33,31,[],105,0
340760,66,61,[],62,0
344799,60,58,[],228,0
353856,34,32,[],158,0
353857,68,63,[],473,0
353859,60,56,[],378,0
353860,58,54,[],529,0
353861,47,44,[],427,0
353862,58,54,[],131,0
353866,79,73,[],276,0
358772,70,60,[],110,0
359000,48,45,[],229,0
360843,60,54,[],57,0
361483,260,156,[],0,0
363878,296,208,[],0,0
373975,115,111,[],1037,0
373976,52,50,[],429,0
373977,80,77,[],433,0
377215,115,111,[],162,0
377216,60,58,[],161,0
378355,60,56,[],73,0
378357,150,138,[],87,0
378358,30,28,[],142,0
378360,70,65,[],90,0
378378,80,74,[],674,0
380135,450,414,[],152,0
380137,240,221,[],263,0
382049,999,550,[],1099,0
382050,700,490,[],1854,0
382131,99,92,[],39,0
382132,99,96,[],36,0
382143,99,96,[],29,0
382182,25,24,[],1531,0
382183,25,24,[],282,0
384205,1099,770,[],476,0
384245,85,79,[],46,0
384459,550,385,[],0,0
384463,300,210,[],0,0
385033,15,15,[],906,0
385035,45,36,[],484,0
385037,110,77,[],0,0
385040,45,39,[],916,0
385042,200,140,[],251,0
385044,355,213,[],0,0
385048,100,85,[],0,0
385049,50,43,[],0,0
385050,85,68,[],190,0
385057,55,31,[],2031,0
385059,100,60,[],1500,0
385060,270,149,[],1104,0
385061,150,105,[],43,0
385062,50,35,[],102,0
385063,45,36,[],124,0
385074,200,160,[],185,0
385077,45,32,[],3319,0
385078,100,60,[],0,0
385089,100,70,[],901,0
385090,60,51,[],134,0
385106,300,276,[],328,0
385107,600,540,[],88,0
385117,35,25,[],160,0
385118,65,46,[],1440,0
385135,225,158,[],0,0
385139,100,70,[],71,0
385151,40,37,[],710,0
385155,50,40,[],231,0
385158,240,168,[],660,0
385159,590,413,[],203,0
385171,115,81,[],77,0
385175,65,39,[],140,0
388496,135,122,[],74,0
388497,125,113,[],124,0
388509,220,132,[],180,0
388516,109,99,[],383,0
388517,80,64,[],769,0
390689,185,171,[],68,0
391369,415,353,[],0,0
392389,110,99,[],226,0
393338,160,148,[],60,0
393350,70,65,[],44,0
393351,250,230,[],27,0
397472,34,32,[],156,0
397476,70,65,[],0,0
397495,70,65,[],80,0
397506,78,72,[],37,0
399817,350,210,[],0,0
400020,99,96,[],81,0
400021,99,96,[],26,0
401672,999,700,[],833,0
402732,80,74,[],33,0
402734,75,69,[],36,0
402745,68,66,[],116,0
402746,292,269,[],175,0
404193,69,67,[],183,0
404195,20,20,[],300,0
404196,20,20,[],271,0
404198,20,20,[],87,0
404216,20,19,[],263,0
404349,35,21,[],191,0
404353,190,133,[],61,0
404428,280,168,[],79,0
404434,470,400,[],0,0
404459,800,560,[],113,0
407931,72,67,[],26,0
407941,65,60,[],42,0
409258,99,80,[],187,0
410516,260,250,[],1165,0
411239,137,127,[],288,0
411250,40,37,[],99,0
411251,53,49,[],0,0
413075,365,336,[],61,0
413076,365,336,[],57,0
413079,245,226,[],63,0
413080,175,161,[],40,0
414129,96,89,[],80,0
414135,68,63,[],251,0
416255,40,37,[],61,0
416282,40,37,[],36,0
416316,25,24,[],82,0
416624,39,38,[],124,0
416625,42,39,[],54,0
416631,44,41,[],93,0
416633,33,31,[],138,0
417683,38,35,[],51,0
417689,30,28,[],144,0
417691,35,33,[],55,0
417692,50,46,[],102,0
417695,19,18,[],85,0
417696,25,23,[],69,0
417709,16,15,[],37,0
418345,350,322,[],0,0
418346,350,298,[],0,0
418990,70,35,[],110,0
419435,1200,1020,[],117,0
419436,1145,916,[],218,0
419437,375,300,[],0,0
419438,345,332,[],58,0
419441,850,723,[],0,0
419442,1000,960,[],0,0
419445,379,349,[],50,0
419455,250,225,[],50,0
419460,630,580,[],619,0
419463,240,221,[],0,0
419772,250,100,[],98,0
420434,449,270,[],44,0
420436,349,280,[],36,0
420443,299,165,[],0,0
420446,199,110,[],39,0
420450,299,150,[],59,0
422489,65,60,[],60,0
422491,72,67,[],55,0
422492,78,72,[],47,0
422493,67,62,[],96,0
