id,in_stoke
384277,1
279837,1
339014,0
339013,1
384242,1
393276,0
279803,1
339012,1
279831,1
301970,1
339009,0
401245,0
279833,1
279835,0
279839,0
336313,0
279838,0
336320,0
279836,1
337906,1
337910,1
279807,1
409858,1
236834,1
248003,1
261199,1
399514,0
410895,0
410511,0
SB0006,0
321594,1
269801,0
342403,1
392164,1
357693,1
387894,1
424839,1
387888,1
387890,1
387892,0
387893,1
SB0015,1
404156,1
379616,0
266589,0
266592,1
254705,1
255851,1
214217,1
255850,1
271073,1
308609,0
337072,1
301278,1
255849,1
255848,1
300441,1
300440,1
255843,1
247282,1
214216,0
224835,0
SB0002,1
269800,1
277019,0
387118,0
293304,1
409195,1
346440,1
346441,0
346443,0
346444,0
346447,1
420197,0
393282,1
382588,0
391299,1
357692,0
351202,1
421193,0
SB0035,1
280154,0
243336,0
283426,0
220612,0
395229,1
243335,1
304705,1
399502,1
SB0014,1
401856,1
417113,0
417117,0
337677,0
422281,1
381058,1
275627,1
374809,1
275016,1
300468,1
346515,1
381062,1
390352,0
390353,0
403556,0
415162,0
409285,1
415161,0
403559,0
403558,0
403545,0
403547,0
403555,1
403557,1
403553,0
403560,0
SB0005,1
372208,1
244096,0
214431,0
422981,1
342391,1
374812,1
335598,1
333126,1
401857,1
332229,1
332227,1
393278,0
378375,1
421813,0
378377,0
378378,1
393336,0
393332,1
378376,0
398711,1
398712,1
404157,1
410567,1
SB0072,0
SB0033,1
413754,1
380138,1
380153,1
380134,1
402730,0
402729,1
342227,1
396258,0
402733,1
393329,1
402741,1
320453,1
390351,1
390350,1
SB0007,0
357686,1
276759,0
366493,1
366494,1
416250,1
416253,1
416254,1
SB0020,1
391298,1
SB0001,1
SB0071,1
392991,1
169054,1
169055,1
223537,0
377874,1
223662,1
223663,1
367009,1
298943,1
223536,0
223660,1
SB0011,1
298778,1
223661,1
242596,1
298951,1
367008,1
422497,0
382031,1
380548,0
241600,1
241601,1
241598,1
413557,1
399402,0
393593,1
279649,1
346546,1
SB0025,0
421187,1
421255,1
421188,1
421282,0
401682,1
401683,0
401669,1
387347,1
387361,0
421281,0
401675,0
401677,0
375585,1
375586,1
396318,0
410712,0
391366,0
423245,0
382049,1
311818,0
423346,1
378960,1
402360,1
402361,1
204728,1
214784,1
296361,0
271820,1
271819,1
372572,1
261374,0
261373,0
418346,1
418308,0
419463,0
418345,0
364921,1
364922,1
405010,1
364845,1
364923,1
345957,0
345955,0
345956,1
345959,1
326624,1
267277,1
330469,1
402704,0
267276,1
302774,1
396317,0
382050,1
384550,0
423242,0
267281,0
267279,1
419772,1
341425,1
281757,0
390131,1
390135,1
303974,1
134006,1
329297,1
298198,1
276757,0
276758,1
274184,1
298200,0
387480,0
399820,1
364842,0
364847,0
363407,0
363408,1
364920,0
363406,0
361489,0
384463,0
401933,1
354650,0
384459,0
361483,0
350253,1
276756,1
350255,0
319182,0
319184,0
274196,0
274148,1
362370,0
319637,1
361068,0
274138,1
274139,0
274129,1
274128,0
274151,1
275491,1
252427,1
252429,1
255834,1
252420,1
413079,1
413075,1
413080,1
413076,1
339272,0
328881,0
148681,1
148682,1
261815,1
391422,0
163582,1
325224,0
325225,0
325222,1
163575,1
163584,1
163578,1
384549,1
399817,0
384205,1
391369,0
348033,0
364939,0
348029,0
348035,0
419455,0
419445,1
419438,0
419444,0
419437,1
331563,0
407991,0
213273,0
213256,1
213253,0
420439,0
420440,1
420443,1
420444,1
401672,1
420434,0
420450,1
420441,1
420436,1
328664,0
420446,1
420445,0
398761,0
398686,1
406865,0
332069,1
332068,1
401858,0
374732,0
378448,0
409838,0
374731,0
378447,0
304557,1
357362,0
357356,0
410711,0
402728,1
402737,1
402739,0
391368,0
383630,1
388505,1
388493,1
390689,1
388509,1
392392,1
388507,1
392389,1
419777,1
419436,1
419441,0
419460,0
419442,1
419435,1
276934,1
364248,1
276755,1
228589,1
274153,1
274166,1
274190,0
274189,1
274169,1
274160,0
249540,1
223305,0
223298,1
147492,1
147493,1
147491,1
404126,0
100554,1
126153,1
126158,1
340335,0
340334,0
253562,0
253566,0
112292,1
148676,1
329568,0
157419,1
255502,0
255499,1
274123,0
373073,1
274124,1
274122,1
274120,0
274118,1
274125,0
274172,1
