nothing,id,store_id,cover,name,images,original_price,sell_price,discount,kind,cate_id,sub_cate_id,in_home,is_single,have_gram,gram,have_kg,kg,have_pcs,pcs,have_liter,liter,have_ml,ml,descriptions,key_features,disclaimer,exp_date,type_of,in_stoke,rating,total_rating,status,in_offer,variations_types,size,tax_class,tags,hsn_code
0,384274,49,384274.jpg,"24 Mantra Organic Moong Dal, 2 kg","[""384274.jpg"",""384274-1.jpg"",""384274-2.jpg"",""384274-3.jpg"","" "",]",490,490,0,1,4,25,0,0,0,0,1,2,0,0,0,0,0,0,,,,20/12/2050,0,0,5,4,1,0,[],0,5,10401|299|284|433,713
0,279812,49,279812.jpg,"24 Mantra Organic Raw Peanut, 500 g","[""279812.jpg"",""279812-1.jpg"",""279812-2.jpg"",""279812-3.jpg"","" "",]",125,125,0,1,4,25,0,0,1,500,0,0,0,0,0,0,0,0,,,,20/12/2050,0,0,5,4,1,0,[],0,5,12588|7583|348|284,1202
0,392774,49,392774.jpg,Aro Masoor Dal 1 kg,"[""392774.jpg"",""392774-1.jpg"",""392774-2.jpg"",""392774-3.jpg"","" "",]",150,104,29,1,2,25,0,0,0,0,1,1,0,0,0,0,0,0,,,,20/12/2050,0,0,5,4,1,0,[],0,0,10896|300|433|434,713
0,346443,49,346443.jpg,Fortune Everyday Basmati Rice 1 kg,"[""346443.jpg"",""346443-1.jpg"",""346443-2.jpg"",""346443-3.jpg"","" "",]",149,85,43,1,2,75,0,0,0,0,1,1,0,0,0,0,0,0,,,,20/12/2050,0,0,5,4,1,0,[],0,5,9166|301|429|430|421|12602,1006
0,346444,49,346444.jpg,Fortune Everyday Rice 5 kg,"[""346444.jpg"",""346444-1.jpg"",""346444-2.jpg"",""346444-3.jpg"","" "",]",740,436,41,1,2,75,0,0,0,0,1,5,0,0,0,0,0,0,,,,20/12/2050,0,0,5,4,1,0,[],0,5,9167|301|430|421|12600,1006
0,220612,49,220612.jpg,"India Gate Rice - Basmati Tibar, 5kg Pack","[""220612.jpg"",""220612-1.jpg"",""220612-2.jpg"",""220612-3.jpg"","" "",]",605,601,1,1,2,75,0,0,0,0,1,5,0,0,0,0,0,0,,,,20/12/2050,0,0,5,4,1,0,[],0,5,12600|6359|301|429|430|12405,1006
0,415162,49,415162.jpg,"Kohinoor Charminar Brown Rice, 1 Kg Pack","[""415162.jpg"",""415162-1.jpg"",""415162-2.jpg"",""415162-3.jpg"","" "",]",109,98,10,1,2,75,0,0,0,0,1,1,0,0,0,0,0,0,,,,20/12/2050,0,0,5,4,1,0,[],0,5,11881|301|430|12404|12602,1006
0,403557,49,403557.jpg,"Kohinoor Royale Authentic Basmati Rice, 5 kg Pack","[""403557.jpg"",""403557-1.jpg"",""403557-2.jpg"",""403557-3.jpg"","" "",]",925,562,39,1,2,24,0,0,0,0,1,5,0,0,0,0,0,0,,,,20/12/2050,0,0,5,4,1,0,[],0,5,11277|301|429|430,1006
0,358853,49,358853.jpg,Saffola Masala Oats Chinese Flavour Masala 38 g,"[""358853.jpg"",""358853-1.jpg"",""358853-2.jpg"",""358853-3.jpg"","" "",]",18,18,0,1,5,39,1,0,1,38,0,0,0,0,0,0,0,0,,,,20/12/2050,0,0,5,4,1,0,[],0,18,9480|1289|1293,1004
0,341095,49,341095.jpg,Soulfull Choco Fills Ragi Bites 35 g (Pack Of 6),"[""341095.jpg"",""341095-1.jpg"",""341095-2.jpg"",""341095-3.jpg"","" "",]",99,99,0,1,5,39,1,0,1,35,0,0,0,0,0,0,0,0,,,,20/12/2050,0,0,5,4,1,0,[],0,18,1806,1905
