id,cate_id,sub_cate_id
42706,6,132
BG1024/16,6,131
BG3006,6,131
BHB862,6,132
BHC017,6,132
BHD006,6,132
BHH811,6,132
BHH880,6,132
BHS384,6,132
BHS386,6,132
BT1210/15,6,131
BT1215/15,6,131
BT3102,6,131
BT3105,6,131
BT3203/85,6,131
BT3215/15,6,131
BT7501,6,131
DAV011M,6,131
DUN003M,6,131
GHPHHCAPPK00,6,132
GHPHHCASBK00,6,132
GUCC003W,6,132
HP6306,6,131
HP8120,6,132
HP8142,6,132
HP8303,6,132
HP8318,6,132
HP8643/46,6,132
LAC002M,6,131
LAC003M,6,131
LAC007M,6,131
MG3730/15,6,131
MG7715/15,6,131
QP2512,6,131
QP2525,6,131
S1121,6,131
S1223,6,131
S3122,6,131
S3350,6,131
S5420/06,6,131
SYS170,6,132
SYS171,6,132
SYS172,6,132
SYS175,6,132
SYS178,6,132
SYS179,6,132
SYS180,6,131
SYS181,6,131
SYS182,6,131
SYS183,6,131
SYS184,6,131
SYS187,6,131
VER014W,6,132
WDBMCG0010BBTWESN,6,131
WDBMCG0010BYTWESN,6,131
WDBMCG5000AYTWESN,6,131
