id,store_id,cover,name,images,original_price,sell_price,discount,kind,cate_id,sub_cate_id,in_home,is_single,have_gram,gram,have_kg,kg,have_pcs,pcs,have_liter,liter,have_ml,ml,descriptions,key_features,disclaimer,exp_date,type_of,in_stoke,rating,total_rating,status,in_offer,variations_types,size,tax_class,tags,hsn_code,brand_id
377685,49,377685.jpg,Ayur + Egg- Omega-3 & Dha-6Pc,"[""377685.jpg""]",75,74,2,1,9,56,0,0,0,0,0,0,1,6,0,0,0,0,,,,20-12-2050,0,1,5,5,1,0,[],0,5,16901|16902|16906,0,1036
388234,49,388234.jpg,Nutreen White Eggs 6Pc,"[""388234.jpg""]",60,41,32,1,9,56,0,0,0,0,0,0,1,6,0,0,0,0,,,,20-12-2050,0,1,5,5,1,0,[],0,5,16901|16903|16907,0,1040
387458,49,387458.jpg,Skm Best Brown 6Pc,"[""387458.jpg""]",84,83,2,1,9,56,0,0,0,0,0,0,1,6,0,0,0,0,,,,20-12-2050,0,1,5,5,1,0,[],0,5,16901|16904|16908,0,1038
405487,49,405487.jpg,Nutri Hatch White Eggs 12Pc,"[""405487.jpg""]",110,74,33,1,9,56,0,0,0,0,0,0,1,12,0,0,0,0,,,,20-12-2050,0,1,5,5,1,0,[],0,5,16901|16903|16909,0,1039
424743,49,424743.jpg,Abhi Egg Nutri + 6Pc,"[""424743.jpg""]",74,68,9,1,9,56,0,0,0,0,0,0,1,6,0,0,0,0,,,,20-12-2050,0,1,5,5,1,0,[],0,5,16901|16905|16910,0,1040
424741,49,424741.jpg,Abhi Egg Vit D3 6Pc,"[""424741.jpg""]",84,73,14,1,9,56,0,0,0,0,0,0,1,6,0,0,0,0,,,,20-12-2050,0,1,5,5,1,0,[],0,5,16901|16905|16911,0,1040
424739,49,424739.jpg,Abhi Egg D.O.S.E 6Pc,"[""424739.jpg""]",124,107,14,1,9,56,0,0,0,0,0,0,1,6,0,0,0,0,,,,20-12-2050,0,1,5,5,1,0,[],0,5,16901|16905|16912,0,1040
387461,49,387461.jpg,Skm Best Plus 12Pc,"[""387461.jpg""]",143,141,2,1,9,56,0,0,0,0,0,0,1,12,0,0,0,0,,,,20-12-2050,0,1,5,5,1,0,[],0,5,16901|16903|16913,0,1038
428357,49,428357.jpg,Nutreen Brown Eggs 12Pc,"[""428357.jpg""]",130,106,19,1,9,56,0,0,0,0,0,0,1,12,0,0,0,0,,,,20-12-2050,0,1,5,5,1,0,[],0,5,16901|16904|16914,0,1040
428354,49,428354.jpg,Nutreen White Eggs 30Pc,"[""428354.jpg""]",220,190,14,1,9,56,0,0,0,0,0,0,1,30,0,0,0,0,,,,20-12-2050,0,1,5,5,1,0,[],0,5,16901|16903|16915,0,1040
424740,49,424740.jpg,Abhi Egg Vit D3 30Pc,"[""424740.jpg""]",410,374,9,1,9,56,0,0,0,0,0,0,1,30,0,0,0,0,,,,20-12-2050,0,1,5,5,1,0,[],0,5,16901|16905|16916,0,1040
424742,49,424742.jpg,Abhi Egg Nutri + 30Pc,"[""424742.jpg""]",355,324,9,1,9,56,0,0,0,0,0,0,1,30,0,0,0,0,,,,20-12-2050,0,1,5,5,1,0,[],0,5,16901|16905|16917,0,1040
430614,49,430614.jpg,Abhi Egg Gold Imnty  Boster 6Pc,"[""430614.jpg""]",85,81,5,1,9,56,0,0,0,0,0,0,1,6,0,0,0,0,,,,20-12-2050,0,1,5,5,1,0,[],0,5,16901|16905|16918,0,1040
392922,49,392922.jpg,Farm Made Free Range Egg 6Pc,"[""392922.jpg""]",130,124,5,1,9,56,0,0,0,0,0,0,1,6,0,0,0,0,,,,20-12-2050,0,1,5,5,1,0,[],0,5,16901|16903|16919,0,1041
392921,49,392921.jpg,Farm Made Free Range Egg 12Pc,"[""392921.jpg""]",250,245,2,1,9,56,0,0,0,0,0,0,1,12,0,0,0,0,,,,20-12-2050,0,1,5,5,1,0,[],0,5,16901|16903|16920,0,1041
409457,49,409457.jpg,Skm Best Brown 30Pc,"[""409457.jpg""]",410,390,5,1,9,56,0,0,0,0,0,0,1,30,0,0,0,0,,,,20-12-2050,0,1,5,5,1,0,[],0,5,16901|16904|16921,0,1038
