id,name,status,sub_cate_id
5422,tinned and processed food,1,62
5423,biskfarm,5,38
5424,chefs,5,41
5425,derby,5,40
5426,desi,5,41
5427,gonemad,5,38
5428,gourmet's,5,38
5429,habanero,5,44
5430,jelimals,5,40
5431,kerk deluxe,5,38
5432,loacker quadratini,5,38
5433,lotte boo proo,5,40
5434,maggi,5,41
5435,malas,5,40
5436,mayora,5,38
5437,milkist,5,38
5438,mint-o,5,40
5439,mothers recipe,5,42
5440,mrs. food rite,5,44
5441,nando's,5,44
5442,oateo,5,39
5443,orion,5,38
5444,pintola,5,44
5445,pran,5,38
