id,original_price,sell_price,variations_types,stocks,size
346188,120,104,[],0,0
356613,86,79,[],0,0
409824,200,114,[],0,0
416979,160,152,[],0,0
418079,179,162,[],0,0
417757,410,214,[],0,0
408393,249,227,[],0,0
356424,99,91,[],0,0
399099,120,110,[],0,0
419348,210,192,[],0,0
399095,200,182,[],0,0
409158,120,110,[],0,0
409157,120,114,[],0,0
398321,240,219,[],0,0
399093,290,264,[],0,0
409174,220,201,[],0,0
409159,220,201,[],0,0
398323,170,147,[],0,0
428844,170,155,[],0,0
398325,270,233,[],0,0
