id,original_price,sell_price,variations_types,stocks,size
102774,280,168,[],100,0
267276,1350,810,[],100,0
267277,1350,945,[],100,0
279813,70,56,[],100,0
279817,30,24,[],100,0
279822,28,23,[],100,0
279864,70,56,[],100,0
284264,65,39,[],100,0
284272,65,36,[],100,0
284301,66,40,[],100,0
284308,65,39,[],100,0
284317,56,34,[],100,0
284319,67,41,[],100,0
302774,5500,3300,[],100,0
307724,379,323,[],0,0
307943,310,171,[],100,0
326624,2600,1430,[],100,0
330469,1400,980,[],100,0
339195,350,193,[],100,0
355240,249,212,[],0,0
368742,110,94,[],100,0
368743,200,160,[],100,0
376908,115,69,[],100,0
381846,280,196,[],100,0
382049,999,550,[],100,0
382050,700,490,[],100,0
383630,350,193,[],100,0
384205,1099,660,[],100,0
387890,750,638,[],100,0
387892,375,300,[],100,0
387893,700,420,[],100,0
401672,999,550,[],100,0
401856,3900,2145,[],100,0
401857,3999,2000,[],100,0
401858,2899,1450,[],100,0
406050,200,120,[],100,0
409815,699,595,[],100,0
409816,699,595,[],100,0
409818,1149,977,[],100,0
409819,1149,977,[],100,0
409820,1149,977,[],100,0
409838,899,450,[],100,0
412256,1149,977,[],100,0
419438,345,276,[],100,0
419772,250,125,[],100,0
419777,150,90,[],100,0
420446,199,110,[],100,0
420450,299,120,[],100,0
422302,315,174,[],100,0
423143,699,595,[],100,0
423167,100,60,[],100,0
423168,205,123,[],100,0
423170,165,99,[],100,0
423825,2500,1000,[],100,0
424581,120,72,[],100,0
424839,2700,1485,[],100,0
