id,original_price,sell_price,variations_types,stocks,size
418771,250,183,[],100,0
418770,225,165,[],100,0
418768,225,165,[],0,0
284304,95,55,[],100,0
284332,67,39,[],100,0
284319,67,39,[],0,0
284340,54,31,[],100,0
284265,80,46,[],100,0
306311,85,49,[],100,0
284264,65,38,[],100,0
284308,65,38,[],100,0
284277,65,38,[],100,0
284301,65,38,[],100,0
284272,65,38,[],100,0
284698,82,47,[],100,0
284269,75,43,[],100,0
284287,75,43,[],100,0
420464,30,18,[],100,0
284344,50,29,[],100,0
420435,299,219,[],0,0
380159,590,431,[],100,0
420450,299,129,[],100,0
420446,199,86,[],0,0
420449,249,142,[],100,0
401672,999,670,[],100,0
398762,555,317,[],0,0
420434,449,234,[],0,0
420440,249,167,[],0,0
420444,299,201,[],0,0
427657,299,171,[],0,0
417720,225,151,[],100,0
328664,379,254,[],100,0
427658,899,603,[],100,0
383630,350,151,[],100,0
384205,1099,627,[],100,0
423245,549,237,[],100,0
410712,1899,817,[],100,0
382049,999,430,[],100,0
382050,700,469,[],100,0
426652,489,421,[],100,0
267277,1350,905,[],100,0
387894,750,608,[],100,0
409838,899,468,[],100,0
267279,700,364,[],100,0
261373,600,312,[],0,0
326624,2600,1352,[],0,0
364845,2999,1290,[],100,0
401858,2899,1508,[],100,0
424839,2700,1404,[],0,0
302774,5500,3135,[],100,0
261374,2500,1675,[],100,0
401857,3999,1720,[],100,0
387893,625,419,[],100,0
267276,1350,770,[],100,0
330469,1400,938,[],100,0
364920,4500,3645,[],100,0
401856,3900,2028,[],100,0
274184,1200,1092,[],100,0
340335,225,194,[],100,0
412210,290,195,[],100,0
423143,699,469,[],100,0
409815,699,469,[],100,0
409816,699,469,[],100,0
409820,1199,804,[],100,0
409818,1149,770,[],100,0
409819,1199,684,[],100,0
412256,1199,804,[],100,0
277149,732,381,[],100,0
277148,732,381,[],100,0
277140,375,214,[],0,0
422299,75,39,[],0,0
422301,50,26,[],100,0
275236,299,201,[],100,0
167976,699,469,[],100,0
275244,499,215,[],100,0
284711,189,65,[],100,0
275246,199,104,[],100,0
275247,299,156,[],100,0
386222,499,215,[],100,0
422300,164,86,[],0,0
424593,295,154,[],100,0
413461,2000,680,[],0,0
423825,2500,850,[],100,0
424241,225,117,[],100,0
424242,225,117,[],100,0
424237,225,117,[],100,0
424238,225,117,[],0,0
424240,225,117,[],0,0
424239,225,117,[],100,0
422398,550,314,[],100,0
405272,180,121,[],100,0
390706,180,103,[],100,0
277142,93,85,[],100,0
321323,170,155,[],0,0
321325,170,155,[],100,0
277153,170,114,[],100,0
277152,170,114,[],100,0
277136,86,79,[],100,0
356608,86,79,[],100,0
356613,86,79,[],100,0
356612,86,79,[],100,0
346188,120,104,[],0,0
277139,120,104,[],0,0
386223,449,328,[],0,0
413260,199,182,[],100,0
424064,189,163,[],100,0
404907,99,91,[],100,0
424060,60,57,[],100,0
424061,60,57,[],100,0
351590,295,269,[],100,0
344757,50,48,[],100,0
354279,450,365,[],100,0
426578,290,264,[],100,0
425713,1000,340,[],100,0
429637,249,108,[],100,0
429638,249,108,[],100,0
429639,249,108,[],100,0
429640,249,108,[],100,0
281317,56,32,[],100,0
420465,30,18,[],100,0
428888,30,18,[],0,0
427660,899,603,[],0,0
420442,199,104,[],100,0
406862,487,327,[],0,0
396261,995,667,[],100,0
423244,400,208,[],100,0
405876,249,130,[],100,0
423350,199,104,[],100,0
423351,549,368,[],100,0
423247,600,516,[],100,0
423246,549,237,[],100,0
423345,350,200,[],100,0
427659,899,513,[],0,0
354540,2000,1340,[],100,0
426651,1499,780,[],100,0
333869,1075,785,[],0,0
394916,70,40,[],0,0
412340,245,140,[],0,0
412338,75,43,[],100,0
412341,245,140,[],100,0
412339,75,43,[],100,0
426177,300,156,[],100,0
351592,295,254,[],100,0
240125,349,318,[],100,0
398725,199,182,[],100,0
422125,175,118,[],100,0
393066,130,119,[],100,0
409832,150,147,[],0,0
355740,30,30,[],100,0
364135,110,95,[],0,0
368743,110,101,[],100,0
415538,110,101,[],100,0
415539,110,101,[],100,0
382078,199,114,[],100,0
404819,115,66,[],100,0
275922,210,120,[],100,0
275927,210,120,[],100,0
420436,299,140,[],0,0
423582,50,26,[],0,0
360361,175,141,[],100,0
410702,120,98,[],100,0
399534,40,23,[],100,0
399516,81,43,[],100,0
343177,210,120,[],100,0
210060,399,380,[],100,0
372908,960,380,[],100,0
408638,250,213,[],100,0
279833,475,247,[],100,0
390135,234,122,[],100,0
326167,120,110,[],100,0
319237,95,49,[],100,0
431974,149,121,[],100,0
