id,original_price,sell_price,variations_types,stocks,size
102774,280,196,[],0,0
284264,65,46,[],0,0
308106,99,92,[],100,0
321324,170,157,[],100,0
345204,190,171,[],100,0
345205,190,175,[],100,0
346188,120,108,[],0,0
356612,86,80,[],0,0
368742,110,99,[],0,0
381846,280,238,[],0,0
386222,499,250,[],100,0
406050,200,120,[],0,0
419438,345,339,[],0,0
422302,315,174,[],1,0
423168,205,123,[],0,0
424581,120,72,[],0,0
424733,350,210,[],0,0
424732,350,210,[],0,0
423026,465,419,[],0,0
284340,54,38,[],0,0
420463,50,30,[],0,0
427966,320,224,[],0,0
427972,480,420,[],0,0
427965,500,350,[],0,0
427964,270,189,[],0,0
427981,300,180,[],0,0
420435,299,255,[],0,0
398762,555,333,[],0,0
424239,225,158,[],0,0
424240,225,158,[],0,0
418079,179,162,[],100,0
413148,189,182,[],0,0
421461,109,99,[],0,0
