id,original_price,sell_price,variations_types,stocks,size
152329CB,880,694,[],100,0
301974CB,520,338,[],100,0
306540CB,500,326,[],100,0
306542CB,540,394,[],100,0
337892CB,370,270,[],100,0
339218CB,280,188,[],100,0
384276CB,290,212,[],100,0
400692CB,598,270,[],100,0
409824CB,400,200,[],100,0
415542CB,160,112,[],100,0
422302CB,570,240,[],100,0
433880CB,360,180,[],100,0
101584CB,620,558,[],0,0
279804CB,190,172,[],0,0
321929CB,240,236,[],0,0
324304CB,120,108,[],0,0
331936CB,250,240,[],0,0
334089CB,438,420,[],0,0
334093CB,438,430,[],0,0
336324CB,580,522,[],0,0
351072CB,120,116,[],0,0
357179CB,220,216,[],0,0
357182CB,220,212,[],0,0
357183CB,220,216,[],0,0
357240CB,220,212,[],0,0
365676CB,220,212,[],0,0
365747CB,220,212,[],0,0
367670CB,280,268,[],0,0
390869CB,380,342,[],0,0
390870CB,390,352,[],0,0
390871CB,390,352,[],0,0
390877CB,390,352,[],0,0
391461CB,180,162,[],0,0
400251CB,240,230,[],0,0
404010CB,290,284,[],0,0
416523CB,100,96,[],0,0
416953CB,540,530,[],0,0
423878CB,400,392,[],0,0
