id,name,have_pcs,pcs
101584,Origami So Soft Tissue Roll (4 In 1Pack)3Ply,1,1
118009,Aro Tissue Rolls 200N(Pack Of 12) 2Ply,1,1
120018,"Origami White Paper Plates 23Cm 100""N""",1,1
167976,Aro C Fold Tissue 150N (Pack Of 6) 1Ply,1,1
246794,Aro C Fold Tissue 150N (Pack Of 20) 1Ply,1,1
275236,Aro Tissue Napkin Institutional Pack 100N (Pack Of 6)1Ply,1,1
275243,Aro Tissue Napkin Institutional Pack 100N (Pack Of 12) 1Ply,1,1
275244,Aro Tissue Napkin Soft 100N (Pack Of 4) 1Ply,1,1
275246,Aro Tissue Rolls 100N (Pack Of 6) 2Ply,1,1
275247,Aro Tissue Rolls 200N (Pack Of 6 ) 2Ply,1,1
275253,Aro Tissue Napkins Soft 100N (Pack Of 4) 1Ply,1,1
284699,Aro Tissue Napkin Institutional Pack 100 (Pack Of 4) 1Ply,1,1
292645,Origami Printed Napkins 200N 3Ply,1,1
294222,Origami So Soft Tissue Roll (12 In 1Pack)3Ply,1,1
299167,Origami Packet Tissue 10N (Pack Of 10) 3Ply,1,1
324373,Status Aluminum Container 250 Ml 25Pcs With Lid,25,25
324375,Status Aluminum Container 450Ml 25 Pcs With Lid,25,25
324380,Status Aluminum Container With Foil Laminated Lids 750Ml 25 Pcs,25,25
409685,Aro Aluminum Container With Lid 230 Ml (Pack Of 25),25,25
411965,Oath 4 Earth Long Owed Compostable Biodegradable Bag M Size (15Pcs),15,15
411969,Oath 4 Earth Long Owed Compostable Biodegradable Bag Xl Size (10Pcs),10,10
