id,rating,total_rating
01O (0) 09 001,1,1
0601072HF2,1,1
0601072RK0,1,1
06011A15F3,1,1
06011A95F1,1,1
06012161F4,1,1
06012161F8,1,1
06012161FD,1,1
06012161FK,1,1
06012161FL,1,1
06012171F6,1,1
06012171F8,1,1
06012240F0,1,1
06012980F0,1,1
06012A70F1,1,1
060137505F,1,1
06013875F2,1,1
06013930F1,1,1
06013931F1,1,1
06013940F0,1,1
06013940F2,1,1
06013960F0,1,1
06013A02F0,1,1
06014775F0,1,1
06015A80F0,1,1
06016B30F0,1,1
06018242F1,1,1
06018B70F0,1,1
060194D0F0,1,1
06019804F5,1,1
06019805F0,1,1
06019G80F0,1,1
06019G80F1,1,1
06019G81K2,1,1
06019H20F0,1,1
06019H21L1,1,1
08N (0) 09 012,1,1
08S (0) 09 001,1,1
10000,1,1
100012,1,1
10003,1,1
10007,1,1
10013,1,1
10016,1,1
10020,1,1
100223,1,1
10024,1,1
10025,1,1
10027,1,1
10030,1,1
10033,1,1
10035,1,1
10037,1,1
10038,1,1
1003AEI,1,1
1004ABEI,1,1
100554,1,1
100968,1,1
101030,1,1
101165,1,1
101263,1,1
101306,1,1
101316,1,1
101360,1,1
101401,1,1
101489,1,1
101584,1,1
101584CB,1,1
101735,1,1
101823,1,1
10200,1,1
10201,1,1
10203,1,1
10204,1,1
10206,1,1
10207,1,1
102083,1,1
10209,1,1
102093,1,1
102102,1,1
10211,1,1
10212,1,1
10213,1,1
102131,1,1
102139,1,1
102145,1,1
102155,1,1
102159,1,1
102162,1,1
102533,1,1
102569,1,1
102582,1,1
102587,1,1
102590,1,1
102592,1,1
102607,1,1
102609,1,1
102610,1,1
102615,1,1
102745,1,1
10275,1,1
102750,1,1
102753,1,1
10276,1,1
102761,1,1
102764,1,1
102774,1,1
102830,1,1
102833,1,1
102871,1,1
102932,1,1
102997,1,1
103246,1,1
103551,1,1
103683,1,1
103730,1,1
103737,1,1
103909,1,1
104179,1,1
104269,1,1
104271,1,1
104582,1,1
104607,1,1
104615,1,1
104617,1,1
104707,1,1
104708,1,1
104726,1,1
104759,1,1
104808,1,1
104821,1,1
104823,1,1
104833,1,1
104837,1,1
104839,1,1
104840,1,1
104860,1,1
104862,1,1
104864,1,1
104956,1,1
104960,1,1
106103,1,1
106220,1,1
106224,1,1
106227,1,1
106244,1,1
106271,1,1
106367,1,1
106417,1,1
106599,1,1
106600,1,1
10707,1,1
10709,1,1
10717,1,1
10725,1,1
10726,1,1
10728,1,1
10733,1,1
10734,1,1
107443,1,1
107449,1,1
10755,1,1
107558,1,1
10756,1,1
10757,1,1
10760,1,1
107800,1,1
107803,1,1
108087_03,1,1
1082-Mu-A,1,1
108226_317,1,1
108226_35,1,1
108226_788,1,1
108227_317,1,1
108227_35,1,1
108249,1,1
10902,1,1
109025_36,1,1
10W Smart Bulb,1,1
11001,1,1
110090_36,1,1
110091_36,1,1
110093_36,1,1
1102H,1,1
11052,1,1
111059_03,1,1
111071_317,1,1
111071_437,1,1
111074GT_03,1,1
111074_03,1,1
111074_437,1,1
111078_109,1,1
111078_757,1,1
111078_886,1,1
111082_437,1,1
111087_03,1,1
111104_773,1,1
111104_875,1,1
111122_757,1,1
111122_773,1,1
111137_35,1,1
111141_03,1,1
111141_194,1,1
111141_40,1,1
112037_030,1,1
112038GT_03,1,1
112046_030,1,1
112053_396,1,1
112054_396,1,1
112057_03,1,1
112292,1,1
113710,1,1
113712,1,1
113817,1,1
114004_03,1,1
114004_117,1,1
114006_03,1,1
114006_194,1,1
114006_337,1,1
114006_785,1,1
114007_03,1,1
114007_337,1,1
114007_40,1,1
114007_551,1,1
114007_785,1,1
114015_787,1,1
114015_788,1,1
114016_787,1,1
114016_788,1,1
114018_787,1,1
114018_788,1,1
11545,1,1
11566,1,1
11567,1,1
11568,1,1
11569,1,1
11603,1,1
11604,1,1
11605,1,1
11607,1,1
11651,1,1
11652,1,1
11653,1,1
11654,1,1
11655,1,1
11656,1,1
11657,1,1
117045_03,1,1
117047_317,1,1
117050_317,1,1
117055_03,1,1
11730,1,1
118009,1,1
118412,1,1
118417,1,1
118419,1,1
118443,1,1
118518,1,1
118544,1,1
118572,1,1
118606,1,1
118774,1,1
118967,1,1
119665,1,1
119705,1,1
119709,1,1
119711,1,1
12000,1,1
12001,1,1
120018,1,1
121001_03,1,1
121001_844,1,1
121009_36,1,1
12105,1,1
122014_205,1,1
122101_03,1,1
122102_03,1,1
122103_03,1,1
122104_03,1,1
122105_113,1,1
122106_113,1,1
122107_113,1,1
122350,1,1
122620,1,1
122644,1,1
122650,1,1
123006_02,1,1
123006_206,1,1
123006_36,1,1
123007_36,1,1
123008_36,1,1
123010_36,1,1
123659,1,1
124656,1,1
124657,1,1
124870,1,1
124871,1,1
125319,1,1
125546,1,1
126009_09,1,1
126013_03,1,1
126013_09,1,1
126014_03,1,1
126014_09,1,1
126014_335,1,1
126014_349,1,1
126153,1,1
126158,1,1
126903,1,1
126906,1,1
127362,1,1
128069,1,1
128327,1,1
128596,1,1
12W Inverter bulb,1,1
13-Piec-A,1,1
130138,1,1
130307,1,1
133571,1,1
134006,1,1
134149,1,1
134262,1,1
135463,1,1
137385,1,1
137575,1,1
137623,1,1
137936,1,1
1404,1,1
140466,1,1
140873,1,1
1409,1,1
1410,1,1
1415,1,1
1417,1,1
1418,1,1
142156,1,1
144126,1,1
144395,1,1
145130,1,1
146378,1,1
146384,1,1
146514,1,1
146675,1,1
146775,1,1
146778,1,1
147283,1,1
147491,1,1
147492,1,1
147493,1,1
147738,1,1
148392,1,1
148676,1,1
148681,1,1
148682,1,1
149353,1,1
149354,1,1
149829,1,1
1501,1,1
1502,1,1
1503,1,1
1504,1,1
150476,1,1
1505,1,1
1506,1,1
1507,1,1
1508,1,1
1509,1,1
1510,1,1
151059,1,1
1513,1,1
1514,1,1
152075,1,1
152329,1,1
152329CB,1,1
152450,1,1
153122,1,1
154171,1,1
154902,1,1
156639,1,1
157375,1,1
157419,1,1
159705,1,1
159713,1,1
1601EI,1,1
1602AGEB,1,1
1602FH,1,1
161622,1,1
161623,1,1
161826,1,1
161897,1,1
161898,1,1
161899,1,1
163055,1,1
163056,1,1
163064,1,1
163575,1,1
163578,1,1
163582,1,1
163584,1,1
163810,1,1
163920,1,1
163921,1,1
165939,1,1
167781,1,1
167782,1,1
167814,1,1
167976,1,1
168946,1,1
168949,1,1
168950,1,1
169000,1,1
169052,1,1
169053,1,1
169054,1,1
169055,1,1
169309,1,1
169409,1,1
169426,1,1
169899,1,1
1703IAEB,1,1
170693,1,1
170695,1,1
170777,1,1
1710,1,1
1715,1,1
171651,1,1
172206,1,1
172260,1,1
1723,1,1
1727,1,1
1728,1,1
1729,1,1
172917,1,1
174253,1,1
174549,1,1
174626,1,1
174631,1,1
174635,1,1
174636,1,1
175116,1,1
175118,1,1
175257,1,1
175374,1,1
176362,1,1
176364,1,1
177140,1,1
177150,1,1
177155,1,1
177181,1,1
177259,1,1
177307,1,1
179161,1,1
179650,1,1
179651,1,1
180199,1,1
1801AI,1,1
1801HF,1,1
1802FH,1,1
1802GIBA,1,1
180512,1,1
1805255,1,1
180537,1,1
180584,1,1
1805BEIA,1,1
1805HF,1,1
1806AGJEI,1,1
1806HF,1,1
180963,1,1
180981,1,1
180983,1,1
181118,1,1
181156,1,1
181594,1,1
181597,1,1
181598,1,1
182214,1,1
182398,1,1
182492,1,1
182665,1,1
182914,1,1
184353,1,1
184607,1,1
185568,1,1
186070,1,1
186077,1,1
186232,1,1
186815,1,1
188077,1,1
188078,1,1
188079,1,1
188080,1,1
188081,1,1
188082,1,1
189099,1,1
189100,1,1
189101,1,1
189103,1,1
189204,1,1
189221,1,1
189296,1,1
189311,1,1
189323,1,1
189326,1,1
189433,1,1
189439,1,1
189785,1,1
19020B,1,1
192941,1,1
196984,1,1
197348,1,1
197351,1,1
198934,1,1
199504,1,1
199522,1,1
199610,1,1
199785,1,1
20021,1,1
200327,1,1
200952,1,1
201388,1,1
2013RC,1,1
2016EBACI,1,1
20223,1,1
202239,1,1
20224,1,1
202242,1,1
202243,1,1
202248,1,1
20225,1,1
202277,1,1
20229,1,1
20230,1,1
20231,1,1
20232,1,1
20235,1,1
20236,1,1
20238,1,1
20239,1,1
20240,1,1
20242,1,1
20247,1,1
20248,1,1
20249,1,1
20250,1,1
20251,1,1
20254,1,1
20307,1,1
20327,1,1
20330,1,1
20355,1,1
20357,1,1
20359,1,1
20360,1,1
20375,1,1
20429,1,1
204442,1,1
20454,1,1
20457,1,1
20459,1,1
204629,1,1
204728,1,1
204772,1,1
204912,1,1
20504,1,1
20513,1,1
205184,1,1
205215,1,1
20551,1,1
20552,1,1
205660,1,1
205716,1,1
205717,1,1
205718,1,1
205775,1,1
205854,1,1
205988,1,1
205990,1,1
205991,1,1
20601,1,1
206046,1,1
206047,1,1
206123,1,1
206182,1,1
206407,1,1
206408,1,1
206416,1,1
206429,1,1
206433,1,1
20651,1,1
20652,1,1
20653,1,1
20654,1,1
206702,1,1
206776,1,1
206778,1,1
206779,1,1
206980,1,1
206981,1,1
206982,1,1
207986,1,1
208345,1,1
208578,1,1
208767,1,1
209412,1,1
2100096342,1,1
2100096348,1,1
2100096353,1,1
2100102552,1,1
210060,1,1
212128,1,1
212130,1,1
212701,1,1
213239,1,1
213240,1,1
213243,1,1
213244,1,1
213245,1,1
213246,1,1
213253,1,1
213256,1,1
213273,1,1
213576,1,1
214216,1,1
214217,1,1
214431,1,1
214515,1,1
214784,1,1
215130,1,1
215244,1,1
215578,1,1
215595,1,1
216,1,1
216747,1,1
216809,1,1
216871,1,1
216877,1,1
217464,1,1
218856,1,1
219138,1,1
220612,1,1
221234,1,1
221404,1,1
221409,1,1
221410,1,1
221412,1,1
221429,1,1
2218EA,1,1
2218FH,1,1
222085,1,1
222783,1,1
223298,1,1
223305,1,1
223536,1,1
223537,1,1
223660,1,1
223661,1,1
223662,1,1
223663,1,1
224591,1,1
224835,1,1
225582,1,1
225769,1,1
225770,1,1
226491,1,1
226990,1,1
227052,1,1
227173,1,1
228408,1,1
228522,1,1
228523,1,1
228526,1,1
228528,1,1
228529,1,1
228589,1,1
228623,1,1
228899,1,1
229136,1,1
229140,1,1
229144,1,1
229148,1,1
229156,1,1
229635,1,1
229636,1,1
229744,1,1
229771,1,1
229789,1,1
229791,1,1
229793,1,1
229794,1,1
229853,1,1
229910,1,1
229912,1,1
229922,1,1
229926,1,1
229930,1,1
229936,1,1
229939,1,1
22W (0) 03 011,1,1
22W (0) 03 012,1,1
22W (0) 03 113,1,1
22W (0) 03 114,1,1
