id,original_price,sell_price,variations_types,stocks,size
380548,275,264,[],30,0
413557,17,17,[],30,0
415161,515,361,[],30,0
421282,1000,700,[],30,0
147492,455,437,[],30,0
253566,1190,1143,[],30,0
267281,3400,2040,[],30,0
275491,83,77,[],30,0
276934,170,145,[],30,0
296361,485,466,[],30,0
328881,299,210,[],30,0
329568,1140,1095,[],30,0
339272,1499,1275,[],30,0
345955,399,320,[],30,0
348029,135,125,[],30,0
348033,330,304,[],30,0
348035,335,309,[],30,0
350255,103,88,[],30,0
357356,160,154,[],30,0
357362,565,543,[],30,0
364939,615,566,[],30,0
387893,700,420,[],30,0
396258,860,602,[],30,0
399402,565,481,[],30,0
402704,750,375,[],30,0
410511,500,480,[],30,0
410895,80,74,[],30,0
