id,original_price,sell_price,variations_types,stocks,size
415542,80,68,[],26,0
331936,125,106,[],26,0
286287,75,41,[],26,0
284317,54,32,[],26,0
284319,57,34,[],26,0
393350,70,59,[],26,0
421281,140,98,[],26,0
401857,3999,1999,[],26,0
424839,2700,1485,[],26,0
364842,399,279,[],26,0
387118,1199,839,[],26,0
423878,200,192,[],26,0
339218,140,119,[],26,0
433880,180,172,[],26,0
422398,550,330,[],26,0
416953,270,259,[],26,0
402644,599,479,[],26,0
357183,110,105,[],26,0
415269,70,42,[],26,0
415260,35,21,[],26,0
412347,155,142,[],26,0
418265,145,123,[],26,0
415544,75,63,[],26,0
384205,1099,660,[],26,0
422710,42,36,[],26,0
415754,120,60,[],26,0
415753,99,50,[],26,0
