id,original_price,sell_price,variations_types,stocks
124656,275,234,[],146
124657,500,425,[],303
126903,270,249,[],0
126906,490,441,[],107
144126,100,92,[],0
161826,109,101,[],0
163064,44,41,[],0
169000,508,356,[],0
169052,32,29,[],155
169053,70,63,[],112
169409,1225,1042,[],0
169426,46,40,[],0
170693,420,336,[],0
170695,230,207,[],0
174626,345,332,[],0
174631,165,152,[],234
174635,225,207,[],100
174636,160,148,[],0
180199,50,35,[],0
182398,1000,800,[],0
182492,1000,700,[],0
186815,200,170,[],0
189433,1530,1500,[],0
199504,1980,1683,[],0
199785,1410,1298,[],0
204629,315,290,[],126
204772,2000,1400,[],0
204912,290,261,[],0
206046,1400,1190,[],0
206047,1076,990,[],0
206123,1200,1200,[],0
206776,300,288,[],87
206778,235,226,[],886
206779,160,154,[],127
209412,2700,2295,[],0
219138,1890,1607,[],0
222085,341,328,[],0
225582,1500,1275,[],0
225769,230,196,[],0
225770,420,357,[],0
240449,249,245,[],0
241538,57,55,[],0
243990,50,35,[],0
243991,58,53,[],0
244092,45,45,[],0
244094,50,48,[],0
244961,1740,1566,[],0
248593,25,23,[],0
251191,1100,440,[],0
255505,315,268,[],0
255516,65,59,[],0
255517,111,103,[],0
255609,1500,1050,[],0
255963,60,48,[],0
256132,50,49,[],0
256133,50,43,[],0
256222,575,460,[],38
257382,210,194,[],27
258588,60,59,[],246
259411,1500,1275,[],0
260767,60,59,[],246
260770,115,111,[],1137
260772,115,111,[],450
260797,65,63,[],360
260798,70,68,[],88
260799,78,72,[],238
260806,70,68,[],209
264515,25,23,[],149
264516,50,48,[],0
264590,48,45,[],0
264593,48,47,[],61
265317,65,63,[],94
265490,155,149,[],333
265958,58,56,[],120
265974,99,92,[],89
266031,84,81,[],410
266032,78,75,[],160
266034,84,81,[],600
266580,135,130,[],140
266585,68,66,[],190
267018,1450,1392,[],0
267979,54,50,[],603
267995,74,72,[],80
268002,35,33,[],273
268005,60,59,[],380
268007,90,87,[],147
268008,195,180,[],74
268009,90,87,[],435
268010,65,46,[],0
268011,100,92,[],98
268012,42,41,[],257
268013,34,33,[],73
268023,52,48,[],0
268024,55,53,[],132
268025,80,72,[],373
268026,115,111,[],2697
268033,140,135,[],0
268035,90,83,[],391
268039,75,72,[],170
268041,540,519,[],78
268042,55,53,[],450
268046,115,111,[],237
268048,75,53,[],0
268055,25,24,[],0
268059,85,82,[],373
268060,25,24,[],79
268064,25,24,[],88
268068,70,68,[],41
268071,35,34,[],186
268073,70,68,[],142
268074,39,38,[],58
268076,39,38,[],142
268077,74,72,[],309
268078,67,65,[],71
268931,65,63,[],262
268932,73,71,[],116
268937,65,63,[],167
268939,74,72,[],135
268941,66,64,[],127
268942,70,68,[],248
268943,80,77,[],368
268944,180,173,[],242
269133,76,70,[],162
269268,78,75,[],949
269286,34,33,[],0
269798,65,59,[],97
269803,53,52,[],0
269806,55,53,[],0
270242,65,59,[],127
270518,170,164,[],61
270787,75,68,[],136
271130,55,53,[],137
271156,400,280,[],128
271209,365,336,[],0
271440,500,350,[],0
271680,70,49,[],0
271980,415,399,[],0
273071,105,101,[],0
273072,94,87,[],0
274613,1800,1530,[],0
275128,1800,1620,[],0
275242,36,31,[],206
275460,46,37,[],0
275767,167,117,[],0
275788,192,177,[],0
275790,59,57,[],0
275817,435,370,[],25
275825,380,350,[],31
275987,221,204,[],0
275988,253,127,[],0
277012,79,48,[],0
278172,800,680,[],0
278285,34,33,[],117
278857,300,288,[],0
279783,50,46,[],145
279800,145,134,[],245
279801,35,34,[],55
279804,95,88,[],78
279806,60,56,[],0
279808,65,60,[],86
279809,105,97,[],161
279812,135,125,[],176
279813,70,65,[],95
279814,135,125,[],46
279815,240,221,[],80
279817,30,28,[],1693
279818,110,102,[],37
279819,25,24,[],534
279820,145,134,[],43
279822,28,27,[],2262
279823,125,115,[],32
279824,135,125,[],35
279827,70,65,[],264
279828,95,88,[],57
279830,80,74,[],83
279849,50,46,[],67
279852,48,47,[],158
279853,64,59,[],40
279856,170,157,[],41
279857,50,46,[],43
279859,220,203,[],118
279860,48,47,[],32
279863,60,56,[],0
279864,70,65,[],2087
279866,96,89,[],163
279867,80,74,[],0
280677,115,111,[],683
280980,1320,1188,[],0
282197,37,36,[],60
282210,80,77,[],246
282212,75,72,[],121
282222,365,351,[],60
282729,385,370,[],65
282871,128,116,[],0
283101,1500,1440,[],0
284013,80,77,[],0
284028,96,89,[],0
284033,55,50,[],0
284038,82,79,[],100
284078,30,26,[],0
284264,65,60,[],0
284268,80,74,[],168
284272,65,60,[],158
284277,70,65,[],68
284287,75,69,[],0
284301,65,60,[],69
284308,65,60,[],60
284317,56,52,[],138
284319,67,62,[],214
284344,50,46,[],379
284420,325,299,[],103
284422,67,62,[],0
284698,82,76,[],106
285138,400,280,[],139
286070,2100,1680,[],0
286287,75,69,[],0
286573,1025,615,[],0
287166,1730,1696,[],0
287197,220,176,[],0
287198,370,341,[],0
289639,500,425,[],0
289656,500,300,[],0
289714,78,72,[],0
289992,50,46,[],119
290131,275,248,[],0
290750,47,46,[],563
292767,750,720,[],0
293260,168,118,[],0
296336,52,48,[],0
296341,29,27,[],0
297423,70,49,[],0
297424,35,25,[],0
297431,30,26,[],0
297432,60,51,[],0
297433,40,28,[],626
297434,80,48,[],397
297435,70,49,[],952
297436,40,28,[],403
297720,150,75,[],158
298058,16,16,[],0
298071,65,60,[],161
298489,340,238,[],0
299129,5,5,[],501
300031,120,120,[],0
301147,1550,1426,[],0
301309,60,30,[],0
301312,40,40,[],0
301324,45,44,[],0
301325,45,32,[],0
301326,35,21,[],116
301534,1600,1440,[],0
301536,1690,1521,[],0
301968,135,125,[],0
301974,260,240,[],446
301976,55,51,[],60
301982,120,111,[],0
301983,60,56,[],43
301985,60,56,[],57
301987,310,286,[],0
301988,75,69,[],27
301990,75,69,[],31
302124,109,101,[],48
302127,109,101,[],57
302129,109,105,[],0
302131,109,101,[],51
302138,109,101,[],136
302140,225,207,[],0
302147,109,101,[],0
302150,109,101,[],0
302151,79,76,[],102
302563,62,56,[],991
302571,1050,893,[],69
302572,1200,1020,[],0
302574,4000,3400,[],0
302588,99,85,[],0
302590,49,42,[],0
304772,150,135,[],340
305401,95,86,[],0
305404,60,51,[],0
306311,85,79,[],256
306533,95,88,[],0
306540,250,230,[],117
306542,270,249,[],140
306548,210,194,[],44
307268,300,255,[],0
307281,260,208,[],0
315756,58,41,[],0
318701,30,27,[],0
319608,1650,1518,[],0
320424,99,92,[],214
320433,88,81,[],269
320440,124,115,[],0
320442,122,113,[],485
320444,126,116,[],287
320446,156,144,[],48
320448,136,126,[],87
320449,112,104,[],48
320450,146,135,[],239
320451,148,137,[],0
320452,116,107,[],0
320456,210,194,[],756
320458,226,208,[],706
320459,56,54,[],107
320461,60,56,[],746
320463,205,189,[],309
320464,48,47,[],0
320465,76,70,[],1732
320467,66,61,[],813
320468,62,58,[],1320
320471,65,60,[],161
320472,120,111,[],142
320474,45,44,[],42
321589,80,56,[],253
330076,110,102,[],0
331417,45,42,[],442
331418,52,48,[],294
331419,52,47,[],256
331420,40,37,[],578
331421,48,45,[],269
331422,94,87,[],158
331423,69,64,[],79
331426,29,27,[],73
331791,120,96,[],0
331792,60,51,[],0
331793,700,686,[],0
331978,400,320,[],63
332226,159,153,[],44
332228,139,128,[],62
332904,40,24,[],121
332909,40,24,[],910
332930,50,45,[],306
332980,220,154,[],101
332986,175,123,[],73
332987,220,203,[],257
332988,300,270,[],0
333527,140,129,[],263
335553,154,142,[],74
335603,109,101,[],294
336322,160,148,[],84
336324,290,267,[],66
336356,151,139,[],224
336832,60,56,[],157
336975,60,59,[],249
337526,34,33,[],0
337892,185,171,[],65
337898,75,69,[],0
337913,75,69,[],842
337918,590,543,[],0
339010,98,91,[],0
339011,100,92,[],95
339896,10,10,[],0
339900,23,19,[],0
340748,94,87,[],121
340749,75,69,[],72
340750,62,58,[],43
340752,243,224,[],0
340753,55,51,[],140
340754,34,32,[],30
340758,46,43,[],100
340759,33,31,[],106
340760,66,61,[],40
340846,50,46,[],46
340854,200,184,[],97
341540,48,34,[],0
341546,94,66,[],0
342226,330,304,[],0
344799,60,59,[],671
345729,75,69,[],0
345730,56,54,[],0
345731,57,40,[],0
346390,185,182,[],0
346405,50,50,[],0
346406,360,353,[],0
350325,3250,1950,[],0
352436,47,46,[],97
353856,34,31,[],109
353857,68,62,[],169
353859,60,56,[],204
353860,58,53,[],346
353861,47,43,[],458
353862,58,53,[],87
353863,26,24,[],44
353865,26,24,[],82
353866,79,72,[],228
357077,215,183,[],36
358760,65,46,[],263
358772,70,60,[],128
358773,60,42,[],228
359000,48,44,[],70
360176,75,72,[],88
360843,60,54,[],77
363878,296,208,[],0
365858,365,336,[],0
365860,67,65,[],0
367053,1200,840,[],0
368200,490,417,[],26
368201,270,216,[],25
368202,57,46,[],0
368382,240,236,[],0
372545,375,319,[],29
373072,40,32,[],0
373975,115,111,[],1400
373976,52,51,[],654
373977,80,74,[],705
374670,58,56,[],0
375201,60,42,[],0
375204,145,80,[],0
375421,1000,800,[],0
377215,115,113,[],343
377216,60,59,[],171
377478,40,36,[],0
377841,63,38,[],0
377844,248,174,[],0
377866,49,42,[],0
378355,60,56,[],0
378357,150,138,[],67
378358,30,28,[],41
378360,70,65,[],0
378363,50,46,[],26
378366,80,74,[],30
378367,55,51,[],276
378369,55,51,[],154
378370,145,134,[],0
378371,160,148,[],0
378372,85,79,[],0
378373,130,120,[],53
378374,145,134,[],106
378384,320,295,[],94
378386,100,92,[],32
378389,135,125,[],93
378391,95,88,[],0
378393,145,134,[],60
379173,23,23,[],0
379174,23,23,[],0
379175,25,23,[],0
379176,31,29,[],0
380135,450,414,[],157
380137,240,221,[],247
380148,96,89,[],123
380150,136,126,[],93
380151,270,249,[],866
380152,125,115,[],214
382131,99,92,[],36
382132,99,96,[],65
382143,99,96,[],0
382182,20,20,[],328
382183,25,25,[],338
383568,420,420,[],0
384237,95,88,[],25
384238,95,88,[],0
384239,140,129,[],30
384240,100,92,[],0
384241,190,175,[],70
384245,85,79,[],38
384246,130,120,[],71
384247,105,97,[],0
384274,490,451,[],0
384275,495,456,[],0
384276,145,134,[],148
384335,2000,1700,[],0
384336,1600,1536,[],0
384338,1600,1536,[],0
384340,2000,1700,[],0
384341,60,51,[],802
384342,35,30,[],344
384351,45,44,[],0
385033,15,15,[],124
385034,100,70,[],183
385035,45,32,[],87
385036,45,32,[],283
