id,original_price,sell_price,variations_types,stocks,size
205775,1099,1011,[],0,0
228522,207,198,[],0,0
228526,215,206,[],60,0
228899,399,383,[],0,0
240147,670,643,[],96,0
240149,279,273,[],129,0
240155,660,633,[],146,0
240156,340,326,[],97,0
240158,279,273,[],0,0
240162,268,262,[],0,0
240163,254,248,[],48,0
240165,210,205,[],89,0
240168,268,262,[],0,0
240178,195,191,[],83,0
240179,245,240,[],60,0
240180,360,345,[],154,0
240182,350,336,[],32,0
240183,150,147,[],36,0
243051,215,210,[],134,0
253860,650,624,[],74,0
260993,62,57,[],430,0
260995,150,138,[],573,0
260996,55,50,[],66,0
260997,80,73,[],140,0
260999,100,92,[],186,0
261002,160,147,[],432,0
261012,83,76,[],372,0
261013,143,131,[],169,0
261017,180,165,[],503,0
261018,60,55,[],121,0
261025,119,109,[],335,0
262270,255,234,[],106,0
264003,100,92,[],639,0
271326,168,154,[],0,0
271327,144,132,[],0,0
273217,499,459,[],0,0
273223,195,179,[],49,0
273225,195,179,[],72,0
276402,195,179,[],49,0
280965,375,345,[],721,0
284243,340,326,[],92,0
292597,699,643,[],79,0
292607,699,643,[],0,0
292610,699,643,[],61,0
299670,105,96,[],229,0
305200,57,52,[],609,0
305213,70,64,[],2218,0
305222,36,33,[],725,0
305224,57,52,[],310,0
309135,699,643,[],68,0
314324,799,719,[],100,0
315299,360,331,[],82,0
317934,190,186,[],37,0
320614,140,128,[],240,0
320620,75,69,[],160,0
320624,120,110,[],63,0
320628,170,156,[],41,0
320630,200,184,[],202,0
320637,90,82,[],90,0
320638,48,44,[],0,0
320643,72,66,[],2193,0
320651,135,124,[],234,0
320652,50,46,[],6084,0
320657,72,66,[],2949,0
320669,180,165,[],143,0
320670,95,87,[],146,0
320672,165,148,[],103,0
320675,290,261,[],0,0
332217,1549,1425,[],0,0
333847,75,67,[],0,0
335240,585,538,[],0,0
335241,580,556,[],0,0
335808,799,719,[],160,0
335868,120,110,[],0,0
336201,775,713,[],0,0
339021,195,179,[],174,0
339022,399,367,[],195,0
339023,399,367,[],166,0
339024,399,367,[],0,0
339025,399,367,[],0,0
341487,799,719,[],126,0
342205,260,239,[],0,0
343164,715,657,[],0,0
348383,320,294,[],0,0
348387,72,66,[],0,0
353207,315,289,[],307,0
354198,499,459,[],0,0
355861,40,36,[],0,0
355862,48,44,[],328,0
355863,56,51,[],406,0
357800,560,537,[],0,0
357802,260,249,[],0,0
357810,198,182,[],0,0
357814,515,494,[],0,0
358555,99,91,[],0,0
358557,129,118,[],0,0
360149,525,472,[],49,0
362918,215,197,[],76,0
369615,36,33,[],241,0
369616,44,40,[],160,0
369617,48,44,[],76,0
374183,320,294,[],41,0
374957,90,82,[],426,0
374958,120,110,[],51,0
374959,100,92,[],0,0
375972,52,49,[],0,0
376437,1149,976,[],0,0
376440,1149,976,[],0,0
379675,185,166,[],0,0
381987,699,629,[],49,0
384417,700,630,[],0,0
384418,750,675,[],0,0
384419,875,787,[],0,0
384420,1000,900,[],0,0
384778,1149,976,[],0,0
385575,999,919,[],28,0
385576,999,919,[],77,0
385577,999,919,[],90,0
385578,999,919,[],108,0
387351,319,293,[],0,0
387365,199,183,[],0,0
388821,199,183,[],0,0
392009,1149,976,[],0,0
392705,330,303,[],30,0
392706,330,303,[],28,0
392957,335,308,[],0,0
396927,1099,989,[],0,0
396929,1149,1034,[],44,0
396932,1149,1034,[],39,0
397986,100,92,[],99,0
398526,1099,1011,[],40,0
400250,480,432,[],0,0
400936,799,719,[],122,0
404925,85,78,[],67,0
407365,620,570,[],37,0
407383,780,717,[],51,0
407392,563,517,[],56,0
407411,500,460,[],89,0
408358,1125,1012,[],0,0
409815,699,643,[],52,0
409816,699,643,[],88,0
409817,699,643,[],95,0
409818,1149,1057,[],36,0
409819,1149,1057,[],41,0
409820,1149,1057,[],56,0
410849,870,800,[],26,0
410850,1183,1088,[],0,0
410851,265,243,[],89,0
410878,927,852,[],0,0
411863,305,280,[],49,0
411864,410,377,[],84,0
412253,10,9,[],0,0
412254,11,10,[],0,0
412256,1149,1057,[],0,0
412442,495,445,[],0,0
412803,500,460,[],0,0
413399,1549,1394,[],0,0
413400,1549,1394,[],79,0
413401,1549,1394,[],68,0
413402,1549,1394,[],97,0
414644,435,400,[],44,0
414648,200,184,[],59,0
419524,399,359,[],0,0
419525,399,359,[],0,0
419526,399,359,[],38,0
419527,399,359,[],40,0
419528,150,135,[],100,0
423142,499,459,[],0,0
423143,699,643,[],108,0
425087,429,364,[],28,0
425088,429,364,[],28,0
425089,429,364,[],30,0
425090,429,364,[],0,0
425091,429,364,[],0,0
426712,399,367,[],40,0
426713,399,367,[],69,0
426714,399,367,[],40,0
426715,399,367,[],45,0
263719,140,128,[],34,0
263732,199,191,[],0,0
263745,225,216,[],0,0
263758,190,174,[],0,0
263764,190,174,[],0,0
263777,140,128,[],0,0
263779,140,128,[],126,0
263781,140,128,[],0,0
263789,210,193,[],0,0
263799,225,216,[],0,0
265247,220,202,[],0,0
265645,85,81,[],0,0
266642,210,193,[],66,0
266657,210,193,[],0,0
272262,209,192,[],33,0
272263,209,192,[],26,0
272265,209,192,[],49,0
272267,209,192,[],65,0
272989,190,174,[],0,0
275922,210,193,[],0,0
275927,210,193,[],53,0
275929,210,193,[],32,0
277936,399,391,[],0,0
285243,210,193,[],46,0
290495,199,183,[],0,0
290497,240,220,[],75,0
290501,199,183,[],0,0
290503,199,183,[],34,0
303531,220,202,[],0,0
304377,135,129,[],55,0
307950,199,183,[],0,0
307953,199,183,[],162,0
307957,199,183,[],161,0
307960,199,183,[],0,0
319262,140,128,[],0,0
319263,140,128,[],0,0
325414,195,179,[],44,0
325415,195,179,[],32,0
325416,210,193,[],48,0
325417,210,193,[],32,0
325418,195,179,[],34,0
325419,195,179,[],0,0
327412,230,207,[],0,0
327414,230,207,[],0,0
331924,230,207,[],0,0
331925,250,225,[],113,0
331927,230,207,[],117,0
331928,230,207,[],55,0
331929,230,207,[],0,0
331930,230,207,[],0,0
333885,319,293,[],270,0
333887,319,293,[],81,0
333890,290,266,[],218,0
333900,209,192,[],0,0
337625,210,193,[],143,0
337627,210,193,[],60,0
339092,195,179,[],0,0
342095,200,180,[],0,0
342098,255,229,[],57,0
342100,255,229,[],286,0
342101,255,229,[],0,0
