id,original_price,sell_price,variations_types,stocks,size
229922,110,101,[],45,0
229939,115,106,[],291,0
268078,67,64,[],119,0
271119,15,14,[],566,0
274035,10,9,[],2206,0
274037,10,9,[],346,0
313577,80,64,[],745,0
319237,95,76,[],244,0
339195,310,298,[],1769,0
344463,105,89,[],295,0
354112,75,69,[],325,0
378037,20,19,[],225,0
390057,50,46,[],513,0
392739,175,140,[],273,0
392757,175,149,[],288,0
392762,175,140,[],187,0
392764,750,413,[],105,0
392767,750,600,[],150,0
392768,175,140,[],529,0
392774,150,120,[],126,0
392779,2000,1200,[],32,0
392781,150,138,[],1883,0
392782,850,595,[],92,0
392807,175,149,[],527,0
392821,150,105,[],556,0
392835,175,140,[],274,0
392847,2000,1400,[],34,0
392853,2000,1100,[],57,0
392854,175,140,[],104,0
408704,150,144,[],29,0
409817,699,643,[],260,0
409820,1149,1057,[],43,0
410851,265,244,[],62,0
412874,115,106,[],215,0
412875,75,69,[],761,0
412877,115,106,[],438,0
412887,50,43,[],591,0
412900,270,216,[],112,0
412903,100,85,[],512,0
412906,199,183,[],292,0
412907,199,183,[],384,0
413967,138,132,[],40,0
