id,original_price,sell_price,variations_types,stocks,size
338136,430,409,[],100,0
289237,370,352,[],100,0
273489,525,499,[],100,0
271246,230,219,[],100,0
271240,150,143,[],100,0
271248,310,295,[],100,0
271254,580,551,[],100,0
387138,725,689,[],100,0
416929,349,318,[],100,0
423449,169,97,[],100,0
425837,450,365,[],100,0
436012,130,119,[],100,0
393903,135,123,[],100,0
339020,70,67,[],100,0
252139,95,55,[],100,0
252114,180,103,[],100,0
407199,220,126,[],100,0
435963,599,342,[],100,0
435975,375,214,[],100,0
435978,550,314,[],100,0
435974,350,200,[],100,0
356099,70,57,[],100,0
436014,130,75,[],100,0
406081,435,427,[],100,0
436082,499,365,[],100,0
436081,499,405,[],100,0
406895,190,181,[],100,0
186633,640,608,[],100,0
339126,430,409,[],100,0
435964,999,570,[],100,0
