id,name,status,sub_cate_id
5391,indian mithai,1,43
5392,fresh sweets,1,43
5393,"tinned, packed sweets",1,43
5394,chikki & gajjak,1,43
5395,mccain smiles,1,103
5396,mccain chilli,1,32
5397,veggie pizza,1,32
5398,home roots chole,1,32
5399,fresh2go ,1,32
5400,republic of chicken vegetable,1,32
5401,chips,1,43
5402,boondi,1,43
5403,status bagasse rd 30 cm 25 pc,1,114
5404,status reusable plastic 100 ml 50 pc,1,114
5405,plastic plate,1,114
5406,round plate,1,114
5407,use and throw items,1,114
5408,use and throw cups,1,114
5409,status reusable plastic meal tray 10 pc,1,114
5410,chicken kheema,1,103
5411,cocktail sausages,1,103
5412,chicken and cheese nuggets,1,103
5413,burger patty,1,103
5414,chicken - nuggets,1,103
