id,name,sub_cate_id
14385,channa dal in dals & pulses,25
14386,channa dal in 24 mantra ,25
14387,channa dal in organic tattva,25
14388,channa dal in tata sampann,25
14389,channa dal in pro nature,25
14390,organic channa dal,25
14391,channa dal in 500g,25
14392,channa dal in 1kg,25
14393,brown channa,25
14394,kabuli channa ,25
14395,white channa,25
14396,kadale bele in dals & pulses,25
14397,kala channa,25
14398,brown channa in 24 mantra ,25
14399,rajma in white,25
14400,rajma in red,25
14401,rajma chitra,25
14402,rajma masala in masala & spices,25
14403,rajma in tata sampann,25
14404,rajma in 24 mantra ,25
14405,rajma in 500g,25
14406,rajma in 1kg,25
14407,rajma in dals & pulses,25
14408,masoor dal in pulses,25
14409,masoor dal whole,25
14410,masoor dal in 24 mantra,25
14411,masoor dal in tata sampann,25
14412,masoor dal in organic tattva,25
14413,masoor dal in pronature,25
14414,kempu bele,25
14415,dal tadak,25
14416,green peas in dals & pulses,25
14417,green peas in 500g,25
14418,green peas in 1kg,25
14419,green peas in safal brands,25
14420,green peas in frozen vegitables,25
14421,bataani,25
14422,white peas in dals & pulses,25
14423,white peas in 500g,25
14424,white peas in 1kg,25
14425,bili bataani in dals & pulses,25
14426,veggie chunks,25
14427,soya ,25
14428,soya 1kg,25
14429,soya 200g,25
14430,soya 500g,25
14431,soya beans loose,25
14432,soya chunks in loose,25
14433,lobia white ,25
14434,lobia red,25
14435,lobia in dals & pulses,25
14436,alasande kaalu in dals & pulses,25
14437,lobia in 500g,25
14438,lobia in 1kg,25
14439,fried gram in dals & pulses,25
14440,huri kadale,25
14441,bengal garam,25
14442,whole fried gram,25
14443,fried gram in 500g,25
14444,horse gram in dals & pulses,25
14445,horse gram in 500g,25
14446,horse gram in 1kg,25
14447,hurali kaalu in dals & pulses,25
14448,avarekalu,25
14449,tata sampan kabuli chana,25
14450,organic wheat daliya,25
14451,panchratna dal,25
14452,moth sabut,25
14453,cowpea white,25
14454,red poha,25
14455,matar hara,25
14456,kobari,25
14457,dry coconut,25
14458,jola,25
