id,tags
384238,13170|13169|7669|10393|284|5997|14251|14249|247|256|7749
279783,13170|13169|7669|7574|284|259|258|5997|14082|14307|14309
279804,13170|13169|7669|7578|1290|5997|14248|13272|249|284|252
279804CB,13170|13169|7669|5997|1290|722|14248|13272|249|284|252
279806,13170|13169|7669|250|14310|14311|284|433|5997|14313|942
339010,13170|13169|7669|255|284|14160|14287|14292|5997|248|871|14291
301976,13170|13169|7669|255|284|14161|14287|14292|5997|248|871|14291
279827,13170|13169|7669|257|284|14162|14312|10725|5997|14313|942
279808,13170|13169|7669|7581|284|14281|253|13282|5997|14280|14282|1936
279849,13170|13169|7669|7604|284|254|5997|886|8676|14118|14319|14303
306533,13170|13169|7669|8156|284|5997|14251|14249|247|256|7749
384241,13170|13169|7669|10396|262|284|14314|14315|5997
279852,13170|13169|7669|7605|284|14306|926|14305|13305|247|256
279853,13170|13169|7669|7606|284|14251|14265|14249|247|256|7749
337918,13170|13169|7669|8932|284|14251|14265|14249|247|256|7749
301987,13170|13169|7669|8033|284|14251|14265|14249|247|256|7749
384237,13170|13169|7669|10392|284|14251|14252|14249|247|256|7749
384239,13170|13169|7669|10394|284|262|14314|14315|5997
189433,13170|13169|23|6276|285|5990|14249|247|256|7749
199785,13170|13169|23|6285|285|5990|14249|247|256|7749
401465,13170|13169|23|5145|4996|14166|14308|258|14082|259
401470,13170|13169|23|5145|4996|14167|14307|258|14082|259
284422,13170|13169|23|7711|285|5987|5990|14258|14249|247|256|7749
284420,13170|13169|23|7710|285|5987|5990|14258|14249|247|256|7749
319608,13170|13169|23|8403|285|5987|5990|14258|14249|247|256|7749
401476,13170|13169|23|8018|11173|285|253|13282|14282|1936
401466,13170|13169|23|23|5145|4998|253|13282|14280|14282|1936
204629,13170|13169|23|6294|285|5989|5990|14249|247|256|7749
270242,13170|13169|23|7302|285|5989|5990|14249|247|256|7749
365858,13170|13169|23|9672|285|5988|6054|5990|14249|247|256|7749
126906,13170|13169|23|6124|285|5990|14249|247|256|7749
161826,13170|13169|23|6179|285|5990|14249|247|256|7749
126903,13170|13169|23|14251|6123|5990|14249|247|256|7749
241538,13170|13169|23|6458|285|5990|14249|247|256|7749
286070,13170|13169|23|7737|285|5990|14249|247|256|7749
287166,13170|13169|23|7769|285|5990|14249|247|256|7749
401468,13170|13169|23|247|11172|285|256|14316|14317
170693,13170|13169|95|6210|14261|14266|14249|247|256|7749
170695,13170|13169|95|6211|14262|14266|14249|247|256|7749
297434,13170|13169|13201|7947|14263|14172|14288|14292|11114|248|871|14291
297433,13170|13169|13201|7946|14263|5176|14288|14292|14289|248|871|14291
302588,13170|13169|13201|8056|1290|10172|14248|13272|249|284|252
302590,13170|13169|13201|8057|1290|10714|14248|13272|249|284|252
297424,13170|13169|14263|7943|255|901|8179|14292|10715|248|871|14291
301309,13170|13169|13201|8015|257|10725|14312|14313|942
399496,13170|13169|13201|11113|14263|253|13282|14280|14282|1936
297432,13170|13169|13201|7945|14263|5176|14293|14292|11114|248|871|14291
297431,13170|13169|13201|7944|14263|5176|14294|14292|14289|248|871|14291
399491,13170|13169|434|13201|11110|12391|14265|14249|247|256|7749
301326,13170|13169|943|8020|259|258|14303|10728|7574
384335,13170|13169|7785|10408|251|13268|14300|13268|14303|14301|14302
388530,13170|13169|7749|10713|1822|14263|267|14292|1822|248|871|14291
307268,13170|13169|7749|8178|1822|14263|267|14292|10713|248|871|14291
297436,13170|13169|7749|7949|1822|14263|267|14292|10713|248|871|14291
375204,13170|13169|14263|9853|1290|10714|14248|13272|249|284|252
350325,13170|13169|14263|9217|1290|10714|14248|13272|249|284|252
302574,13170|13169|14263|8054|1290|10714|14248|13272|249|284|252
375201,13170|13169|14263|9854|1290|10714|14248|13272|249|284|252
289639,13170|13169|8042|7803|822|14320|14321|989|6261
256222,13170|13169|7670|6683|1822|10713|267|14292|14293|248|871|14291
169052,13170|13169|7670|6202|1822|10713|267|14292|14289|248|871|14291
302572,13170|13169|7670|8053|1290|288|14248|13272|249|284|252
271980,13170|13169|7670|7346|288|14288|14292|11114|248|871|14291
302571,13170|13169|7670|8052|1290|288|14248|13272|249|284|252
302563,13170|13169|7670|8051|1290|288|14248|13272|249|284|252
169426,13170|13169|7670|6208|288|14292|14293|248|871|14291
256132,13170|13169|7670|6680|251|288|14298|13268|14303|14301|14302
271209,13170|13169|7670|7334|251|288|14299|13268|14303|14301|14302
379175,13170|13169|7670|10130|251|288|14297|13268|14303|14301|14302
256133,13170|13169|7670|6681|8018|253|13282|14280|14282|1936
412417,13170|13169|7670|6681|8018|253|13282|14282|1936
379174,13170|13169|7670|10129|14283|253|13282|14280|14282|1936
275460,13170|13169|7670|7461|254|14304|14116|886|8676|14319|14303
412422,13170|13169|7670|7461|254|14304|14116|886|8676|14319|14303
379173,13170|13169|7670|10128|254|14304|886|8676|14118|14319|14303
412412,13170|13169|7670|10128|254|14304|886|8676|14118|14319|14303
374670,13170|13169|7670|9907|288|14292|14293|248|871|14291
379176,13170|13169|7670|10131|288|14294|14292|14289|248|871|14291
286573,13170|13169|7670|7747|1290|288|14248|13272|249|284|252
388785,13170|13169|14263|10726|1347|14267|14249|247|256|7749
SB0074,13170|13169|14263|952|14107|14263|873|14292|248|871|14291
399523,13170|13169|7749|7749|14106|14263|14294|14292|14289|248|871|14291
384351,13170|13169|14263|10414|14267|965|14249|247|256|7749
186815,13170|13169|14263|6259|14268|965|14249|247|256|7749
298489,13170|13169|14263|7975|14263|5176|7946|14292|4629|248|871|14291
387227,13170|13169|13207|10608|254|287|886|8676|14118|14319|14303
387226,13170|13169|13207|10607|247|256|287|14322|14323
387317,13170|13169|13207|10612|287|926|14305|13305|247|256
273071,13170|13169|13207|7364|254|287|886|8676|14319|14303
387318,13170|13169|13207|10613|287|926|14305|13305|247|256
387316,13170|13169|13207|10611|287|926|14305|13305|247|256
387225,13170|13169|13207|10606|247|256|14292|287|248|871|14291
269798,13170|13169|13207|7291|287|14292|14289|248|871|14291
269806,13170|13169|13207|7295|254|287|886|8676|14319|14303
273072,13170|13169|13207|7365|279|287|14324|14325|14327
269803,13170|13169|13207|7294|279|287|14324|14326|14327
301147,13170|13169|13207|8012|251|287|14300|13268|14303|14301|14302
377841,13170|13169|880|10072|14306|926|14305|13305|247|256
331793,13170|13169|877|8713|1290|14248|13272|249|284|252
391629,13170|13169|877|14264|10810|12393|14249|247|256|7749
391363,13170|13169|877|10794|12393|965|14249|247|256|7749
391628,13170|13169|877|10809|12393|965|14249|247|256|7749
391362,13170|13169|877|10793|12393|965|14249|247|256|7749
331791,13170|13169|877|8711|1290|9853|14248|13272|249|284|252
331792,13170|13169|877|8712|1290|9854|14248|13272|249|284|252
225770,13170|13169|342|6380|12394|965|14249|247|256|7749
225769,13170|13169|342|6379|12394|965|14249|247|256|7749
243990,13170|13169|342|6473|10414|965|14249|247|256|7749
244092,13170|13169|342|6475|251|14298|13268|14303|14301|14302
280980,13170|13169|342|7629|251|14298|13268|14303|14301|14302
248593,13170|13169|342|6496|14289|14294|14292|248|871|14291
244094,13170|13169|342|6476|14292|14293|248|871|14291
402715,13170|13169|947|11230|14306|926|14305|13305|247|256
402705,13170|13169|947|1822|11227|267|10713|14292|14289|248|871|14291
402706,13170|13169|947|1822|11228|267|10713|14292|14293|248|871|14291
402707,13170|13169|7749|1822|11229|267|10713|14292|248|871|14291
388524,13170|13169|7749|10712|1290|9853|13272|249|284|252
388533,13170|13169|7749|10714|1290|9854|13272|249|284|252
297435,13170|13169|7749|7948|267|14263|10713|14292|14293|248|871|14291
399516,13170|13169|7749|10714|1290|9854|14248|13272|249|284|252
255963,13170|13169|7749|6677|251|14298|13268|14303|14301|14302
400043,13170|13169|7749|434|4996|14307|258|14082|259
297720,13170|13169|7749|7863|14306|926|14305|13305|247|256
274613,13170|13169|8336|7425|12395|965|14249|247|256|7749
219138,13170|13169|8336|6358|251|14300|13268|14303|14301|14302
365860,13170|13169|8336|9673|251|14300|13268|14303|14301|14302
297423,13170|13169|7749|7942|14263|14292|14293|248|871|14291
373072,13170|13169|7749|9851|14263|255|14292|14293|248|871|14291
278172,13170|13169|7749|7539|14263|255|14292|248|871|14291
307281,13170|13169|7749|8179|14263|255|14292|248|871|14291
388542,13170|13169|7749|10715|14263|255|14294|14292|14289|248|871|14291
SB0031,13170|13169|952|255|14263|927|14292|248|871|14291
388784,13170|13169|942|10725|8015|257|14312|14313|942
404658,13170|13169|8389|255|14296|14292|14293|248|871|14291
404659,13170|13169|8389|8389|8018|14284|253|13282|14282|1936
404657,13170|13169|8389|11337|254|14116|886|8676|14319|14303
414420,13170|13169|8505|14318|254|886|8676|14116|8676|14319|14303
204772,13170|13169|142|6296|12399|965|14249|247|256|7749
404656,13170|13169|142|11336|14288|14292|14293|248|871|14291
404653,13170|13169|142|11334|14288|14292|11114|248|871|14291
404654,13170|13169|142|11335|14290|14292|14289|248|871|14291
384336,13170|13169|142|10409|251|14300|13268|14303|14301|14302
384340,13170|13169|142|10411|14292|14295|248|871|14291
384338,13170|13169|142|10410|251|14300|13268|14303|14301|14302
384342,13170|13169|142|10413|14289|14290|14292|248|871|14291
384341,13170|13169|142|10412|11114|14292|11114|248|871|14291
402701,13170|13169|8545|11225|265|7804
301536,13170|13169|8559|8023|14268|14249|247|256|7749
301534,13170|13169|8559|8022|14268|14269|14249|247|256|7749
289656,13170|13169|8564|7804|265|14338
388780,13170|13169|13268|10721|251|14297|13268|14303|14301|14302
