id,name,status,sub_cate_id
16814,lizol citrus disinfectant cleaner 2ltr can,1,20
16815,cross beats,1,68
16816,fire boltt,1,124
16817,cross beats air pop wireless earbuds,1,68
16818,cross beats epic lite wireless earbuds,1,68
16819,cross beats ignite pro smartwatch,1,68
16820,cross beats ignite s4 smartwatch,1,68
16821,cross beats orbit spl edit smartwatch,1,68
16822,cross beats orbit x smartwatch,1,68
16823,fire boltt beast smartwatch,1,124
16824,fireboltt beast pro smartwatch,1,124
16825,fireboltt spo2 full touch smartwatch,1,124
16826,fireboltt invincible smartwatch,1,124
16827,fireboltt ninja calling smartwatch,1,124
16828,fireboltt ninja pro max smartwatch,1,124
16829,fireboltt ring smartwatch,1,124
16830,air pop earbuds,1,68
16831,epic lite wireless earbuds,1,68
16832,ear buds,1,68
16833,smart watch,1,124
16834,fire bolt smart watch,1,124
16835,cross beats smart watch,1,124
16836,cross beats pro smart watch,1,124
16837,cross beats s4 smart watch,1,124
16838,cross beats orbit spl smartwatch,1,124
16839,cross  beats orbit x smart watch,1,124
16840,calling smart watch,1,124
16841,pro max smart watch,1,124
16842,ring smart watch,1,124
16843,invisible smart watch,1,124
16844,full touch spo2 smartwatch,1,124
16845,beast smartwatch,1,124
16846,beast pro smart watch,1,124
16847,earbuds in cross beats,1,124
