id,tax_class
01O (0) 09 001,18
0601072HF2,18
0601072RK0,18
06011A15F3,18
06011A95F1,18
06012161F4,18
06012161F8,18
06012161FD,18
06012161FK,18
06012161FL,18
06012171F6,18
06012171F8,18
06012240F0,18
06012980F0,18
06012A70F1,18
060137505F,18
06013875F2,18
06013930F1,18
06013931F1,18
06013940F0,18
06013940F2,18
06013960F0,18
06013A02F0,18
06014775F0,18
06015A80F0,18
06016B30F0,18
06018242F1,18
06018B70F0,18
060194D0F0,18
06019804F5,18
06019805F0,18
06019G80F0,18
06019G80F1,18
06019G81K2,18
06019H20F0,18
06019H21L1,18
08N (0) 09 012,18
08S (0) 09 001,18
10000,12
10003,12
10007,12
10013,12
10016,12
10020,12
10024,12
10025,12
10027,12
10030,12
10033,12
10035,12
10037,12
10038,12
1003AEI,12
1004ABEI,12
10200,12
10201,12
10203,12
10204,12
10206,12
10207,12
10209,12
10211,12
10212,12
10213,12
10275,12
10276,12
10707,12
10709,12
10717,12
10725,12
10726,12
10728,12
10733,12
10734,12
10755,12
10756,12
10757,12
10760,12
108087_03,18
1082-Mu-A,18
108226_317,18
108226_35,18
108226_788,18
108227_317,18
108227_35,18
10902,12
109025_36,18
10W Smart Bulb,12
11001,18
110090_36,18
110091_36,18
110093_36,18
1102H,12
11052,12
111059_03,18
111071_317,18
111071_437,18
111074GT_03,18
111074_03,18
111074_437,18
111078_109,18
111078_757,18
111078_886,18
111082_437,18
111087_03,18
111104_773,18
111104_875,18
111122_757,18
111122_773,18
111137_35,18
111141_03,18
111141_194,18
111141_40,18
112037_030,18
112038GT_03,18
112046_030,18
112053_396,18
112054_396,18
112057_03,18
114004_03,18
114004_117,18
114006_03,18
114006_194,18
114006_337,18
114006_785,18
114007_03,18
114007_337,18
114007_40,18
114007_551,18
114007_785,18
114015_787,18
114015_788,18
114016_787,18
114016_788,18
114018_787,18
114018_788,18
11545,12
11566,12
11567,12
11568,12
11569,12
11603,12
11604,12
11605,12
11607,12
11651,12
11652,12
11653,12
11654,12
11655,12
11656,12
11657,12
117045_03,18
117047_317,18
117050_317,18
117055_03,18
11730,12
12000,12
12001,12
121001_03,18
121001_844,18
121009_36,18
12105,12
122014_205,18
122101_03,18
122102_03,18
122103_03,18
122104_03,18
122105_113,18
122106_113,18
122107_113,18
123006_02,18
123006_206,18
123006_36,18
123007_36,18
123008_36,18
123010_36,18
126009_09,18
126013_03,18
126013_09,18
126014_03,18
126014_09,18
126014_335,18
126014_349,18
12W Inverter bulb,12
13-Piec-A,5
1404,18
1409,18
1410,18
1415,18
1417,18
1418,18
1501,18
1502,18
1503,18
1504,18
1505,18
1506,18
1507,18
1508,18
1509,18
1510,18
1513,18
1514,18
1601EI,12
1602AGEB,12
1602FH,12
1703IAEB,12
1710,18
1715,18
1723,18
1727,18
1728,18
1729,18
1801AI,12
1801HF,12
1802FH,12
1802GIBA,12
1805BEIA,12
1805HF,12
1806AGJEI,12
1806HF,12
19020B,18
20021,12
2013RC,18
2016EBACI,12
20223,12
20224,12
20225,12
20229,12
20230,12
20231,12
20232,12
20234,12
20235,12
20236,12
20238,12
20239,12
20240,12
20242,12
20247,12
20248,12
20249,12
20250,12
20251,12
20254,12
20307,12
20327,12
20330,12
20355,12
20357,12
20359,12
20360,12
20375,12
20429,12
20454,12
20457,12
20459,12
20504,12
20513,12
20551,12
20552,12
20601,12
20651,12
20652,12
20653,12
20654,12
2100096342,12
2100096348,12
2100096353,12
2100102552,12
216,18
2218EA,12
2218FH,12
22W (0) 03 011,18
22W (0) 03 012,18
22W (0) 03 113,18
22W (0) 03 114,18
22W (0) 09 013,18
22W (0) 09 014,18
22W (0) 09 113,18
241437,18
241441,18
241481,18
241492,18
241540,18
241656,18
241658,18
241675,18
241677,18
241681,18
241682.1,18
241683.1,18
241712.1,18
241719.1,18
241725.1,18
242,18
244,18
2451,12
2452,12
2459,12
249094.1,18
249096.1,18
24N (0) 09 003,18
24N (0) 09 005,18
24N (0) 09 008,18
25654,12
271,18
2728640417,18
27O (0) 08 001,18
29124,18
30495,12
30496,12
3054,18
30601,12
30602,12
30603,12
30604,12
30609,12
30610,12
30709,12
30710,12
30711,12
30712,12
30713,12
30714,12
30715,12
30716,12
30720,12
30725,12
30726,12
30727,12
30728,12
30729,12
30730,12
30731,12
30732,12
30733,12
30734,12
30735,12
30739,12
30747,12
30837,12
30843,12
30844,12
30845,12
30880,12
30894,12
30956,12
30967,12
30968,12
31R (0) 09 003,18
32PHT4233S,18
32PHT5505,18
32PHT5813S,18
3401,12
3405,12
3408,12
3410,12
3412,12
3436,12
3451,12
3501,12
3502,12
35035,12
35036,12
35037,12
35038,12
35039,12
3504,12
35044,12
35045,12
3505,12
3506,12
3507,12
3510,12
3511,12
35118,12
3512,12
3513,12
355,18
3555431416,18
3555606416,18
356G,18
3576310405,18
36022,18
36023,12
36024,12
36301,12
36302,12
36304,12
36305,12
36307,12
36308,12
36310,12
36311,12
36314,12
36316,12
36318,12
36331,12
36406,12
36407,12
36501,12
36502,12
36503,12
36717,12
36718,12
36720,12
36722,12
36725,12
36728,12
36753,12
36758,12
36775,12
36777,12
36778,12
36779,12
36788,12
36789,12
36800,12
36802,12
36804,12
36805,12
36806,12
36807,12
36818,12
36819,12
36820,12
36821,12
36822,12
36824,12
36825,12
36826,12
3701,12
3702,12
3703,12
37067,12
37068,12
39O (0) 80 002,18
39V (0) 09 004,18
39V (0) 09 008,18
39V (0) 09 010,18
40000,18
40003,18
40011375338N,18
40011377126N,18
40011377332N,18
40011LX600N,18
40015374026N,18
40015377233N,18
40053,18
40054,18
40066,18
40068,18
40073,18
40077,18
40078,18
40081,18
40082,18
40088,18
40089,18
40090,18
40091,18
40092,18
40150,18
40158,18
40166,18
40170,18
40173,18
40177,18
40184,18
40185,18
40186,18
40187,18
402,18
40205,18
40211,18
40257,18
40271,18
40274,18
40278,18
40287,18
40289,18
40355,18
40356,18
40358,18
403710526N,18
404700003001U,18
404700203001U,18
404700204001U,18
404700402001U,18
404700403001U,18
40562,18
40563,18
40565,18
4064812132SEA,12
406484012207BK,12
406484012207BL,12
406484012207CB,12
40649070708,12
40649080708,12
408001080052N,18
40O (0) 01 001,18
40X (0) 01 008,18
41011,18
41012,18
41015,18
410153,18
41030,18
41033,18
41038,18
41043,18
41107,18
41108,18
41110,18
41115,18
41116,18
412,18
41202,5
41213,5
41215,5
4122116020NS,18
41221370234N,18
41221371034N,18
41221380246N,18
41221381051N,18
4122533021N,18
4122533022N,18
4122545700N,18
4123134025N,18
41245381642N,18
41266,18
41268,18
41269,18
41271,18
41279,18
41281,18
41282,18
41286,18
413,18
41303,18
41319,18
41320,18
41331,18
41337,18
41343,18
41351,18
41353,18
41356,18
41360,18
41363,18
41366,18
41371,18
41372,18
41380,18
41388,18
41394,18
41407,18
41467,18
41468,18
41496,18
41573,18
41575,18
41576,18
41584,18
41587,18
41588,18
41593,18
41596,18
41598,18
416,18
41633,18
41634,18
41704,18
41705,18
41714,18
41752,18
41760,18
41764,18
41765,18
41766,18
41767,18
419,18
41911,18
41915,18
41935,18
41944,18
41949,18
41950,18
41953,18
41959,18
41960,18
41963,18
41966,18
41969,18
41970,18
41971,18
41O (0) 11 001,18
41O (0) 30 003,18
422,18
42202,18
42205,18
42214,18
42218,18
42275,18
42307,18
42308,18
42310,18
42502,18
42610,18
42613,18
42652,18
42655,18
42656,18
42701,18
42702,18
42705,18
42706,18
42783,12
42795,12
42796,12
42797,12
42803,12
43024,18
43038,18
43047,18
440216,18
4403,18
4405,18
4406,18
4407,18
4408,18
4409,18
4410,18
4411,18
4412,18
457,18
46PAS,12
49002,18
49003,18
49008,18
49022,18
49O (0) 81 002,18
4A306439C237,12
4A871201E100,12
4A871501E100,12
4A871503E100,12
4A871503E200,12
4A871503E300,12
4A871504E200,12
4A871504E300,12
4A871599D100,12
4A871599D200,12
4A879003E300,12
4A879004E300,12
4A879004E400,12
4A879005E300,12
4A879006E300,12
4A879006E400,12
4A890303E100,12
4A890306E300,12
4A890312E200,12
4A890312E300,12
4A890314E200,12
4A890399D100,12
4A890501E100,12
4A890503E100,12
4A890503E200,12
4A890512E200,12
4A890513E100,12
4A890599D100,12
4A890712E200,12
4A890799D100,12
4A892199D100,12
4A971503E200,12
4A990312E200,12
4A990312E300,12
4B056344E200,12
4B056344E300,12
4B056444E200,12
4B056444E300,12
4B651501R100,12
4B651501R200,12
4B651501S101,12
4B653501S101,12
4B659001R200,12
4B659001R300,12
4B660301U100,12
4B660301U200,12
4B660301U300,12
4B660301V100,12
4B660501U100,12
4B660501U200,12
4B660501U300,12
4B751501R200,12
4B760501U200,12
4B816301X200,12
4B816301X300,12
4B816401X100,12
4B816401X200,12
4B816469C100,12
4B851202R100,12
4B851202S100,12
4B851502R100,12
4B851502S100,12
4B851502U300,12
4B851502W100,12
4B851502W200,12
4B851502X200,12
4B859002W200,12
4B859002W300,12
4B859002X300,12
4B880302V300,12
4B880302X100,12
4B880302X200,12
4B880302X300,12
4B880304H200,12
4B880304L100,12
4B880304M300,12
4B880502X200,12
4B880502X300,12
4B880504H100,12
4B880504H200,12
4B880504L100,12
4B896303I100,12
4B896303I200,12
4B896303I300,12
4B896403I100,12
4B896403I200,12
4B896403I300,12
4B996403I200,12
4C201502V300,12
4PKL180306287G,12
4PKL180407287G,12
4PKL190816067,12
4PKR180204287B,12
4PKR180204287G,12
4PKR180306287B,12
4PKR180306287G,12
4PKR180407287B,12
4PKR180407287G,12
4PKR190816067,12
501,18
502,18
505,18
509,18
50O (0) 83 002,18
